"","theta=0.5,h=0","theta=0.5,h=1","theta=0.5,h=2","theta=0.5,h=3","theta=0.5,h=4","theta=0.5,h=5","theta=0.5,h=6","theta=0.5,h=7","theta=0.5,h=8","theta=0.5,h=9","theta=0.6,h=0","theta=0.6,h=1","theta=0.6,h=2","theta=0.6,h=3","theta=0.6,h=4","theta=0.6,h=5","theta=0.6,h=6","theta=0.6,h=7","theta=0.6,h=8","theta=0.6,h=9","theta=0.7,h=0","theta=0.7,h=1","theta=0.7,h=2","theta=0.7,h=3","theta=0.7,h=4","theta=0.7,h=5","theta=0.7,h=6","theta=0.7,h=7","theta=0.7,h=8","theta=0.7,h=9","theta=0.8,h=0","theta=0.8,h=1","theta=0.8,h=2","theta=0.8,h=3","theta=0.8,h=4","theta=0.8,h=5","theta=0.8,h=6","theta=0.8,h=7","theta=0.8,h=8","theta=0.8,h=9","theta=0.9,h=0","theta=0.9,h=1","theta=0.9,h=2","theta=0.9,h=3","theta=0.9,h=4","theta=0.9,h=5","theta=0.9,h=6","theta=0.9,h=7","theta=0.9,h=8","theta=0.9,h=9","theta=1,h=0","theta=1,h=1","theta=1,h=2","theta=1,h=3","theta=1,h=4","theta=1,h=5","theta=1,h=6","theta=1,h=7","theta=1,h=8","theta=1,h=9"
"2008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2009",3.57894734,3.57894734,3.57894734,3.57894734,3.57894734,3.57894734,3.57894734,3.57894734,3.57894734,3.57894734,3.57894734,3.57894734,3.57894734,3.57894734,3.57894734,3.57894734,3.57894734,3.57894734,3.57894734,3.57894734,3.57894734,3.57894734,3.57894734,3.57894734,3.57894734,3.57894734,3.57894734,3.57894734,3.57894734,3.57894734,2.04678364,2.04678364,2.04678364,2.04678364,2.04678364,2.04678364,2.04678364,2.04678364,2.04678364,2.04678364,2.04678364,2.04678364,2.04678364,2.04678364,2.04678364,2.04678364,2.04678364,2.04678364,2.04678364,2.04678364,2.04678364,2.04678364,2.04678364,2.04678364,2.04678364,2.04678364,2.04678364,2.04678364,2.04678364,2.04678364
"2010",1.11111116,3.11111116,3.11111116,3.11111116,3.11111116,3.11111116,3.11111116,3.11111116,3.11111116,3.11111116,0.61111116,2.61111116,2.61111116,2.61111116,2.61111116,2.61111116,2.61111116,2.61111116,2.61111116,2.61111116,0.61111116,2.61111116,2.61111116,2.61111116,2.61111116,2.61111116,2.61111116,2.61111116,2.61111116,2.61111116,0.61111116,2.61111116,2.61111116,2.61111116,2.61111116,2.61111116,2.61111116,2.61111116,2.61111116,2.61111116,0.61111116,2.61111116,2.61111116,2.61111116,2.61111116,2.61111116,2.61111116,2.61111116,2.61111116,2.61111116,2.61111116,2.61111116,2.61111116,2.61111116,2.61111116,2.61111116,2.61111116,2.61111116,2.61111116,2.61111116
"2011",1.4761904,2.2857142,4.2857142,4.2857142,4.2857142,4.2857142,4.2857142,4.2857142,4.2857142,4.2857142,2.2857142,2.2857142,4.2857142,4.2857142,4.2857142,4.2857142,4.2857142,4.2857142,4.2857142,4.2857142,2.2857142,2.2857142,4.2857142,4.2857142,4.2857142,4.2857142,4.2857142,4.2857142,4.2857142,4.2857142,2.2857142,2.2857142,4.2857142,4.2857142,4.2857142,4.2857142,4.2857142,4.2857142,4.2857142,4.2857142,2.2857142,2.2857142,4.2857142,4.2857142,4.2857142,4.2857142,4.2857142,4.2857142,4.2857142,4.2857142,2.2857142,4.2857142,4.2857142,4.2857142,4.2857142,4.2857142,4.2857142,4.2857142,4.2857142,4.2857142
"2012",6.23076916,6.23076916,7.23076916,9.23076916,9.23076916,9.23076916,9.23076916,9.23076916,9.23076916,9.23076916,6.23076916,7.23076916,7.23076916,9.23076916,9.23076916,9.23076916,9.23076916,9.23076916,9.23076916,9.23076916,6.23076916,7.23076916,7.23076916,9.23076916,9.23076916,9.23076916,9.23076916,9.23076916,9.23076916,9.23076916,6.23076916,7.23076916,7.23076916,9.23076916,9.23076916,9.23076916,9.23076916,9.23076916,9.23076916,9.23076916,7.23076916,7.23076916,7.23076916,9.23076916,9.23076916,9.23076916,9.23076916,9.23076916,9.23076916,9.23076916,7.23076916,7.23076916,9.23076916,9.23076916,9.23076916,9.23076916,9.23076916,9.23076916,9.23076916,9.23076916
"2013",0.2727273,7,7,8,10,10,10,10,10,10,0.2727273,7,8,8,10,10,10,10,10,10,1.2727273,7,8,8,10,10,10,10,10,10,1.2727273,6.2727273,7.2727273,7.2727273,9.2727273,9.2727273,9.2727273,9.2727273,9.2727273,9.2727273,2.2727273,7.2727273,7.2727273,7.2727273,9.2727273,9.2727273,9.2727273,9.2727273,9.2727273,9.2727273,5,8,8,10,10,10,10,10,10,10
"2014",3.57142853,3.57142853,10.44642854,10.44642854,11.44642854,13.41071425,13.41071425,13.41071425,13.41071425,13.41071425,3.57142853,3.57142853,10.44642854,11.44642854,11.44642854,13.41071425,13.41071425,13.41071425,13.41071425,13.41071425,3.57142853,4.55357139,10.44642854,11.44642854,11.44642854,13.41071425,13.41071425,13.41071425,13.41071425,13.41071425,3.57142853,4.55357139,9.53571425,10.53571425,10.53571425,12.49999996,12.49999996,12.49999996,12.49999996,12.49999996,3.57142853,5.55357139,10.53571425,10.53571425,10.53571425,12.49999996,12.49999996,12.49999996,12.49999996,12.49999996,4.19642853,7.19642853,9.19642853,9.19642853,10.19642853,10.19642853,10.19642853,10.19642853,10.19642853,10.19642853
"2015",2.16666671,6.44444435,6.44444435,13.38888879,13.38888879,14.38888879,16.38888879,16.38888879,16.38888879,16.38888879,4.11111101,5.88888875,5.88888875,12.83333319,13.83333319,13.83333319,15.83333319,15.83333319,15.83333319,15.83333319,5.88888875,5.88888875,6.88888875,12.83333319,13.83333319,13.83333319,15.83333319,15.83333319,15.83333319,15.83333319,5.88888875,5.88888875,6.88888875,11.83333319,12.83333319,12.83333319,14.83333319,14.83333319,14.83333319,14.83333319,5.88888875,5.88888875,7.83333319,12.83333319,12.83333319,12.83333319,14.83333319,14.83333319,14.83333319,14.83333319,6.11111097,6.11111097,8.11111097,10.11111097,10.11111097,11.11111097,11.11111097,11.11111097,11.11111097,11.11111097
"2016",2.05263158,3.81578948,8.7631579,8.7631579,15.47368423,15.47368423,16.47368423,18.47368423,18.47368423,18.47368423,2.05263158,6.81578948,8.7631579,8.7631579,15.47368423,16.47368423,16.47368423,18.47368423,18.47368423,18.47368423,2.05263158,8.7631579,8.7631579,9.71052632,15.47368423,16.47368423,16.47368423,18.47368423,18.47368423,18.47368423,2.81578948,8.7631579,8.7631579,9.71052632,14.68421053,15.68421053,15.68421053,17.68421053,17.68421053,17.68421053,7.23684208,8.1842105,8.1842105,10.13157892,15.10526313,15.10526313,15.10526313,17.10526313,17.10526313,17.10526313,6.68421051,6.68421051,6.68421051,8.68421051,10.68421051,10.68421051,11.68421051,11.68421051,11.68421051,11.68421051
"2017",2.124567471,2.124567471,4.055363321,8.453287193,8.453287193,15.27681665,15.27681665,16.18685125,18.16955021,18.16955021,2.577854671,2.577854671,6.937716261,8.906574393,8.906574393,15.73010385,16.64013845,16.64013845,18.62283741,18.62283741,2.259515571,2.259515571,7.951557093,7.951557093,8.941176473,14.77508655,15.68512115,15.68512115,17.66782011,17.66782011,4.121107301,4.121107301,8.089965433,8.089965433,9.079584813,13.920415305,14.830449905,14.830449905,16.813148865,16.813148865,3.667820101,6.653979271,7.636678233,7.636678233,9.622837405,13.532872005,13.532872005,13.532872005,15.515570965,15.515570965,3.034602103,5.034602103,5.034602103,5.034602103,7.034602103,8.034602103,8.034602103,9.034602103,9.034602103,9.034602103
