"","theta=0.5,h=0","theta=0.5,h=1","theta=0.5,h=2","theta=0.5,h=3","theta=0.5,h=4","theta=0.5,h=5","theta=0.5,h=6","theta=0.5,h=7","theta=0.5,h=8","theta=0.5,h=9","theta=0.6,h=0","theta=0.6,h=1","theta=0.6,h=2","theta=0.6,h=3","theta=0.6,h=4","theta=0.6,h=5","theta=0.6,h=6","theta=0.6,h=7","theta=0.6,h=8","theta=0.6,h=9","theta=0.7,h=0","theta=0.7,h=1","theta=0.7,h=2","theta=0.7,h=3","theta=0.7,h=4","theta=0.7,h=5","theta=0.7,h=6","theta=0.7,h=7","theta=0.7,h=8","theta=0.7,h=9","theta=0.8,h=0","theta=0.8,h=1","theta=0.8,h=2","theta=0.8,h=3","theta=0.8,h=4","theta=0.8,h=5","theta=0.8,h=6","theta=0.8,h=7","theta=0.8,h=8","theta=0.8,h=9","theta=0.9,h=0","theta=0.9,h=1","theta=0.9,h=2","theta=0.9,h=3","theta=0.9,h=4","theta=0.9,h=5","theta=0.9,h=6","theta=0.9,h=7","theta=0.9,h=8","theta=0.9,h=9","theta=1,h=0","theta=1,h=1","theta=1,h=2","theta=1,h=3","theta=1,h=4","theta=1,h=5","theta=1,h=6","theta=1,h=7","theta=1,h=8","theta=1,h=9"
"2008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2009",0.6081871,0.6081871,0.6081871,0.6081871,0.6081871,0.6081871,0.6081871,0.6081871,0.6081871,0.6081871,0.6081871,0.6081871,0.6081871,0.6081871,0.6081871,0.6081871,0.6081871,0.6081871,0.6081871,0.6081871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2010",1.75000013,1.75000013,1.75000013,1.75000013,1.75000013,1.75000013,1.75000013,1.75000013,1.75000013,1.75000013,1.75000013,1.75000013,1.75000013,1.75000013,1.75000013,1.75000013,1.75000013,1.75000013,1.75000013,1.75000013,1.75000013,1.75000013,1.75000013,1.75000013,1.75000013,1.75000013,1.75000013,1.75000013,1.75000013,1.75000013,1.75000013,1.75000013,1.75000013,1.75000013,1.75000013,1.75000013,1.75000013,1.75000013,1.75000013,1.75000013,1.75000013,1.75000013,1.75000013,1.75000013,1.75000013,1.75000013,1.75000013,1.75000013,1.75000013,1.75000013,1.75000013,1.75000013,1.75000013,1.75000013,1.75000013,1.75000013,1.75000013,1.75000013,1.75000013,1.75000013
"2011",1,3.4285714,3.4285714,3.4285714,3.4285714,3.4285714,3.4285714,3.4285714,3.4285714,3.4285714,3.4285714,3.4285714,3.4285714,3.4285714,3.4285714,3.4285714,3.4285714,3.4285714,3.4285714,3.4285714,3.4285714,3.4285714,3.4285714,3.4285714,3.4285714,3.4285714,3.4285714,3.4285714,3.4285714,3.4285714,3.4285714,3.4285714,3.4285714,3.4285714,3.4285714,3.4285714,3.4285714,3.4285714,3.4285714,3.4285714,3.4285714,3.4285714,3.4285714,3.4285714,3.4285714,3.4285714,3.4285714,3.4285714,3.4285714,3.4285714,3.4285714,3.4285714,3.4285714,3.4285714,3.4285714,3.4285714,3.4285714,3.4285714,3.4285714,3.4285714
"2012",2.92307692,2.92307692,5.92307692,5.92307692,5.92307692,5.92307692,5.92307692,5.92307692,5.92307692,5.92307692,2.92307692,5.92307692,5.92307692,5.92307692,5.92307692,5.92307692,5.92307692,5.92307692,5.92307692,5.92307692,2.92307692,5.92307692,5.92307692,5.92307692,5.92307692,5.92307692,5.92307692,5.92307692,5.92307692,5.92307692,2.92307692,5.92307692,5.92307692,5.92307692,5.92307692,5.92307692,5.92307692,5.92307692,5.92307692,5.92307692,5.92307692,5.92307692,5.92307692,5.92307692,5.92307692,5.92307692,5.92307692,5.92307692,5.92307692,5.92307692,5.92307692,5.92307692,5.92307692,5.92307692,5.92307692,5.92307692,5.92307692,5.92307692,5.92307692,5.92307692
"2013",0.36363638,3.27272729,3.27272729,6.27272729,6.27272729,6.27272729,6.27272729,6.27272729,6.27272729,6.27272729,0.27272729,3.1818182,6.1818182,6.1818182,6.1818182,6.1818182,6.1818182,6.1818182,6.1818182,6.1818182,0.27272729,3.1818182,6.1818182,6.1818182,6.1818182,6.1818182,6.1818182,6.1818182,6.1818182,6.1818182,0.27272729,3.1818182,6.1818182,6.1818182,6.1818182,6.1818182,6.1818182,6.1818182,6.1818182,6.1818182,0.27272729,6.1818182,6.1818182,6.1818182,6.1818182,6.1818182,6.1818182,6.1818182,6.1818182,6.1818182,1.1818182,6.1818182,6.1818182,6.1818182,6.1818182,6.1818182,6.1818182,6.1818182,6.1818182,6.1818182
"2014",1.96428567,1.96428567,4.96428567,4.96428567,7.94642853,7.94642853,7.94642853,7.94642853,7.94642853,7.94642853,1.46428567,1.46428567,4.46428567,7.44642853,7.44642853,7.44642853,7.44642853,7.44642853,7.44642853,7.44642853,1.46428567,1.46428567,4.46428567,7.44642853,7.44642853,7.44642853,7.44642853,7.44642853,7.44642853,7.44642853,1.46428567,1.46428567,4.46428567,7.44642853,7.44642853,7.44642853,7.44642853,7.44642853,7.44642853,7.44642853,1.46428567,1.46428567,7.44642853,7.44642853,7.44642853,7.44642853,7.44642853,7.44642853,7.44642853,7.44642853,2.46428567,2.46428567,6.46428567,6.46428567,6.46428567,6.46428567,6.46428567,6.46428567,6.46428567,6.46428567
"2015",3.1666667,4.1666667,4.1666667,7.05555558,7.05555558,10.00000002,10.00000002,10.00000002,10.00000002,10.00000002,3.1666667,4.1666667,4.1666667,7.05555558,10.00000002,10.00000002,10.00000002,10.00000002,10.00000002,10.00000002,3.1666667,4.1666667,4.1666667,7.05555558,10.00000002,10.00000002,10.00000002,10.00000002,10.00000002,10.00000002,3.1666667,4.1666667,4.1666667,7.05555558,10.00000002,10.00000002,10.00000002,10.00000002,10.00000002,10.00000002,4.1666667,4.1666667,4.1666667,10.00000002,10.00000002,10.00000002,10.00000002,10.00000002,10.00000002,10.00000002,4.1666667,4.1666667,4.1666667,7.1666667,7.1666667,7.1666667,7.1666667,7.1666667,7.1666667,7.1666667
"2016",1.60526319,5.18421052,6.18421052,6.18421052,9.18421052,9.18421052,12.18421052,12.18421052,12.18421052,12.18421052,1.60526319,5.18421052,6.18421052,6.18421052,9.18421052,12.18421052,12.18421052,12.18421052,12.18421052,12.18421052,2.47368429,5.18421052,6.18421052,6.18421052,9.18421052,12.18421052,12.18421052,12.18421052,12.18421052,12.18421052,4.26315789,5.18421052,6.18421052,6.18421052,9.18421052,12.18421052,12.18421052,12.18421052,12.18421052,12.18421052,5.18421052,6.18421052,6.18421052,6.18421052,12.18421052,12.18421052,12.18421052,12.18421052,12.18421052,12.18421052,5.18421052,6.18421052,6.18421052,6.18421052,9.18421052,9.18421052,9.18421052,9.18421052,9.18421052,9.18421052
"2017",1.3425606,2.896193822,6.889273407,7.882352992,7.882352992,10.674740562,10.674740562,13.674740562,13.674740562,13.674740562,1.3425606,2.896193822,6.889273407,7.882352992,7.882352992,10.674740562,13.674740562,13.674740562,13.674740562,13.674740562,1.3425606,3.896193822,6.889273407,7.882352992,7.882352992,10.674740562,13.674740562,13.674740562,13.674740562,13.674740562,2.07266441,5.889273407,6.889273407,7.882352992,7.882352992,10.674740562,13.674740562,13.674740562,13.674740562,13.674740562,5.889273407,6.889273407,7.882352992,7.882352992,7.882352992,12.868512162,12.868512162,12.868512162,12.868512162,12.868512162,6.647058907,6.647058907,6.647058907,6.647058907,6.647058907,9.647058907,9.647058907,9.647058907,9.647058907,9.647058907
