"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"who_full_mismatch","NY","CA","CAN","UK","GER","FR","HK","SCP","JP","SG"
"2013","8","7.42857142857143","7.33333333333333","7.71428571428571","8.4","6.94117647058824","7.75","7.84210526315789","9.18181818181818","8.63636363636364"
"2014","11.5","11.0833333333333","11.3333333333333","12.0425531914894","11.2857142857143","11.6229508196721","12.8461538461538","10.8076923076923","11.7637130801688","11.6"
"2015","14.5","13.9","15.5","14.8181818181818","13.8125","13.7647058823529","13.9090909090909","12.6153846153846","15","14.5508474576271"
"2016","15.4807692307692","15.3924050632911","15.551724137931","15.6348314606742","15.52","15.6770186335404","15.5","14.3908045977012","16.5542168674699","15.6086956521739"
"2017","17.25","17.3333333333333","19","18.4444444444444","16.2222222222222","17.7368421052632","17.390243902439","16.6969696969697","18.2366863905325","18.0887096774194"
"2018","5.37931034482759","5.38","5.78787878787879","6.40123456790123","6.7","6.17857142857143","6.06849315068493","5.43203883495146","6.6551724137931","5.82113821138211"
"2019","7.375","7.42657342657343","7.1875","8.19465648854962","8.04081632653061","7.65591397849462","9.13636363636364","8.1497975708502","8.7065868263473","9.52336448598131"
"2020","7.93478260869565","8.2621359223301","8.11764705882353","8.19402985074627","8.36363636363636","8.09852216748769","8.23333333333333","7.41891891891892","8.23684210526316","8"
"beth_full_mismatch","NY","CA","CAN","UK","GER","FR","HK","SCP","JP","SG"
"2013","3.8","3.42857142857143","4.66666666666667","3.71428571428571","6.8","3.70588235294118","4.5","3.84210526315789","5.58181818181818","4.96969696969697"
"2014","5.5","5.83333333333333","5.33333333333333","6.17021276595745","5.28571428571429","5.75409836065574","6.84615384615385","5.05769230769231","5.77637130801688","6"
"2015","5.5","4.9","8.5","5.81818181818182","5.0625","4.79411764705882","5.45454545454545","4.84615384615385","6.05405405405405","5.82203389830508"
"2016","1.03846153846154","0.708860759493671","1.24137931034483","1.3061797752809","0.66","1.17391304347826","2.22727272727273","4.64367816091954","2.4859437751004","1.96376811594203"
"2017","2.25","2.41666666666667","4","3.51851851851852","1.22222222222222","3.05263157894737","2.73170731707317","2.97979797979798","3.37278106508876","3.67741935483871"
"2018","5.37931034482759","5.38","5.78787878787879","6.40123456790123","6.7","6.17857142857143","6.06849315068493","5.43203883495146","6.6551724137931","5.82113821138211"
"2019","3.75","3.99300699300699","3.52083333333333","4.44274809160305","4.55102040816327","4.26881720430108","5.20454545454545","4.54655870445344","4.88023952095808","5.5607476635514"
"2020","3.34782608695652","3.14563106796116","3.17647058823529","2.46268656716418","3","2.24137931034483","2.23333333333333","2.74324324324324","2.23684210526316","2.03252032520325"
"answer_full_mismatch","NY","CA","CAN","UK","GER","FR","HK","SCP","JP","SG"
