"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"who_full_mismatch","NY","CA","CAN","UK","GER","FR","HK","SCP","JP","SG"
"2003","19.0555555555556",NA,NA,NA,NA,NA,NA,"24.1","25","25"
"2004","24.125","24.6666666666667",NA,"24.4603174603175",NA,NA,"26.1714285714286","25.8823529411765","26","24.6666666666667"
"2005","10.283950617284","10.75","19.5",NA,NA,NA,"10.5897435897436","10.8181818181818","9","12"
"2006","6.64150943396226","6","14.2",NA,NA,NA,NA,"16.5","8.4",NA
"2007","9.40625","9","17.1818181818182",NA,NA,"11.5","10","9.81818181818182","9.4","9.58333333333333"
"2008","11.0243902439024","11.9",NA,NA,"10","11.5","10","11.5714285714286","11.25","10.875"
"2009","8.72727272727273","7.01369863013699","7.83333333333333",NA,NA,"5.36842105263158","9.5593220338983","10.0215053763441","7.66666666666667","10.1785714285714"
"2010","10.5","12.25","11.9285714285714","12",NA,"12","11.1818181818182","12.2222222222222","12","11.0487804878049"
"2011","9.5","9.05555555555556","9.36666666666667","9.14285714285714","9.28571428571429","8.77777777777778","9.38461538461539","9.125","11.3333333333333","9.76510067114094"
"2012","10.5789473684211","10.6666666666667","10.2692307692308","10.0909090909091","11.5","10.5","12.3333333333333","11.68","11.6060606060606","10.9333333333333"
"2013","6.59803921568627","6.63333333333333","6.5","7.82608695652174","8.27272727272727","6.90476190476191","6.7","7.63333333333333","6.15384615384615","5.81481481481481"
"2014","10.6666666666667","8.78125","9.80952380952381","10.2380952380952","8.5","7.85","9.67567567567568","9.34306569343066","8.56175298804781","9.78666666666667"
"2015","13.1468926553672","12.8589743589744","12.7454545454545","13.735","13.0181818181818","12.2025316455696","13.1176470588235","12.8208092485549","13.7286324786325","13.530303030303"
"2016","8.74137931034483","10.5511811023622","12.3132530120482","13.7090909090909","5.53846153846154","13.1621621621622","12.962962962963","11.5135135135135","13.046875","13.8657718120805"
"2017","7.24311926605505","6.65921787709497","6.88655462184874","5.24","5.93103448275862","4.97598253275109","6.33047210300429","5.93403693931398","6.59907834101382","7.33333333333333"
"2018","5.53846153846154","4.91549295774648","5.52549889135255","5.85441176470588","5.84905660377358","7.48333333333333","9.10606060606061","8.09574468085106","6.90405904059041","8.28947368421053"
"2019","16.6641221374046","16.031007751938","12.3048128342246","11.6622073578595","12.6344086021505","11.8785714285714","9.78082191780822","10.1561771561772","10.2172701949861","9.0472972972973"
"2020","18.9473684210526","17.7631578947368","18.8761904761905","7.02714932126697","10.8770053475936","12.990990990991","18.5806451612903","17.6076923076923","18.5977011494253","19.3255813953488"
"beth_full_mismatch","NY","CA","CAN","UK","GER","FR","HK","SCP","JP","SG"
"2003","11.1111111111111",NA,NA,NA,NA,NA,NA,"7.7","9","8"
"2004","3.46590909090909","4.66666666666667",NA,"3.9047619047619",NA,NA,"6.71428571428571","6.38235294117647","5","3"
"2005","4.2962962962963","4.75","15.25",NA,NA,NA,"5.56410256410256","5.81818181818182","5","6"
"2006","1.67924528301887","1.875","13.6",NA,NA,NA,NA,"13","3.4",NA
"2007","6.40625","5.44444444444444","11.2727272727273",NA,NA,"3.5","8","8.09090909090909","9.4","7.25"
"2008","9.02439024390244","10.2",NA,NA,"8","9.5","8","9.52380952380952","9.25","9.625"
"2009","4.75324675324675","3.03424657534247","3.83333333333333",NA,NA,"1.36842105263158","5.59322033898305","6.1505376344086","3.66666666666667","6.17857142857143"
"2010","6.5","8.25","7.92857142857143","8",NA,"8","7.18181818181818","8.22222222222222","8","7.04878048780488"
"2011","9.4375","9.05555555555556","9.3","8.85714285714286","9.28571428571429","8.55555555555556","9.38461538461539","9.125","11.3333333333333","9.76510067114094"
"2012","7.97368421052632","6.66666666666667","8.96153846153846","9.52272727272727","11","10.3823529411765","12.3333333333333","12.26","11.2813852813853","10.7733333333333"
"2013","4.20588235294118","4.9","4.13636363636364","4.82608695652174","7.45454545454545","4.19047619047619","3.7","4.96666666666667","3.85897435897436","3.77777777777778"
"2014","6.77777777777778","4.78125","5.80952380952381","6.33333333333333","4.57142857142857","4","5.72972972972973","5.56204379562044","5.10358565737052","5.84"
"2015","9.66666666666667","9.32051282051282","9.28181818181818","10.0075","8.94545454545455","8.29113924050633","9.52941176470588","8.52601156069364","10.7735042735043","10.2121212121212"
"2016","8.18965517241379","9.97637795275591","11.4578313253012","12.7636363636364","5.92307692307692","12.2162162162162","11.962962962963","11.0720720720721","12.0729166666667","12.8657718120805"
"2017","7.04128440366972","5.93296089385475","5.41596638655462","5.18434782608696","4.93103448275862","3.59825327510917","6.78111587982833","7.15831134564644","5.85023041474654","5.64444444444444"
"2018","3.64957264957265","2.61971830985915","3.35033259423503","4.36323529411765","4.05660377358491","7.04166666666667","10.3484848484848","8.8936170212766","6.0590405904059","9.76315789473684"
