,"theta=0.1,h=0","theta=0.1,h=1","theta=0.1,h=2","theta=0.1,h=3","theta=0.1,h=4","theta=0.1,h=5","theta=0.1,h=6","theta=0.1,h=7","theta=0.1,h=8","theta=0.1,h=9","theta=0.2,h=0","theta=0.2,h=1","theta=0.2,h=2","theta=0.2,h=3","theta=0.2,h=4","theta=0.2,h=5","theta=0.2,h=6","theta=0.2,h=7","theta=0.2,h=8","theta=0.2,h=9","theta=0.3,h=0","theta=0.3,h=1","theta=0.3,h=2","theta=0.3,h=3","theta=0.3,h=4","theta=0.3,h=5","theta=0.3,h=6","theta=0.3,h=7","theta=0.3,h=8","theta=0.3,h=9","theta=0.4,h=0","theta=0.4,h=1","theta=0.4,h=2","theta=0.4,h=3","theta=0.4,h=4","theta=0.4,h=5","theta=0.4,h=6","theta=0.4,h=7","theta=0.4,h=8","theta=0.4,h=9","theta=0.5,h=0","theta=0.5,h=1","theta=0.5,h=2","theta=0.5,h=3","theta=0.5,h=4","theta=0.5,h=5","theta=0.5,h=6","theta=0.5,h=7","theta=0.5,h=8","theta=0.5,h=9","theta=0.6,h=0","theta=0.6,h=1","theta=0.6,h=2","theta=0.6,h=3","theta=0.6,h=4","theta=0.6,h=5","theta=0.6,h=6","theta=0.6,h=7","theta=0.6,h=8","theta=0.6,h=9","theta=0.7,h=0","theta=0.7,h=1","theta=0.7,h=2","theta=0.7,h=3","theta=0.7,h=4","theta=0.7,h=5","theta=0.7,h=6","theta=0.7,h=7","theta=0.7,h=8","theta=0.7,h=9","theta=0.8,h=0","theta=0.8,h=1","theta=0.8,h=2","theta=0.8,h=3","theta=0.8,h=4","theta=0.8,h=5","theta=0.8,h=6","theta=0.8,h=7","theta=0.8,h=8","theta=0.8,h=9","theta=0.9,h=0","theta=0.9,h=1","theta=0.9,h=2","theta=0.9,h=3","theta=0.9,h=4","theta=0.9,h=5","theta=0.9,h=6","theta=0.9,h=7","theta=0.9,h=8","theta=0.9,h=9"
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,2.7678571,2.7678571,2.7678571,2.7678571,2.7678571,2.7678571,2.7678571,2.7678571,2.7678571,2.7678571,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.625,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,1.09994874,3.34439311,3.34439311,3.34439311,3.34439311,3.34439311,3.34439311,3.34439311,3.34439311,3.34439311,3.09836139,3.09836139,3.09836139,3.09836139,3.09836139,3.09836139,3.09836139,3.09836139,3.09836139,3.09836139,3.09836139,3.09836139,3.09836139,3.09836139,3.09836139,3.09836139,3.09836139,3.09836139,3.09836139,3.09836139,2.14280589,2.14280589,2.14280589,2.14280589,2.14280589,2.14280589,2.14280589,2.14280589,2.14280589,2.14280589,2.14280589,2.14280589,2.14280589,2.14280589,2.14280589,2.14280589,2.14280589,2.14280589,2.14280589,2.14280589,2.14280589,2.14280589,2.14280589,2.14280589,2.14280589,2.14280589,2.14280589,2.14280589,2.14280589,2.14280589,0.23169482,0.23169482,0.23169482,0.23169482,0.23169482,0.23169482,0.23169482,0.23169482,0.23169482,0.23169482,0.23169482,0.23169482,0.23169482,0.23169482,0.23169482,0.23169482,0.23169482,0.23169482,0.23169482,0.23169482,0.23169482,0.23169482,0.23169482,0.23169482,0.23169482,0.23169482,0.23169482,0.23169482,0.23169482,0.23169482
2009,91.8154521,92.91772482,93.48022482,93.48022482,93.48022482,93.48022482,93.48022482,93.48022482,93.48022482,93.48022482,92.76996509,92.76996509,92.76996509,92.76996509,92.76996509,92.76996509,92.76996509,92.76996509,92.76996509,92.76996509,92.76996509,92.76996509,92.76996509,92.76996509,92.76996509,92.76996509,92.76996509,92.76996509,92.76996509,92.76996509,92.76996509,92.76996509,92.76996509,92.76996509,92.76996509,92.76996509,92.76996509,92.76996509,92.76996509,92.76996509,92.76428327,92.76428327,92.76428327,92.76428327,92.76428327,92.76428327,92.76428327,92.76428327,92.76428327,92.76428327,92.75860145,92.75860145,92.75860145,92.75860145,92.75860145,92.75860145,92.75860145,92.75860145,92.75860145,92.75860145,92.75860145,92.75860145,92.75860145,92.75860145,92.75860145,92.75860145,92.75860145,92.75860145,92.75860145,92.75860145,92.03701054,92.03701054,92.03701054,92.03701054,92.03701054,92.03701054,92.03701054,92.03701054,92.03701054,92.03701054,92.03701054,92.03701054,92.03701054,92.03701054,92.03701054,92.03701054,92.03701054,92.03701054,92.03701054,92.03701054
2010,3.8222222,116.1222222,117.1222222,117.1222222,117.1222222,117.1222222,117.1222222,117.1222222,117.1222222,117.1222222,3.1,116.4,116.4,116.4,116.4,116.4,116.4,116.4,116.4,116.4,2.3,115.6,115.6,115.6,115.6,115.6,115.6,115.6,115.6,115.6,1.9,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,115.2,1.1,114.4,114.4,114.4,114.4,114.4,114.4,114.4,114.4,114.4,0.6,113.4,113.4,113.4,113.4,113.4,113.4,113.4,113.4,113.4,1.5,112.2,112.2,112.2,112.2,112.2,112.2,112.2,112.2,112.2,7,112.7,112.7,112.7,112.7,112.7,112.7,112.7,112.7,112.7,112.3,113.3,113.3,113.3,113.3,113.3,113.3,113.3,113.3,113.3
2011,4.2499996,6.4722218,117.0138886,117.9027775,117.9027775,117.9027775,117.9027775,117.9027775,117.9027775,117.9027775,3.4444442,4.222222,115.6527777,115.6527777,115.6527777,115.6527777,115.6527777,115.6527777,115.6527777,115.6527777,3.222222,3.9999998,115.2083333,115.2083333,115.2083333,115.2083333,115.2083333,115.2083333,115.2083333,115.2083333,2.5555554,3.3333332,114.2083334,114.2083334,114.2083334,114.2083334,114.2083334,114.2083334,114.2083334,114.2083334,2.4444444,2.4444444,113.3194446,113.3194446,113.3194446,113.3194446,113.3194446,113.3194446,113.3194446,113.3194446,2.4444444,2.4444444,112.3194446,112.3194446,112.3194446,112.3194446,112.3194446,112.3194446,112.3194446,112.3194446,2.4444444,3.4444444,110.0972223,110.0972223,110.0972223,110.0972223,110.0972223,110.0972223,110.0972223,110.0972223,2.8888889,8.6666667,109.763889,109.763889,109.763889,109.763889,109.763889,109.763889,109.763889,109.763889,3.7777778,101.7777778,101.7777778,101.7777778,101.7777778,101.7777778,101.7777778,101.7777778,101.7777778,101.7777778
2012,0.79999994,3.13333324,5.86666654,116.4,117.4,117.4,117.4,117.4,117.4,117.4,0.4,4.1333333,5.1333333,116.6666667,116.6666667,116.6666667,116.6666667,116.6666667,116.6666667,116.6666667,0.9333333,3.3999999,4.3999999,115.6666666,115.6666666,115.6666666,115.6666666,115.6666666,115.6666666,115.6666666,2.3999999,3.3999999,4.3999999,115.6666666,115.6666666,115.6666666,115.6666666,115.6666666,115.6666666,115.6666666,2.3999999,4.3999999,4.3999999,115.6666666,115.6666666,115.6666666,115.6666666,115.6666666,115.6666666,115.6666666,2.3999999,4.3999999,4.3999999,114.6666666,114.6666666,114.6666666,114.6666666,114.6666666,114.6666666,114.6666666,3.3999999,4.3999999,5.3999999,112.6666666,112.6666666,112.6666666,112.6666666,112.6666666,112.6666666,112.6666666,2.9333333,3.9333333,9.8,111.2,111.2,111.2,111.2,111.2,111.2,111.2,3.9333333,4.9333333,100.8666666,100.8666666,100.8666666,100.8666666,100.8666666,100.8666666,100.8666666,100.8666666
2013,2.82758629,2.82758629,3.96551729,6.82758629,116,116.9310345,116.9310345,116.9310345,116.9310345,116.9310345,2.27586211,3.17241381,5.03448281,6.03448281,115.8965517,115.8965517,115.8965517,115.8965517,115.8965517,115.8965517,3.17241381,3.17241381,5.03448281,6.03448281,114.8965517,114.8965517,114.8965517,114.8965517,114.8965517,114.8965517,2.82758622,3.68965522,4.68965522,5.68965522,114.5517241,114.5517241,114.5517241,114.5517241,114.5517241,114.5517241,2.82758622,3.68965522,5.68965522,5.68965522,114.137931,114.137931,114.137931,114.137931,114.137931,114.137931,2.24137932,3.10344832,5.10344832,5.10344832,112.5517241,112.5517241,112.5517241,112.5517241,112.5517241,112.5517241,2.24137932,4.10344832,5.10344832,6.10344832,111.5517241,111.5517241,111.5517241,111.5517241,111.5517241,111.5517241,3.10344832,5.10344832,6.10344832,12.06896556,111.6206896,111.6206896,111.6206896,111.6206896,111.6206896,111.6206896,3.10344832,6.10344832,7.10344832,99.93103452,99.93103452,99.93103452,99.93103452,99.93103452,99.93103452,99.93103452
2014,0.9166667,3.9166667,3.9166667,4.9166667,7.9166667,117.9166667,118.9166667,118.9166667,118.9166667,118.9166667,0.9166667,3.9166667,4.9166667,6.9166667,7.9166667,118.9166667,118.9166667,118.9166667,118.9166667,118.9166667,2.9166667,4.9166667,4.9166667,6.9166667,7.9166667,117.9166667,117.9166667,117.9166667,117.9166667,117.9166667,2.9166667,4.9166667,5.9166667,6.9166667,7.9166667,117.9166667,117.9166667,117.9166667,117.9166667,117.9166667,2.5,4.5,5.5,7.5,7.5,116.5,116.5,116.5,116.5,116.5,2,4,5,7,7,115,115,115,115,115,2,4,6,7,8,114,114,114,114,114,3,5,7,8,14,114,114,114,114,114,5,5,8,9,102,102,102,102,102,102
2015,2.846154,2.846154,5.846154,5.846154,6.846154,9.846154,117.6153848,118.6153848,118.6153848,118.6153848,2.3846154,2.3846154,5.3846154,6.3846154,8.3846154,9.3846154,118,118,118,118,2.1538462,4.1538462,6.1538462,6.1538462,8.1538462,9.1538462,116.7692308,116.7692308,116.7692308,116.7692308,2.1538462,4.1538462,6.1538462,7.1538462,8.1538462,9.1538462,116.4615385,116.4615385,116.4615385,116.4615385,2.1538462,4.1538462,6.1538462,7.1538462,9.1538462,9.1538462,115.4615385,115.4615385,115.4615385,115.4615385,2.1538462,4.1538462,6.1538462,7.1538462,9.1538462,9.1538462,114.4615385,114.4615385,114.4615385,114.4615385,2.1538462,4.1538462,6.1538462,8.1538462,9.1538462,10.1538462,112.8461539,112.8461539,112.8461539,112.8461539,2.1538462,5.1538462,7.1538462,9.1538462,10.1538462,16.1538462,112.0769231,112.0769231,112.0769231,112.0769231,2.1538462,7.1538462,7.1538462,10.1538462,11.1538462,102.0769231,102.0769231,102.0769231,102.0769231,102.0769231
2016,1,4.4545454,4.4545454,7.4545454,7.4545454,8.4545454,11.4545454,118.1363637,119.1363637,119.1363637,0,3.4545454,3.4545454,6.4545454,7.4545454,9.4545454,10.4545454,117.7727273,117.7727273,117.7727273,0,3.4545454,5.4545454,7.4545454,7.4545454,9.4545454,10.4545454,116.7727273,116.7727273,116.7727273,1.6363636,3.4545454,5.4545454,7.4545454,8.4545454,9.4545454,10.4545454,116.7727273,116.7727273,116.7727273,1.6363636,3.4545454,5.4545454,7.4545454,8.4545454,10.4545454,10.4545454,115.8181818,115.8181818,115.8181818,1.6363636,3.4545454,5.4545454,7.4545454,8.4545454,10.4545454,10.4545454,114.8181818,114.8181818,114.8181818,3.4545454,3.4545454,5.4545454,7.4545454,9.4545454,10.4545454,11.4545454,113.8181818,113.8181818,113.8181818,3.4545454,3.4545454,6.4545454,8.4545454,10.4545454,11.4545454,17.22727271,112.8636364,112.8636364,112.8636364,3.4545454,3.4545454,8.4545454,8.4545454,11.4545454,12.4545454,100.4090909,100.4090909,100.4090909,100.4090909
2017,1.97297296,1.97297296,5.97297296,5.97297296,8.90540539,8.90540539,9.90540539,12.90540539,118.0401703,119.0401703,1.93243242,1.93243242,5.93243242,5.93243242,8.86486485,9.86486485,11.86486485,12.86486485,118.9996298,118.9996298,1.9054054,1.9054054,5.9054054,7.87837837,9.83783783,9.83783783,11.83783783,12.83783783,117.9726027,117.9726027,1.54054055,3.54054055,5.54054055,7.51351352,9.47297298,10.47297298,11.47297298,12.47297298,117.6077379,117.6077379,1.54054055,3.54054055,5.54054055,7.51351352,9.47297298,10.47297298,12.47297298,12.47297298,115.7563866,115.7563866,1.54054055,3.54054055,5.54054055,7.51351352,9.47297298,10.47297298,12.47297298,12.47297298,114.7563866,114.7563866,1.54054055,5.54054055,5.54054055,7.51351352,9.47297298,11.47297298,12.47297298,13.47297298,114.7563866,114.7563866,1.54054055,5.54054055,5.54054055,8.47297298,10.47297298,12.47297298,13.47297298,19.47297298,113.7834136,113.7834136,4.54054055,5.54054055,5.54054055,10.47297298,10.47297298,12.47297298,13.47297298,100.8780082,100.8780082,100.8780082
