,"theta=0.1,h=0","theta=0.1,h=1","theta=0.1,h=2","theta=0.1,h=3","theta=0.1,h=4","theta=0.1,h=5","theta=0.1,h=6","theta=0.1,h=7","theta=0.1,h=8","theta=0.1,h=9","theta=0.2,h=0","theta=0.2,h=1","theta=0.2,h=2","theta=0.2,h=3","theta=0.2,h=4","theta=0.2,h=5","theta=0.2,h=6","theta=0.2,h=7","theta=0.2,h=8","theta=0.2,h=9","theta=0.3,h=0","theta=0.3,h=1","theta=0.3,h=2","theta=0.3,h=3","theta=0.3,h=4","theta=0.3,h=5","theta=0.3,h=6","theta=0.3,h=7","theta=0.3,h=8","theta=0.3,h=9","theta=0.4,h=0","theta=0.4,h=1","theta=0.4,h=2","theta=0.4,h=3","theta=0.4,h=4","theta=0.4,h=5","theta=0.4,h=6","theta=0.4,h=7","theta=0.4,h=8","theta=0.4,h=9","theta=0.5,h=0","theta=0.5,h=1","theta=0.5,h=2","theta=0.5,h=3","theta=0.5,h=4","theta=0.5,h=5","theta=0.5,h=6","theta=0.5,h=7","theta=0.5,h=8","theta=0.5,h=9","theta=0.6,h=0","theta=0.6,h=1","theta=0.6,h=2","theta=0.6,h=3","theta=0.6,h=4","theta=0.6,h=5","theta=0.6,h=6","theta=0.6,h=7","theta=0.6,h=8","theta=0.6,h=9","theta=0.7,h=0","theta=0.7,h=1","theta=0.7,h=2","theta=0.7,h=3","theta=0.7,h=4","theta=0.7,h=5","theta=0.7,h=6","theta=0.7,h=7","theta=0.7,h=8","theta=0.7,h=9","theta=0.8,h=0","theta=0.8,h=1","theta=0.8,h=2","theta=0.8,h=3","theta=0.8,h=4","theta=0.8,h=5","theta=0.8,h=6","theta=0.8,h=7","theta=0.8,h=8","theta=0.8,h=9","theta=0.9,h=0","theta=0.9,h=1","theta=0.9,h=2","theta=0.9,h=3","theta=0.9,h=4","theta=0.9,h=5","theta=0.9,h=6","theta=0.9,h=7","theta=0.9,h=8","theta=0.9,h=9"
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,1.875,2.375,2.375,2.375,2.375,2.375,2.375,2.375,2.375,2.375,1,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1,1,1,1,1,1,1,1,1,1,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012,2.6666664,3.5555553,4.222222,4.222222,4.222222,4.222222,4.222222,4.222222,4.222222,4.222222,2.6666665,2.8888887,3.5555554,3.5555554,3.5555554,3.5555554,3.5555554,3.5555554,3.5555554,3.5555554,1.5555555,1.5555555,1.5555555,1.5555555,1.5555555,1.5555555,1.5555555,1.5555555,1.5555555,1.5555555,1.5555555,1.5555555,1.5555555,1.5555555,1.5555555,1.5555555,1.5555555,1.5555555,1.5555555,1.5555555,1.3333334,1.3333334,1.3333334,1.3333334,1.3333334,1.3333334,1.3333334,1.3333334,1.3333334,1.3333334,1.5555556,1.5555556,1.5555556,1.5555556,1.5555556,1.5555556,1.5555556,1.5555556,1.5555556,1.5555556,0.2222222,0.2222222,0.2222222,0.2222222,0.2222222,0.2222222,0.2222222,0.2222222,0.2222222,0.2222222,0.2222222,0.2222222,0.2222222,0.2222222,0.2222222,0.2222222,0.2222222,0.2222222,0.2222222,0.2222222,0.2222222,0.2222222,0.2222222,0.2222222,0.2222222,0.2222222,0.2222222,0.2222222,0.2222222,0.2222222
2013,3.875,3.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,3.5625,3.5625,4.5625,4.5625,4.5625,4.5625,4.5625,4.5625,4.5625,4.5625,3.5625,3.5625,3.5625,3.5625,3.5625,3.5625,3.5625,3.5625,3.5625,3.5625,3.5625,3.5625,3.5625,3.5625,3.5625,3.5625,3.5625,3.5625,3.5625,3.5625,3.5625,3.5625,3.5625,3.5625,3.5625,3.5625,3.5625,3.5625,3.5625,3.5625,4.5625,4.5625,4.5625,4.5625,4.5625,4.5625,4.5625,4.5625,4.5625,4.5625,4.5625,4.5625,4.5625,4.5625,4.5625,4.5625,4.5625,4.5625,4.5625,4.5625,4.5625,4.5625,4.5625,4.5625,4.5625,4.5625,4.5625,4.5625,4.5625,4.5625,4.5625,4.5625,4.5625,4.5625,4.5625,4.5625,4.5625,4.5625,4.5625,4.5625
2014,3.0833335,9.91666684,9.91666684,10.91666684,10.91666684,10.91666684,10.91666684,10.91666684,10.91666684,10.91666684,4.00000017,9.91666684,9.91666684,10.91666684,10.91666684,10.91666684,10.91666684,10.91666684,10.91666684,10.91666684,4.91666684,9.91666684,9.91666684,9.91666684,9.91666684,9.91666684,9.91666684,9.91666684,9.91666684,9.91666684,5.91666684,9.91666684,9.91666684,9.91666684,9.91666684,9.91666684,9.91666684,9.91666684,9.91666684,9.91666684,6.66666674,8.66666674,8.66666674,8.66666674,8.66666674,8.66666674,8.66666674,8.66666674,8.66666674,8.66666674,5.66666674,8.66666674,8.66666674,8.66666674,8.66666674,8.66666674,8.66666674,8.66666674,8.66666674,8.66666674,5.66666674,8.66666674,8.66666674,8.66666674,8.66666674,8.66666674,8.66666674,8.66666674,8.66666674,8.66666674,5.66666674,8.66666674,8.66666674,8.66666674,8.66666674,8.66666674,8.66666674,8.66666674,8.66666674,8.66666674,5.66666674,8.66666674,8.66666674,8.66666674,8.66666674,8.66666674,8.66666674,8.66666674,8.66666674,8.66666674
2015,3,4.375,10.75,10.75,11.75,11.75,11.75,11.75,11.75,11.75,2.625,4.625,10.25,10.25,11.25,11.25,11.25,11.25,11.25,11.25,1.375,4.125,9,9,9,9,9,9,9,9,1.25,5,8.875,8.875,8.875,8.875,8.875,8.875,8.875,8.875,2.5,6.875,8.875,8.875,8.875,8.875,8.875,8.875,8.875,8.875,2.5,6.875,9.875,9.875,9.875,9.875,9.875,9.875,9.875,9.875,2.5,6.875,9.875,9.875,9.875,9.875,9.875,9.875,9.875,9.875,2.5,5.375,8.375,8.375,8.375,8.375,8.375,8.375,8.375,8.375,2.5,4.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
2016,0.9,2.75,4.75,11.4,11.4,12.4,12.4,12.4,12.4,12.4,1.15,2.55,5.55,11.2,11.2,12.2,12.2,12.2,12.2,12.2,0.95,2.35,6.35,11,11,11,11,11,11,11,0,1.4,6.4,10.05,10.05,10.05,10.05,10.05,10.05,10.05,0,3.4,8.05,10.05,10.05,10.05,10.05,10.05,10.05,10.05,0,3.4,8.05,11.05,11.05,11.05,11.05,11.05,11.05,11.05,3.4,3.4,7.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,3.4,3.4,5.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,3.4,3.4,5.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4
2017,2.20338982,2.20338982,4.16949152,6.16949152,13.08474575,13.08474575,14.08474575,14.08474575,14.08474575,14.08474575,2.18644067,2.18644067,4.15254237,7.15254237,13.0677966,13.0677966,14.0677966,14.0677966,14.0677966,14.0677966,2.18644067,2.18644067,4.15254237,8.15254237,13.0677966,13.0677966,13.0677966,13.0677966,13.0677966,13.0677966,2.18644067,2.18644067,4.15254237,9.10169491,13.0677966,13.0677966,13.0677966,13.0677966,13.0677966,13.0677966,2.18644067,2.18644067,6.15254237,11.0677966,13.0677966,13.0677966,13.0677966,13.0677966,13.0677966,13.0677966,2.18644067,2.18644067,6.15254237,11.0677966,14.0677966,14.0677966,14.0677966,14.0677966,14.0677966,14.0677966,2.18644067,6.15254237,6.15254237,10.10169491,13.10169491,13.10169491,13.10169491,13.10169491,13.10169491,13.10169491,4.15254237,6.15254237,6.15254237,8.10169491,11.10169491,11.10169491,11.10169491,11.10169491,11.10169491,11.10169491,4.15254237,6.15254237,6.15254237,8.10169491,11.10169491,11.10169491,11.10169491,11.10169491,11.10169491,11.10169491
2018,1.95714291,5.88571435,5.88571435,7.88571435,9.88571435,16.87142864,16.87142864,17.87142864,17.87142864,17.87142864,1.80000001,5.72857145,5.72857145,7.72857145,10.72857145,16.71428574,16.71428574,17.71428574,17.71428574,17.71428574,1.58571431,5.51428575,5.51428575,7.51428575,11.50000004,16.50000004,16.50000004,16.50000004,16.50000004,16.50000004,1.78571427,4.75714285,4.75714285,6.75714285,11.74285714,15.74285714,15.74285714,15.74285714,15.74285714,15.74285714,2.77142856,4.75714285,4.75714285,8.75714285,13.74285714,15.74285714,15.74285714,15.74285714,15.74285714,15.74285714,3.75714285,4.75714285,4.75714285,8.75714285,13.74285714,16.74285714,16.74285714,16.74285714,16.74285714,16.74285714,3.75714285,4.75714285,8.75714285,8.75714285,12.74285714,15.74285714,15.74285714,15.74285714,15.74285714,15.74285714,3.75714285,6.75714285,8.75714285,8.75714285,10.75714285,13.75714285,13.75714285,13.75714285,13.75714285,13.75714285,4.65714285,6.65714285,8.65714285,8.65714285,10.65714285,13.65714285,13.65714285,13.65714285,13.65714285,13.65714285
