"","theta=0.1,h=0","theta=0.1,h=1","theta=0.1,h=2","theta=0.1,h=3","theta=0.1,h=4","theta=0.1,h=5","theta=0.1,h=6","theta=0.1,h=7","theta=0.1,h=8","theta=0.1,h=9","theta=0.2,h=0","theta=0.2,h=1","theta=0.2,h=2","theta=0.2,h=3","theta=0.2,h=4","theta=0.2,h=5","theta=0.2,h=6","theta=0.2,h=7","theta=0.2,h=8","theta=0.2,h=9","theta=0.3,h=0","theta=0.3,h=1","theta=0.3,h=2","theta=0.3,h=3","theta=0.3,h=4","theta=0.3,h=5","theta=0.3,h=6","theta=0.3,h=7","theta=0.3,h=8","theta=0.3,h=9","theta=0.4,h=0","theta=0.4,h=1","theta=0.4,h=2","theta=0.4,h=3","theta=0.4,h=4","theta=0.4,h=5","theta=0.4,h=6","theta=0.4,h=7","theta=0.4,h=8","theta=0.4,h=9","theta=0.5,h=0","theta=0.5,h=1","theta=0.5,h=2","theta=0.5,h=3","theta=0.5,h=4","theta=0.5,h=5","theta=0.5,h=6","theta=0.5,h=7","theta=0.5,h=8","theta=0.5,h=9","theta=0.6,h=0","theta=0.6,h=1","theta=0.6,h=2","theta=0.6,h=3","theta=0.6,h=4","theta=0.6,h=5","theta=0.6,h=6","theta=0.6,h=7","theta=0.6,h=8","theta=0.6,h=9","theta=0.7,h=0","theta=0.7,h=1","theta=0.7,h=2","theta=0.7,h=3","theta=0.7,h=4","theta=0.7,h=5","theta=0.7,h=6","theta=0.7,h=7","theta=0.7,h=8","theta=0.7,h=9","theta=0.8,h=0","theta=0.8,h=1","theta=0.8,h=2","theta=0.8,h=3","theta=0.8,h=4","theta=0.8,h=5","theta=0.8,h=6","theta=0.8,h=7","theta=0.8,h=8","theta=0.8,h=9","theta=0.9,h=0","theta=0.9,h=1","theta=0.9,h=2","theta=0.9,h=3","theta=0.9,h=4","theta=0.9,h=5","theta=0.9,h=6","theta=0.9,h=7","theta=0.9,h=8","theta=0.9,h=9"
"2009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2010",0.2333333,0.2333333,0.2333333,0.2333333,0.2333333,0.2333333,0.2333333,0.2333333,0.2333333,0.2333333,0.2333333,0.2333333,0.2333333,0.2333333,0.2333333,0.2333333,0.2333333,0.2333333,0.2333333,0.2333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011",1.2,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
"2012",0.14285714,2.44897954,2.44897954,2.44897954,2.44897954,2.44897954,2.44897954,2.44897954,2.44897954,2.44897954,1.67346934,2.44897954,2.44897954,2.44897954,2.44897954,2.44897954,2.44897954,2.44897954,2.44897954,2.44897954,1.65306118,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138,2.42857138
"2013",3.16666683,3.16666683,5.25000023,5.25000023,5.25000023,5.25000023,5.25000023,5.25000023,5.25000023,5.25000023,2.9166668,4.3333335,5.0000002,5.0000002,5.0000002,5.0000002,5.0000002,5.0000002,5.0000002,5.0000002,2.1666668,3.5833335,4.2500002,4.2500002,4.2500002,4.2500002,4.2500002,4.2500002,4.2500002,4.2500002,2.1666668,4.2500002,4.2500002,4.2500002,4.2500002,4.2500002,4.2500002,4.2500002,4.2500002,4.2500002,2.1666668,4.2500002,4.2500002,4.2500002,4.2500002,4.2500002,4.2500002,4.2500002,4.2500002,4.2500002,2.1666668,4.2500002,4.2500002,4.2500002,4.2500002,4.2500002,4.2500002,4.2500002,4.2500002,4.2500002,2.1666668,2.9166668,2.9166668,2.9166668,2.9166668,2.9166668,2.9166668,2.9166668,2.9166668,2.9166668,4.2500002,4.2500002,4.2500002,4.2500002,4.2500002,4.2500002,4.2500002,4.2500002,4.2500002,4.2500002,4.2500002,4.2500002,4.2500002,4.2500002,4.2500002,4.2500002,4.2500002,4.2500002,4.2500002,4.2500002
"2014",5.3333341,8.0000007,8.0000007,10.333334,10.333334,10.333334,10.333334,10.333334,10.333334,10.333334,1.8333334,4.3333333,5.9999999,6.6666666,6.6666666,6.6666666,6.6666666,6.6666666,6.6666666,6.6666666,1.8333334,4.3333333,5.9999999,6.6666666,6.6666666,6.6666666,6.6666666,6.6666666,6.6666666,6.6666666,1.5000001,4,6.3333333,6.3333333,6.3333333,6.3333333,6.3333333,6.3333333,6.3333333,6.3333333,1.5000001,4,6.3333333,6.3333333,6.3333333,6.3333333,6.3333333,6.3333333,6.3333333,6.3333333,1.5000001,4,6.3333333,6.3333333,6.3333333,6.3333333,6.3333333,6.3333333,6.3333333,6.3333333,4,4,4.8333333,4.8333333,4.8333333,4.8333333,4.8333333,4.8333333,4.8333333,4.8333333,6.3333333,6.3333333,6.3333333,6.3333333,6.3333333,6.3333333,6.3333333,6.3333333,6.3333333,6.3333333,6.3333333,6.3333333,6.3333333,6.3333333,6.3333333,6.3333333,6.3333333,6.3333333,6.3333333,6.3333333
"2015",2.38202248,5.30337079,9.12359552,9.12359552,12.1011236,12.1011236,12.1011236,12.1011236,12.1011236,12.1011236,4.11235957,6.06741575,9.03370788,11.02247192,12.01123596,12.01123596,12.01123596,12.01123596,12.01123596,12.01123596,3.61797754,5.57303372,8.53932585,10.52808989,11.51685393,11.51685393,11.51685393,11.51685393,11.51685393,11.51685393,3.61797754,5.57303372,8.53932585,11.51685393,11.51685393,11.51685393,11.51685393,11.51685393,11.51685393,11.51685393,3.61797754,5.57303372,8.53932585,11.51685393,11.51685393,11.51685393,11.51685393,11.51685393,11.51685393,11.51685393,5.57303372,5.57303372,8.53932585,11.51685393,11.51685393,11.51685393,11.51685393,11.51685393,11.51685393,11.51685393,5.57303372,8.53932585,8.53932585,9.53932585,9.53932585,9.53932585,9.53932585,9.53932585,9.53932585,9.53932585,6.56179776,11.51685393,11.51685393,11.51685393,11.51685393,11.51685393,11.51685393,11.51685393,11.51685393,11.51685393,11.51685393,11.51685393,11.51685393,11.51685393,11.51685393,11.51685393,11.51685393,11.51685393,11.51685393,11.51685393
"2016",1.2222221,3.2222221,6.2222221,10.2222221,10.2222221,13.2222221,13.2222221,13.2222221,13.2222221,13.2222221,0.6666666,4.6666666,6.6666666,9.6666666,11.6666666,12.6666666,12.6666666,12.6666666,12.6666666,12.6666666,0.4444444,4.4444444,6.4444444,9.4444444,11.4444444,12.4444444,12.4444444,12.4444444,12.4444444,12.4444444,0.4444444,4.4444444,6.4444444,9.4444444,12.4444444,12.4444444,12.4444444,12.4444444,12.4444444,12.4444444,0.4444444,4.4444444,6.4444444,9.4444444,12.4444444,12.4444444,12.4444444,12.4444444,12.4444444,12.4444444,0.4444444,6.4444444,6.4444444,9.4444444,12.4444444,12.4444444,12.4444444,12.4444444,12.4444444,12.4444444,0.4444444,6.4444444,9.4444444,9.4444444,10.4444444,10.4444444,10.4444444,10.4444444,10.4444444,10.4444444,0.4444444,7.4444444,12.4444444,12.4444444,12.4444444,12.4444444,12.4444444,12.4444444,12.4444444,12.4444444,2.4444444,12.4444444,12.4444444,12.4444444,12.4444444,12.4444444,12.4444444,12.4444444,12.4444444,12.4444444
"2017",1.35185187,2.25925928,4.25925928,7.16666669,11.09259261,11.09259261,14.09259261,14.09259261,14.09259261,14.09259261,1.20370373,3.00000004,6.88888893,8.87037041,11.83333337,13.83333337,14.83333337,14.83333337,14.83333337,14.83333337,3.00000004,3.00000004,6.88888893,8.87037041,11.83333337,13.83333337,14.83333337,14.83333337,14.83333337,14.83333337,3.00000004,3.00000004,6.88888893,8.87037041,11.83333337,14.83333337,14.83333337,14.83333337,14.83333337,14.83333337,3.00000004,3.00000004,6.88888893,8.87037041,11.83333337,14.83333337,14.83333337,14.83333337,14.83333337,14.83333337,3.00000004,3.00000004,8.87037041,8.87037041,11.83333337,14.83333337,14.83333337,14.83333337,14.83333337,14.83333337,3.00000004,3.00000004,8.87037041,11.83333337,11.83333337,12.83333337,12.83333337,12.83333337,12.83333337,12.83333337,3.00000004,3.00000004,9.87037041,14.83333337,14.83333337,14.83333337,14.83333337,14.83333337,14.83333337,14.83333337,3.00000004,4.962963,14.83333337,14.83333337,14.83333337,14.83333337,14.83333337,14.83333337,14.83333337,14.83333337
"2018",1.06666661,3.06666661,4.06666661,5.59999994,8.59999994,12.59999994,12.59999994,15.59999994,15.59999994,15.59999994,0.80000001,2.80000001,4.40000001,7.93333334,9.93333334,12.93333334,14.93333334,15.93333334,15.93333334,15.93333334,0.80000001,4.40000001,4.40000001,7.93333334,9.93333334,12.93333334,14.93333334,15.93333334,15.93333334,15.93333334,0.80000001,4.40000001,4.40000001,7.93333334,9.93333334,12.93333334,15.93333334,15.93333334,15.93333334,15.93333334,1.40000001,4.00000001,4.00000001,7.53333334,9.53333334,12.53333334,15.53333334,15.53333334,15.53333334,15.53333334,1.40000001,4.00000001,4.00000001,9.53333334,9.53333334,12.53333334,15.53333334,15.53333334,15.53333334,15.53333334,2.40000001,3.40000001,3.40000001,8.33333334,11.33333334,11.33333334,12.33333334,12.33333334,12.33333334,12.33333334,2.33333334,3.33333334,3.33333334,9.26666667,14.26666667,14.26666667,14.26666667,14.26666667,14.26666667,14.26666667,2.93333334,3.93333334,4.93333334,14.86666667,14.86666667,14.86666667,14.86666667,14.86666667,14.86666667,14.86666667
"2019",3.97058815,4.88235286,6.8529411,7.6764705,9.64705874,12.58823521,16.41176465,16.41176465,19.38235289,19.38235289,3.49999995,4.41176466,6.3823529,8.17647054,12.14705878,14.08823525,16.91176469,18.88235293,19.88235293,19.88235293,4.41176466,4.41176466,8.17647054,8.17647054,12.14705878,14.08823525,16.91176469,18.88235293,19.88235293,19.88235293,4.41176466,4.41176466,8.17647054,8.17647054,12.14705878,14.08823525,16.91176469,19.88235293,19.88235293,19.88235293,4.41176466,5.3823529,8.17647054,8.17647054,12.14705878,14.08823525,16.91176469,19.88235293,19.88235293,19.88235293,4.41176466,5.3823529,8.17647054,8.17647054,14.08823525,14.08823525,16.91176469,19.88235293,19.88235293,19.88235293,4.41176466,6.3823529,7.2058823,7.2058823,12.14705877,14.97058821,14.97058821,15.97058821,15.97058821,15.97058821,3.61764706,5.5882353,6.4117647,6.4117647,12.35294117,17.14705885,17.14705885,17.14705885,17.14705885,17.14705885,3.7647059,5.73529414,5.73529414,6.73529414,15.61764709,15.61764709,15.61764709,15.61764709,15.61764709,15.61764709
