,"theta=0.1,h=0","theta=0.1,h=1","theta=0.1,h=2","theta=0.1,h=3","theta=0.1,h=4","theta=0.1,h=5","theta=0.1,h=6","theta=0.1,h=7","theta=0.1,h=8","theta=0.1,h=9","theta=0.2,h=0","theta=0.2,h=1","theta=0.2,h=2","theta=0.2,h=3","theta=0.2,h=4","theta=0.2,h=5","theta=0.2,h=6","theta=0.2,h=7","theta=0.2,h=8","theta=0.2,h=9","theta=0.3,h=0","theta=0.3,h=1","theta=0.3,h=2","theta=0.3,h=3","theta=0.3,h=4","theta=0.3,h=5","theta=0.3,h=6","theta=0.3,h=7","theta=0.3,h=8","theta=0.3,h=9","theta=0.4,h=0","theta=0.4,h=1","theta=0.4,h=2","theta=0.4,h=3","theta=0.4,h=4","theta=0.4,h=5","theta=0.4,h=6","theta=0.4,h=7","theta=0.4,h=8","theta=0.4,h=9","theta=0.5,h=0","theta=0.5,h=1","theta=0.5,h=2","theta=0.5,h=3","theta=0.5,h=4","theta=0.5,h=5","theta=0.5,h=6","theta=0.5,h=7","theta=0.5,h=8","theta=0.5,h=9","theta=0.6,h=0","theta=0.6,h=1","theta=0.6,h=2","theta=0.6,h=3","theta=0.6,h=4","theta=0.6,h=5","theta=0.6,h=6","theta=0.6,h=7","theta=0.6,h=8","theta=0.6,h=9","theta=0.7,h=0","theta=0.7,h=1","theta=0.7,h=2","theta=0.7,h=3","theta=0.7,h=4","theta=0.7,h=5","theta=0.7,h=6","theta=0.7,h=7","theta=0.7,h=8","theta=0.7,h=9","theta=0.8,h=0","theta=0.8,h=1","theta=0.8,h=2","theta=0.8,h=3","theta=0.8,h=4","theta=0.8,h=5","theta=0.8,h=6","theta=0.8,h=7","theta=0.8,h=8","theta=0.8,h=9","theta=0.9,h=0","theta=0.9,h=1","theta=0.9,h=2","theta=0.9,h=3","theta=0.9,h=4","theta=0.9,h=5","theta=0.9,h=6","theta=0.9,h=7","theta=0.9,h=8","theta=0.9,h=9"
2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2006,3.5,5,5,5,5,5,5,5,5,5,3.5,5,5,5,5,5,5,5,5,5,3.5,5,5,5,5,5,5,5,5,5,3.5,5,5,5,5,5,5,5,5,5,3.5,5,5,5,5,5,5,5,5,5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
2007,3,7,9,9,9,9,9,9,9,9,3,7,9,9,9,9,9,9,9,9,3,7,9,9,9,9,9,9,9,9,3,7,9,9,9,9,9,9,9,9,3,7,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,9,9,9
2008,3.5,4.5,8.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,3.5,4.5,8.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,3.25,4.25,8.25,10.25,10.25,10.25,10.25,10.25,10.25,10.25,3.25,4.25,8.25,10.25,10.25,10.25,10.25,10.25,10.25,10.25,3.25,4.25,8.25,10.25,10.25,10.25,10.25,10.25,10.25,10.25,3.25,9.25,10.25,10.25,10.25,10.25,10.25,10.25,10.25,10.25,3.25,9.25,10.25,10.25,10.25,10.25,10.25,10.25,10.25,10.25,2.5,8.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,2.5,8.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5
2009,3.95652193,7.08695671,8.08695671,12.08695671,14.00000019,14.00000019,14.00000019,14.00000019,14.00000019,14.00000019,3.86956541,6.86956541,7.86956541,11.86956541,13.78260889,13.78260889,13.78260889,13.78260889,13.78260889,13.78260889,3.60869584,6.60869584,7.60869584,11.60869584,13.52173932,13.52173932,13.52173932,13.52173932,13.52173932,13.52173932,3.60869584,6.60869584,7.60869584,11.60869584,13.52173932,13.52173932,13.52173932,13.52173932,13.52173932,13.52173932,3.13043494,6.13043494,7.13043494,11.13043494,13.04347842,13.04347842,13.04347842,13.04347842,13.04347842,13.04347842,4.13043494,6.13043494,12.04347842,13.04347842,13.04347842,13.04347842,13.04347842,13.04347842,13.04347842,13.04347842,2.73913054,4.73913054,10.65217402,11.65217402,11.65217402,11.65217402,11.65217402,11.65217402,11.65217402,11.65217402,2.73913054,4.73913054,10.65217402,11.65217402,11.65217402,11.65217402,11.65217402,11.65217402,11.65217402,11.65217402,2.73913054,4.73913054,10.65217402,11.65217402,11.65217402,11.65217402,11.65217402,11.65217402,11.65217402,11.65217402
2010,1.4375,5.6875,8.8125,9.8125,13.8125,15.8125,15.8125,15.8125,15.8125,15.8125,1.0625,5.3125,8.3125,9.3125,13.3125,15.3125,15.3125,15.3125,15.3125,15.3125,4.0625,5.0625,8.0625,9.0625,13.0625,15.0625,15.0625,15.0625,15.0625,15.0625,4.0625,5.0625,8.0625,9.0625,13.0625,15.0625,15.0625,15.0625,15.0625,15.0625,4.0625,5.0625,8.0625,9.0625,13.0625,15.0625,15.0625,15.0625,15.0625,15.0625,4.0625,6.0625,8.0625,14.0625,15.0625,15.0625,15.0625,15.0625,15.0625,15.0625,4.0625,6.0625,8.0625,14.0625,15.0625,15.0625,15.0625,15.0625,15.0625,15.0625,4.0625,6.0625,8.0625,14.0625,15.0625,15.0625,15.0625,15.0625,15.0625,15.0625,4.0625,6.0625,8.0625,14.0625,15.0625,15.0625,15.0625,15.0625,15.0625,15.0625
2011,2.90909091,2.90909091,6.90909091,10.18181822,11.18181822,15.18181822,17.18181822,17.18181822,17.18181822,17.18181822,2.90909091,2.90909091,6.90909091,9.81818182,10.81818182,14.81818182,16.81818182,16.81818182,16.81818182,16.81818182,2.90909091,5.90909091,6.90909091,9.81818182,10.81818182,14.81818182,16.81818182,16.81818182,16.81818182,16.81818182,2.90909091,5.90909091,6.90909091,9.81818182,10.81818182,14.81818182,16.81818182,16.81818182,16.81818182,16.81818182,2.90909091,5.90909091,6.90909091,9.81818182,10.81818182,14.81818182,16.81818182,16.81818182,16.81818182,16.81818182,2.90909091,5.90909091,7.90909091,9.81818182,15.81818182,16.81818182,16.81818182,16.81818182,16.81818182,16.81818182,2.90909091,5.90909091,7.90909091,9.81818182,15.81818182,16.81818182,16.81818182,16.81818182,16.81818182,16.81818182,2.90909091,5.90909091,7.90909091,9.81818182,15.81818182,16.81818182,16.81818182,16.81818182,16.81818182,16.81818182,2.90909091,5.90909091,7.90909091,9.81818182,15.81818182,16.81818182,16.81818182,16.81818182,16.81818182,16.81818182
2012,2,4.75,4.75,8.25,11.25,12.25,16.25,18.125,18.125,18.125,0.625,3.375,3.375,6.875,9.875,10.875,14.875,16.75,16.75,16.75,0.625,3.375,6,6.875,9.875,10.875,14.875,16.75,16.75,16.75,0.125,2.875,5.5,6.375,9.375,10.375,14.375,16.25,16.25,16.25,0.125,2.875,5.5,6.375,9.375,10.375,14.375,16.25,16.25,16.25,0.125,2.875,5.5,7.375,9.375,15.375,16.25,16.25,16.25,16.25,0.125,2.875,5.5,7.375,9.375,15.375,16.25,16.25,16.25,16.25,0.125,2.875,5.5,7.375,9.375,15.375,16.25,16.25,16.25,16.25,0.125,1.125,1.125,2.125,4.125,10.125,10.125,10.125,10.125,10.125
