,"theta=0.1,h=0","theta=0.1,h=1","theta=0.1,h=2","theta=0.1,h=3","theta=0.1,h=4","theta=0.1,h=5","theta=0.1,h=6","theta=0.1,h=7","theta=0.1,h=8","theta=0.1,h=9","theta=0.2,h=0","theta=0.2,h=1","theta=0.2,h=2","theta=0.2,h=3","theta=0.2,h=4","theta=0.2,h=5","theta=0.2,h=6","theta=0.2,h=7","theta=0.2,h=8","theta=0.2,h=9","theta=0.3,h=0","theta=0.3,h=1","theta=0.3,h=2","theta=0.3,h=3","theta=0.3,h=4","theta=0.3,h=5","theta=0.3,h=6","theta=0.3,h=7","theta=0.3,h=8","theta=0.3,h=9","theta=0.4,h=0","theta=0.4,h=1","theta=0.4,h=2","theta=0.4,h=3","theta=0.4,h=4","theta=0.4,h=5","theta=0.4,h=6","theta=0.4,h=7","theta=0.4,h=8","theta=0.4,h=9","theta=0.5,h=0","theta=0.5,h=1","theta=0.5,h=2","theta=0.5,h=3","theta=0.5,h=4","theta=0.5,h=5","theta=0.5,h=6","theta=0.5,h=7","theta=0.5,h=8","theta=0.5,h=9","theta=0.6,h=0","theta=0.6,h=1","theta=0.6,h=2","theta=0.6,h=3","theta=0.6,h=4","theta=0.6,h=5","theta=0.6,h=6","theta=0.6,h=7","theta=0.6,h=8","theta=0.6,h=9","theta=0.7,h=0","theta=0.7,h=1","theta=0.7,h=2","theta=0.7,h=3","theta=0.7,h=4","theta=0.7,h=5","theta=0.7,h=6","theta=0.7,h=7","theta=0.7,h=8","theta=0.7,h=9","theta=0.8,h=0","theta=0.8,h=1","theta=0.8,h=2","theta=0.8,h=3","theta=0.8,h=4","theta=0.8,h=5","theta=0.8,h=6","theta=0.8,h=7","theta=0.8,h=8","theta=0.8,h=9","theta=0.9,h=0","theta=0.9,h=1","theta=0.9,h=2","theta=0.9,h=3","theta=0.9,h=4","theta=0.9,h=5","theta=0.9,h=6","theta=0.9,h=7","theta=0.9,h=8","theta=0.9,h=9"
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,1.42857134,1.42857134,1.42857134,1.42857134,1.42857134,1.42857134,1.42857134,1.42857134,1.42857134,1.42857134,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004
2008,2.23076924,3.23076924,3.23076924,3.23076924,3.23076924,3.23076924,3.23076924,3.23076924,3.23076924,3.23076924,1.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,1.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,1.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,1.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,1.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,1.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,1.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153
2009,0.34375,2.34375,3.34375,3.34375,3.34375,3.34375,3.34375,3.34375,3.34375,3.34375,0.3125,2.3125,3.3125,3.3125,3.3125,3.3125,3.3125,3.3125,3.3125,3.3125,0.3125,2.3125,3.3125,3.3125,3.3125,3.3125,3.3125,3.3125,3.3125,3.3125,0.3125,2.3125,3.3125,3.3125,3.3125,3.3125,3.3125,3.3125,3.3125,3.3125,0.3125,2.3125,3.3125,3.3125,3.3125,3.3125,3.3125,3.3125,3.3125,3.3125,0.3125,2.3125,3.3125,3.3125,3.3125,3.3125,3.3125,3.3125,3.3125,3.3125,1.3125,2.3125,3.3125,3.3125,3.3125,3.3125,3.3125,3.3125,3.3125,3.3125,2.3125,2.3125,3.3125,3.3125,3.3125,3.3125,3.3125,3.3125,3.3125,3.3125,2.3125,3.3125,3.3125,3.3125,3.3125,3.3125,3.3125,3.3125,3.3125,3.3125
2010,1.3333333,2.30952378,4.30952378,5.30952378,5.30952378,5.30952378,5.30952378,5.30952378,5.30952378,5.30952378,3.19047618,3.19047618,5.19047618,6.19047618,6.19047618,6.19047618,6.19047618,6.19047618,6.19047618,6.19047618,2.97619048,2.97619048,4.97619048,5.97619048,5.97619048,5.97619048,5.97619048,5.97619048,5.97619048,5.97619048,2.97619048,2.97619048,4.97619048,5.97619048,5.97619048,5.97619048,5.97619048,5.97619048,5.97619048,5.97619048,2.97619048,2.97619048,4.97619048,5.97619048,5.97619048,5.97619048,5.97619048,5.97619048,5.97619048,5.97619048,2.97619048,2.97619048,4.97619048,5.97619048,5.97619048,5.97619048,5.97619048,5.97619048,5.97619048,5.97619048,2.97619048,3.97619048,4.97619048,5.97619048,5.97619048,5.97619048,5.97619048,5.97619048,5.97619048,5.97619048,2.97619048,4.97619048,4.97619048,5.97619048,5.97619048,5.97619048,5.97619048,5.97619048,5.97619048,5.97619048,2.97619048,4.97619048,5.97619048,5.97619048,5.97619048,5.97619048,5.97619048,5.97619048,5.97619048,5.97619048
2011,2.311627966,3.306976803,4.30232564,6.30232564,7.30232564,7.30232564,7.30232564,7.30232564,7.30232564,7.30232564,2.051162803,5.037209314,5.037209314,7.037209314,8.037209314,8.037209314,8.037209314,8.037209314,8.037209314,8.037209314,2.04651164,5.032558151,5.032558151,7.032558151,8.032558151,8.032558151,8.032558151,8.032558151,8.032558151,8.032558151,2.04651164,5.032558151,5.032558151,7.032558151,8.032558151,8.032558151,8.032558151,8.032558151,8.032558151,8.032558151,2.04651164,5.032558151,5.032558151,7.032558151,8.032558151,8.032558151,8.032558151,8.032558151,8.032558151,8.032558151,2.04651164,5.032558151,5.032558151,7.032558151,8.032558151,8.032558151,8.032558151,8.032558151,8.032558151,8.032558151,2.04651164,5.032558151,6.032558151,7.032558151,8.032558151,8.032558151,8.032558151,8.032558151,8.032558151,8.032558151,2.04651164,5.032558151,7.032558151,7.032558151,8.032558151,8.032558151,8.032558151,8.032558151,8.032558151,8.032558151,2.04651164,5.032558151,7.032558151,8.032558151,8.032558151,8.032558151,8.032558151,8.032558151,8.032558151,8.032558151
2012,1.14285712,4.04761902,5.04761902,6.04761902,8.04761902,9.04761902,9.04761902,9.04761902,9.04761902,9.04761902,0.7142857,3.6190476,6.6190476,6.6190476,8.6190476,9.6190476,9.6190476,9.6190476,9.6190476,9.6190476,1.3809524,3.3809524,6.3809524,6.3809524,8.3809524,9.3809524,9.3809524,9.3809524,9.3809524,9.3809524,1.3809524,3.3809524,6.3809524,6.3809524,8.3809524,9.3809524,9.3809524,9.3809524,9.3809524,9.3809524,0.9047619,2.9047619,5.9047619,5.9047619,7.9047619,8.9047619,8.9047619,8.9047619,8.9047619,8.9047619,0.9047619,2.9047619,5.9047619,5.9047619,7.9047619,8.9047619,8.9047619,8.9047619,8.9047619,8.9047619,0.9047619,2.9047619,5.9047619,6.9047619,7.9047619,8.9047619,8.9047619,8.9047619,8.9047619,8.9047619,0.9047619,2.9047619,5.9047619,7.9047619,7.9047619,8.9047619,8.9047619,8.9047619,8.9047619,8.9047619,0.9047619,2.9047619,5.9047619,7.9047619,8.9047619,8.9047619,8.9047619,8.9047619,8.9047619,8.9047619
2013,1.86111116,1.97222227,4.86111117,5.86111117,6.86111117,8.86111117,9.86111117,9.86111117,9.86111117,9.86111117,1.1666667,1.1666667,4.0555556,7.0555556,7.0555556,9.0555556,10.0555556,10.0555556,10.0555556,10.0555556,1.1666667,2.1666667,4.0555556,7.0555556,7.0555556,9.0555556,10.0555556,10.0555556,10.0555556,10.0555556,1.1666667,2.1666667,4.0555556,7.0555556,7.0555556,9.0555556,10.0555556,10.0555556,10.0555556,10.0555556,1.1666667,2.1666667,4.0555556,7.0555556,7.0555556,9.0555556,10.0555556,10.0555556,10.0555556,10.0555556,1.1666667,2.1666667,4.0555556,7.0555556,7.0555556,9.0555556,10.0555556,10.0555556,10.0555556,10.0555556,0.7777778,1.7777778,3.6666667,6.6666667,7.6666667,8.6666667,9.6666667,9.6666667,9.6666667,9.6666667,0.7777778,1.7777778,3.6666667,6.6666667,8.6666667,8.6666667,9.6666667,9.6666667,9.6666667,9.6666667,0.7777778,1.7777778,2.7777778,5.7777778,7.7777778,8.7777778,8.7777778,8.7777778,8.7777778,8.7777778
2014,0.56666667,2.43333337,2.43333337,5.4166667,6.4166667,7.4166667,9.4166667,10.4166667,10.4166667,10.4166667,0.36666667,1.85000007,1.85000007,4.8333334,7.8333334,7.8333334,9.8333334,10.8333334,10.8333334,10.8333334,0.36666667,1.85000007,2.8333334,4.8333334,7.8333334,7.8333334,9.8333334,10.8333334,10.8333334,10.8333334,0.98333337,1.85000007,2.8333334,4.8333334,7.8333334,7.8333334,9.8333334,10.8333334,10.8333334,10.8333334,0.98333337,1.85000007,2.8333334,4.8333334,7.8333334,7.8333334,9.8333334,10.8333334,10.8333334,10.8333334,0.98333337,1.85000007,2.8333334,4.8333334,7.8333334,7.8333334,9.8333334,10.8333334,10.8333334,10.8333334,0.36666667,1.23333337,2.2166667,4.2166667,7.2166667,8.2166667,9.2166667,10.2166667,10.2166667,10.2166667,1.23333337,1.23333337,2.2166667,4.2166667,7.2166667,9.2166667,9.2166667,10.2166667,10.2166667,10.2166667,1.23333337,1.23333337,2.2166667,3.2166667,6.2166667,8.2166667,9.2166667,9.2166667,9.2166667,9.2166667
2015,1.53623182,3.04347812,4.26086942,4.26086942,7.21739116,8.20289841,9.20289841,11.20289841,12.20289841,12.20289841,2.72463757,2.72463757,3.94202887,3.94202887,6.89855061,9.88405786,9.88405786,11.88405786,12.88405786,12.88405786,2.49275352,2.49275352,3.49275352,4.47826077,6.44927526,9.43478251,9.43478251,11.43478251,12.43478251,12.43478251,2.49275352,2.49275352,3.49275352,4.47826077,6.44927526,9.43478251,9.43478251,11.43478251,12.43478251,12.43478251,2.49275352,2.49275352,3.49275352,4.47826077,6.44927526,9.43478251,9.43478251,11.43478251,12.43478251,12.43478251,2.49275352,2.49275352,3.49275352,4.47826077,6.44927526,9.43478251,9.43478251,11.43478251,12.43478251,12.43478251,2.49275352,2.49275352,3.49275352,4.47826077,6.44927526,9.43478251,10.43478251,11.43478251,12.43478251,12.43478251,2.49275352,3.49275352,3.49275352,4.47826077,6.44927526,9.43478251,11.43478251,11.43478251,12.43478251,12.43478251,3.47826077,3.47826077,3.47826077,4.46376802,5.46376802,8.44927527,10.44927527,11.44927527,11.44927527,11.44927527
