"","theta=0.1,h=0","theta=0.1,h=1","theta=0.1,h=2","theta=0.1,h=3","theta=0.1,h=4","theta=0.1,h=5","theta=0.1,h=6","theta=0.1,h=7","theta=0.1,h=8","theta=0.1,h=9","theta=0.2,h=0","theta=0.2,h=1","theta=0.2,h=2","theta=0.2,h=3","theta=0.2,h=4","theta=0.2,h=5","theta=0.2,h=6","theta=0.2,h=7","theta=0.2,h=8","theta=0.2,h=9","theta=0.3,h=0","theta=0.3,h=1","theta=0.3,h=2","theta=0.3,h=3","theta=0.3,h=4","theta=0.3,h=5","theta=0.3,h=6","theta=0.3,h=7","theta=0.3,h=8","theta=0.3,h=9","theta=0.4,h=0","theta=0.4,h=1","theta=0.4,h=2","theta=0.4,h=3","theta=0.4,h=4","theta=0.4,h=5","theta=0.4,h=6","theta=0.4,h=7","theta=0.4,h=8","theta=0.4,h=9","theta=0.5,h=0","theta=0.5,h=1","theta=0.5,h=2","theta=0.5,h=3","theta=0.5,h=4","theta=0.5,h=5","theta=0.5,h=6","theta=0.5,h=7","theta=0.5,h=8","theta=0.5,h=9","theta=0.6,h=0","theta=0.6,h=1","theta=0.6,h=2","theta=0.6,h=3","theta=0.6,h=4","theta=0.6,h=5","theta=0.6,h=6","theta=0.6,h=7","theta=0.6,h=8","theta=0.6,h=9","theta=0.7,h=0","theta=0.7,h=1","theta=0.7,h=2","theta=0.7,h=3","theta=0.7,h=4","theta=0.7,h=5","theta=0.7,h=6","theta=0.7,h=7","theta=0.7,h=8","theta=0.7,h=9","theta=0.8,h=0","theta=0.8,h=1","theta=0.8,h=2","theta=0.8,h=3","theta=0.8,h=4","theta=0.8,h=5","theta=0.8,h=6","theta=0.8,h=7","theta=0.8,h=8","theta=0.8,h=9","theta=0.9,h=0","theta=0.9,h=1","theta=0.9,h=2","theta=0.9,h=3","theta=0.9,h=4","theta=0.9,h=5","theta=0.9,h=6","theta=0.9,h=7","theta=0.9,h=8","theta=0.9,h=9"
"2009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2010",0.9541984,0.9541984,0.9541984,0.9541984,0.9541984,0.9541984,0.9541984,0.9541984,0.9541984,0.9541984,0.8091602,0.8091602,0.8091602,0.8091602,0.8091602,0.8091602,0.8091602,0.8091602,0.8091602,0.8091602,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122
"2011",0.31578956,1.10526326,1.10526326,1.10526326,1.10526326,1.10526326,1.10526326,1.10526326,1.10526326,1.10526326,0.05263158,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.05263158,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528
"2012",1.85714307,2.03571447,2.32142877,2.32142877,2.32142877,2.32142877,2.32142877,2.32142877,2.32142877,2.32142877,1.42857147,1.42857147,1.71428577,1.71428577,1.71428577,1.71428577,1.71428577,1.71428577,1.71428577,1.71428577,1.42857147,1.42857147,1.42857147,1.42857147,1.42857147,1.42857147,1.42857147,1.42857147,1.42857147,1.42857147,1.42857147,1.42857147,1.42857147,1.42857147,1.42857147,1.42857147,1.42857147,1.42857147,1.42857147,1.42857147,1.42857147,1.42857147,1.42857147,1.42857147,1.42857147,1.42857147,1.42857147,1.42857147,1.42857147,1.42857147,0.39285717,0.39285717,0.39285717,0.39285717,0.39285717,0.39285717,0.39285717,0.39285717,0.39285717,0.39285717,0.39285717,0.39285717,0.39285717,0.39285717,0.39285717,0.39285717,0.39285717,0.39285717,0.39285717,0.39285717,0.67857147,0.67857147,0.67857147,0.67857147,0.67857147,0.67857147,0.67857147,0.67857147,0.67857147,0.67857147,0.67857147,0.67857147,0.67857147,0.67857147,0.67857147,0.67857147,0.67857147,0.67857147,0.67857147,0.67857147
"2013",3.2142857,3.642857,3.642857,4.4999999,4.4999999,4.4999999,4.4999999,4.4999999,4.4999999,4.4999999,2.9285715,2.9285715,2.9285715,3.7857144,3.7857144,3.7857144,3.7857144,3.7857144,3.7857144,3.7857144,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.9285715,3.9285715,3.9285715,3.9285715,3.9285715,3.9285715,3.9285715,3.9285715,3.9285715,3.9285715,3.9285715,3.9285715,3.9285715,3.9285715,3.9285715,3.9285715,3.9285715,3.9285715,3.9285715,3.9285715
"2014",1.96721322,7.31147549,7.80327879,7.80327879,8.78688535,8.78688535,8.78688535,8.78688535,8.78688535,8.78688535,1.96721322,7.31147549,7.31147549,7.31147549,8.29508205,8.29508205,8.29508205,8.29508205,8.29508205,8.29508205,3.37704922,7.32786889,7.32786889,7.32786889,7.32786889,7.32786889,7.32786889,7.32786889,7.32786889,7.32786889,4.34426233,7.32786889,7.32786889,7.32786889,7.32786889,7.32786889,7.32786889,7.32786889,7.32786889,7.32786889,4.40983603,6.39344259,6.39344259,6.39344259,6.39344259,6.39344259,6.39344259,6.39344259,6.39344259,6.39344259,4.40983603,6.39344259,6.39344259,6.39344259,6.39344259,6.39344259,6.39344259,6.39344259,6.39344259,6.39344259,4.40983603,6.39344259,6.39344259,6.39344259,6.39344259,6.39344259,6.39344259,6.39344259,6.39344259,6.39344259,5.39344259,7.37704915,7.37704915,7.37704915,7.37704915,7.37704915,7.37704915,7.37704915,7.37704915,7.37704915,7.37704915,7.37704915,7.37704915,7.37704915,7.37704915,7.37704915,7.37704915,7.37704915,7.37704915,7.37704915
"2015",1.175,3.025,8.775,9.575,9.575,10.575,10.575,10.575,10.575,10.575,1.175,2.65,8.4,8.4,8.4,9.4,9.4,9.4,9.4,9.4,2.25,4.9,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,3.125,5.825,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,3.925,6.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,3.925,6.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,3.925,6.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,3.925,7.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,3.925,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8
"2016",0,1.92857143,3.92857143,9.82142857,10.82142857,10.82142857,11.82142857,11.82142857,11.82142857,11.82142857,0,1.92857143,3.92857143,9.82142857,9.82142857,9.82142857,10.82142857,10.82142857,10.82142857,10.82142857,0,3.92857143,6.92857143,10.82142857,10.82142857,10.82142857,10.82142857,10.82142857,10.82142857,10.82142857,0,4.92857143,7.92857143,10.82142857,10.82142857,10.82142857,10.82142857,10.82142857,10.82142857,10.82142857,1.92857143,5.92857143,8.89285714,10.82142857,10.82142857,10.82142857,10.82142857,10.82142857,10.82142857,10.82142857,1.92857143,5.92857143,8.89285714,10.82142857,10.82142857,10.82142857,10.82142857,10.82142857,10.82142857,10.82142857,3.92857143,5.92857143,8.89285714,10.82142857,10.82142857,10.82142857,10.82142857,10.82142857,10.82142857,10.82142857,3.92857143,5.92857143,9.82142857,11.82142857,11.82142857,11.82142857,11.82142857,11.82142857,11.82142857,11.82142857,5.92857143,5.92857143,11.82142857,11.82142857,11.82142857,11.82142857,11.82142857,11.82142857,11.82142857,11.82142857
"2017",2.6875,2.6875,4.6875,6.6875,12.6875,13.6875,13.6875,14.6875,14.6875,14.6875,2.40625,2.40625,4.40625,6.40625,12.40625,12.40625,12.40625,13.40625,13.40625,13.40625,2.40625,2.40625,6.40625,9.40625,13.40625,13.40625,13.40625,13.40625,13.40625,13.40625,2.375,2.375,7.375,10.375,13.375,13.375,13.375,13.375,13.375,13.375,2.375,4.375,8.375,11.375,13.375,13.375,13.375,13.375,13.375,13.375,2.375,4.375,8.375,11.375,13.375,13.375,13.375,13.375,13.375,13.375,2.375,6.375,8.375,11.375,13.375,13.375,13.375,13.375,13.375,13.375,2.375,6.375,8.375,12.375,14.375,14.375,14.375,14.375,14.375,14.375,2.375,8.375,8.375,14.375,14.375,14.375,14.375,14.375,14.375,14.375
"2018",1.9795918,5.85714283,5.85714283,7.83673467,9.83673467,15.57142856,16.57142856,16.57142856,17.57142856,17.57142856,1.0816326,4.95918363,4.95918363,6.93877547,8.93877547,14.67346936,14.67346936,14.67346936,15.67346936,15.67346936,1.06122444,4.93877547,4.93877547,8.91836731,11.91836731,15.6530612,15.6530612,15.6530612,15.6530612,15.6530612,1.67346939,4.63265307,4.63265307,9.61224491,12.59183675,15.3469388,15.3469388,15.3469388,15.3469388,15.3469388,2.2244898,4.20408164,6.18367348,10.18367348,13.08163267,14.91836737,14.91836737,14.91836737,14.91836737,14.91836737,2.2244898,4.20408164,6.18367348,10.18367348,13.08163267,14.91836737,14.91836737,14.91836737,14.91836737,14.91836737,3.20408164,4.20408164,8.18367348,10.18367348,13.08163267,14.91836737,14.91836737,14.91836737,14.91836737,14.91836737,3.20408164,4.20408164,8.18367348,10.18367348,13.91836737,15.91836737,15.91836737,15.91836737,15.91836737,15.91836737,4.20408164,4.20408164,10.18367348,10.18367348,15.08163267,15.08163267,15.08163267,15.08163267,15.08163267,15.08163267
