,"theta=0.1,h=0","theta=0.1,h=1","theta=0.1,h=2","theta=0.1,h=3","theta=0.1,h=4","theta=0.1,h=5","theta=0.1,h=6","theta=0.1,h=7","theta=0.1,h=8","theta=0.1,h=9","theta=0.2,h=0","theta=0.2,h=1","theta=0.2,h=2","theta=0.2,h=3","theta=0.2,h=4","theta=0.2,h=5","theta=0.2,h=6","theta=0.2,h=7","theta=0.2,h=8","theta=0.2,h=9","theta=0.3,h=0","theta=0.3,h=1","theta=0.3,h=2","theta=0.3,h=3","theta=0.3,h=4","theta=0.3,h=5","theta=0.3,h=6","theta=0.3,h=7","theta=0.3,h=8","theta=0.3,h=9","theta=0.4,h=0","theta=0.4,h=1","theta=0.4,h=2","theta=0.4,h=3","theta=0.4,h=4","theta=0.4,h=5","theta=0.4,h=6","theta=0.4,h=7","theta=0.4,h=8","theta=0.4,h=9","theta=0.5,h=0","theta=0.5,h=1","theta=0.5,h=2","theta=0.5,h=3","theta=0.5,h=4","theta=0.5,h=5","theta=0.5,h=6","theta=0.5,h=7","theta=0.5,h=8","theta=0.5,h=9","theta=0.6,h=0","theta=0.6,h=1","theta=0.6,h=2","theta=0.6,h=3","theta=0.6,h=4","theta=0.6,h=5","theta=0.6,h=6","theta=0.6,h=7","theta=0.6,h=8","theta=0.6,h=9","theta=0.7,h=0","theta=0.7,h=1","theta=0.7,h=2","theta=0.7,h=3","theta=0.7,h=4","theta=0.7,h=5","theta=0.7,h=6","theta=0.7,h=7","theta=0.7,h=8","theta=0.7,h=9","theta=0.8,h=0","theta=0.8,h=1","theta=0.8,h=2","theta=0.8,h=3","theta=0.8,h=4","theta=0.8,h=5","theta=0.8,h=6","theta=0.8,h=7","theta=0.8,h=8","theta=0.8,h=9","theta=0.9,h=0","theta=0.9,h=1","theta=0.9,h=2","theta=0.9,h=3","theta=0.9,h=4","theta=0.9,h=5","theta=0.9,h=6","theta=0.9,h=7","theta=0.9,h=8","theta=0.9,h=9"
2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,6.2375,6.2375,6.2375,6.2375,6.2375,6.2375,6.2375,6.2375,6.2375,6.2375,4.2625,4.2625,4.2625,4.2625,4.2625,4.2625,4.2625,4.2625,4.2625,4.2625,2.4125,2.4125,2.4125,2.4125,2.4125,2.4125,2.4125,2.4125,2.4125,2.4125,2.4125,2.4125,2.4125,2.4125,2.4125,2.4125,2.4125,2.4125,2.4125,2.4125,2.0125,2.0125,2.0125,2.0125,2.0125,2.0125,2.0125,2.0125,2.0125,2.0125,2.0125,2.0125,2.0125,2.0125,2.0125,2.0125,2.0125,2.0125,2.0125,2.0125,2.0125,2.0125,2.0125,2.0125,2.0125,2.0125,2.0125,2.0125,2.0125,2.0125,2.0125,2.0125,2.0125,2.0125,2.0125,2.0125,2.0125,2.0125,2.0125,2.0125,2.0125,2.0125,2.0125,2.0125,2.0125,2.0125,2.0125,2.0125,2.0125,2.0125
2005,21.1276188,25.3047615,25.3047615,25.3047615,25.3047615,25.3047615,25.3047615,25.3047615,25.3047615,25.3047615,20.7314284,23.7371427,23.7371427,23.7371427,23.7371427,23.7371427,23.7371427,23.7371427,23.7371427,23.7371427,12.4399998,15.1599998,15.1599998,15.1599998,15.1599998,15.1599998,15.1599998,15.1599998,15.1599998,15.1599998,12.1199998,14.8399998,14.8399998,14.8399998,14.8399998,14.8399998,14.8399998,14.8399998,14.8399998,14.8399998,11.6914284,14.4114284,14.4114284,14.4114284,14.4114284,14.4114284,14.4114284,14.4114284,14.4114284,14.4114284,10.9199998,13.6399998,13.6399998,13.6399998,13.6399998,13.6399998,13.6399998,13.6399998,13.6399998,13.6399998,13.3199998,13.3199998,13.3199998,13.3199998,13.3199998,13.3199998,13.3199998,13.3199998,13.3199998,13.3199998,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32
2006,4.79545459,7.20454549,8.57575769,8.57575769,8.57575769,8.57575769,8.57575769,8.57575769,8.57575769,8.57575769,6.229798,7.0479799,8.0479799,8.0479799,8.0479799,8.0479799,8.0479799,8.0479799,8.0479799,8.0479799,6.3888889,6.7979798,7.7979798,7.7979798,7.7979798,7.7979798,7.7979798,7.7979798,7.7979798,7.7979798,6.7979798,6.7979798,7.7979798,7.7979798,7.7979798,7.7979798,7.7979798,7.7979798,7.7979798,7.7979798,6.7979798,6.7979798,7.7979798,7.7979798,7.7979798,7.7979798,7.7979798,7.7979798,7.7979798,7.7979798,6.0833333,6.0833333,7.0833333,7.0833333,7.0833333,7.0833333,7.0833333,7.0833333,7.0833333,7.0833333,5.6742424,6.6742424,6.6742424,6.6742424,6.6742424,6.6742424,6.6742424,6.6742424,6.6742424,6.6742424,6.6742424,6.6742424,6.6742424,6.6742424,6.6742424,6.6742424,6.6742424,6.6742424,6.6742424,6.6742424,6.6742424,6.6742424,6.6742424,6.6742424,6.6742424,6.6742424,6.6742424,6.6742424,6.6742424,6.6742424
2007,1.3612764,5.5332221,8.72766651,10.08877761,10.08877761,10.08877761,10.08877761,10.08877761,10.08877761,10.08877761,0.8161531,6.84267396,7.84267395,8.84267395,8.84267395,8.84267395,8.84267395,8.84267395,8.84267395,8.84267395,1.56209142,7.35784305,7.99673194,8.99673194,8.99673194,8.99673194,8.99673194,8.99673194,8.99673194,8.99673194,1.47875809,7.91339861,7.91339861,8.91339861,8.91339861,8.91339861,8.91339861,8.91339861,8.91339861,8.91339861,2.11764698,7.91339861,7.91339861,8.91339861,8.91339861,8.91339861,8.91339861,8.91339861,8.91339861,8.91339861,1.53431368,7.33006531,7.33006531,8.33006531,8.33006531,8.33006531,8.33006531,8.33006531,8.33006531,8.33006531,0.89542479,6.69117642,7.69117642,7.69117642,7.69117642,7.69117642,7.69117642,7.69117642,7.69117642,7.69117642,0.89542479,7.69117642,7.69117642,7.69117642,7.69117642,7.69117642,7.69117642,7.69117642,7.69117642,7.69117642,3.86764701,6.86764701,6.86764701,6.86764701,6.86764701,6.86764701,6.86764701,6.86764701,6.86764701,6.86764701
2008,2.28714456,4.03103508,7.03528837,8.97468231,10.88377322,10.88377322,10.88377322,10.88377322,10.88377322,10.88377322,2.78861086,3.75830783,8.50840667,9.44780061,10.41749758,10.41749758,10.41749758,10.41749758,10.41749758,10.41749758,1.77298147,3.68207238,8.43217122,8.43217122,9.40186819,9.40186819,9.40186819,9.40186819,9.40186819,9.40186819,3.65176935,3.65176935,8.40186819,8.40186819,9.37156516,9.37156516,9.37156516,9.37156516,9.37156516,9.37156516,3.50146632,3.50146632,8.25156516,8.25156516,9.22126213,9.22126213,9.22126213,9.22126213,9.22126213,9.22126213,3.50146632,3.50146632,8.25156516,8.25156516,9.22126213,9.22126213,9.22126213,9.22126213,9.22126213,9.22126213,3.50146632,3.50146632,8.25156516,9.22126213,9.22126213,9.22126213,9.22126213,9.22126213,9.22126213,9.22126213,3.47116329,3.47116329,9.1909591,9.1909591,9.1909591,9.1909591,9.1909591,9.1909591,9.1909591,9.1909591,3.47116329,5.41055723,8.3109591,8.3109591,8.3109591,8.3109591,8.3109591,8.3109591,8.3109591,8.3109591
2009,15.3431376,16.3208559,17.76203235,19.98306635,21.36541927,22.77718396,22.77718396,22.77718396,22.77718396,22.77718396,15.40909124,16.87967944,17.58556179,21.18894871,21.92424281,22.6007134,22.6007134,22.6007134,22.6007134,22.6007134,3.91889482,5.38948302,6.83065947,10.43404639,10.43404639,11.11051698,11.11051698,11.11051698,11.11051698,11.11051698,3.59536542,6.50713007,6.50713007,10.11051699,10.11051699,10.78698758,10.78698758,10.78698758,10.78698758,10.78698758,2.23529421,5.14705886,5.14705886,8.75044578,8.75044578,9.42691637,9.42691637,9.42691637,9.42691637,9.42691637,2.23529421,5.14705886,5.14705886,8.75044578,8.75044578,9.42691637,9.42691637,9.42691637,9.42691637,9.42691637,2.23529421,5.14705886,5.14705886,8.10338696,8.10338696,8.10338696,8.10338696,8.10338696,8.10338696,8.10338696,3.00000001,3.00000001,3.00000001,3.00000001,3.00000001,3.00000001,3.00000001,3.00000001,3.00000001,3.00000001,3.00000001,3.00000001,3.00000001,3.00000001,3.00000001,3.00000001,3.00000001,3.00000001,3.00000001,3.00000001
2010,2.38888891,6.72222215,7.83333325,9.83333325,12.72222215,14.72222215,16.72222215,16.72222215,16.72222215,16.72222215,1.7222223,5.94444444,7.94444444,8.94444444,13.83333334,14.83333334,15.83333334,15.83333334,15.83333334,15.83333334,2.8333334,6.05555554,8.05555554,10.05555554,14.94444444,14.94444444,15.94444444,15.94444444,15.94444444,15.94444444,1.6666667,4.55555554,8.55555554,8.55555554,13.44444444,13.44444444,14.44444444,14.44444444,14.44444444,14.44444444,0.7222223,2.7222223,6.7222223,6.7222223,11.6111112,11.6111112,12.6111112,12.6111112,12.6111112,12.6111112,0.7222223,2.7222223,6.7222223,6.7222223,11.6111112,11.6111112,12.6111112,12.6111112,12.6111112,12.6111112,2.7222223,2.7222223,6.7222223,6.7222223,10.6111112,10.6111112,10.6111112,10.6111112,10.6111112,10.6111112,4.7222223,4.7222223,4.7222223,4.7222223,4.7222223,4.7222223,4.7222223,4.7222223,4.7222223,4.7222223,4.7222223,4.7222223,4.7222223,4.7222223,4.7222223,4.7222223,4.7222223,4.7222223,4.7222223,4.7222223
2011,8.14491233,9.01333338,11.77649127,12.6975439,14.47385969,17.31596495,19.15807021,21.02649126,21.02649126,21.02649126,8.89491228,8.89491228,11.65807017,13.50017543,14.35543859,19.03964911,19.98701753,20.90807016,20.90807016,20.90807016,8.92122807,9.8422807,11.68438596,13.52649122,15.3291228,20.01333332,20.01333332,20.93438595,20.93438595,20.93438595,7.17087716,8.09192979,9.93403505,13.57877189,13.57877189,18.26298241,18.26298241,19.18403504,19.18403504,19.18403504,5.76210522,6.68315785,8.52526311,12.16999995,12.16999995,16.85421047,16.85421047,17.7752631,17.7752631,17.7752631,6.68315785,6.68315785,8.52526311,12.16999995,12.16999995,16.85421047,16.85421047,17.7752631,17.7752631,17.7752631,6.68315785,8.52526311,8.52526311,12.16999995,12.16999995,15.93315784,15.93315784,15.93315784,15.93315784,15.93315784,6.68315785,10.36736837,10.36736837,10.36736837,10.36736837,10.36736837,10.36736837,10.36736837,10.36736837,10.36736837,6.68315785,10.36736837,10.36736837,10.36736837,10.36736837,10.36736837,10.36736837,10.36736837,10.36736837,10.36736837
2012,20.18100293,24.40962551,25.29672231,27.04275409,27.63005568,28.7662564,30.86303064,32.0309774,33.50716788,33.50716788,20.02227278,25.02508896,25.02508896,26.77112074,27.93906749,28.49462305,31.75934405,32.64823294,33.23553453,33.23553453,20.91756207,25.10573411,25.67716271,26.85176589,28.01971264,29.46415709,32.72887809,32.72887809,33.31617968,33.31617968,7.55401926,11.7421913,12.3136199,13.48822308,16.10061428,16.10061428,19.36533528,19.36533528,19.95263687,19.95263687,1.08141319,4.40604197,4.97747057,6.15207375,8.76446495,8.76446495,12.02918595,12.02918595,12.61648754,12.61648754,1.03379414,2.69866872,2.69866872,2.69866872,3.58755761,3.58755761,5.10368665,5.10368665,5.10368665,5.10368665,1.8973374,3.56221198,3.56221198,3.56221198,4.45110087,4.45110087,5.35432668,5.35432668,5.35432668,5.35432668,3.18305168,4.07014848,4.07014848,4.07014848,4.07014848,4.07014848,4.07014848,4.07014848,4.07014848,4.07014848,4.63466458,4.63466458,4.63466458,4.63466458,4.63466458,4.63466458,4.63466458,4.63466458,4.63466458,4.63466458
