,"theta=0.1,h=0","theta=0.1,h=1","theta=0.1,h=2","theta=0.1,h=3","theta=0.1,h=4","theta=0.1,h=5","theta=0.1,h=6","theta=0.1,h=7","theta=0.1,h=8","theta=0.1,h=9","theta=0.2,h=0","theta=0.2,h=1","theta=0.2,h=2","theta=0.2,h=3","theta=0.2,h=4","theta=0.2,h=5","theta=0.2,h=6","theta=0.2,h=7","theta=0.2,h=8","theta=0.2,h=9","theta=0.3,h=0","theta=0.3,h=1","theta=0.3,h=2","theta=0.3,h=3","theta=0.3,h=4","theta=0.3,h=5","theta=0.3,h=6","theta=0.3,h=7","theta=0.3,h=8","theta=0.3,h=9","theta=0.4,h=0","theta=0.4,h=1","theta=0.4,h=2","theta=0.4,h=3","theta=0.4,h=4","theta=0.4,h=5","theta=0.4,h=6","theta=0.4,h=7","theta=0.4,h=8","theta=0.4,h=9","theta=0.5,h=0","theta=0.5,h=1","theta=0.5,h=2","theta=0.5,h=3","theta=0.5,h=4","theta=0.5,h=5","theta=0.5,h=6","theta=0.5,h=7","theta=0.5,h=8","theta=0.5,h=9","theta=0.6,h=0","theta=0.6,h=1","theta=0.6,h=2","theta=0.6,h=3","theta=0.6,h=4","theta=0.6,h=5","theta=0.6,h=6","theta=0.6,h=7","theta=0.6,h=8","theta=0.6,h=9","theta=0.7,h=0","theta=0.7,h=1","theta=0.7,h=2","theta=0.7,h=3","theta=0.7,h=4","theta=0.7,h=5","theta=0.7,h=6","theta=0.7,h=7","theta=0.7,h=8","theta=0.7,h=9","theta=0.8,h=0","theta=0.8,h=1","theta=0.8,h=2","theta=0.8,h=3","theta=0.8,h=4","theta=0.8,h=5","theta=0.8,h=6","theta=0.8,h=7","theta=0.8,h=8","theta=0.8,h=9","theta=0.9,h=0","theta=0.9,h=1","theta=0.9,h=2","theta=0.9,h=3","theta=0.9,h=4","theta=0.9,h=5","theta=0.9,h=6","theta=0.9,h=7","theta=0.9,h=8","theta=0.9,h=9"
2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2005,7,8,8,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8
2006,7.88235316,11.35294136,12.35294136,12.35294136,12.35294136,12.35294136,12.35294136,12.35294136,12.35294136,12.35294136,6.82352947,10.29411767,11.29411767,11.29411767,11.29411767,11.29411767,11.29411767,11.29411767,11.29411767,11.29411767,6.82352947,10.29411767,11.29411767,11.29411767,11.29411767,11.29411767,11.29411767,11.29411767,11.29411767,11.29411767,5.88235297,9.35294117,10.35294117,10.35294117,10.35294117,10.35294117,10.35294117,10.35294117,10.35294117,10.35294117,5.64705887,9.11764707,10.11764707,10.11764707,10.11764707,10.11764707,10.11764707,10.11764707,10.11764707,10.11764707,5.29411767,8.76470587,9.76470587,9.76470587,9.76470587,9.76470587,9.76470587,9.76470587,9.76470587,9.76470587,5.29411767,8.11764707,9.11764707,9.11764707,9.11764707,9.11764707,9.11764707,9.11764707,9.11764707,9.11764707,5.29411767,8.11764707,9.11764707,9.11764707,9.11764707,9.11764707,9.11764707,9.11764707,9.11764707,9.11764707,5.29411767,7.29411767,8.29411767,8.29411767,8.29411767,8.29411767,8.29411767,8.29411767,8.29411767,8.29411767
2007,1.04347822,7.47826086,10.95652176,11.95652176,11.95652176,11.95652176,11.95652176,11.95652176,11.95652176,11.95652176,0.69565222,7.13043486,10.60869576,11.60869576,11.60869576,11.60869576,11.60869576,11.60869576,11.60869576,11.60869576,1.52173912,7.13043486,10.60869576,11.60869576,11.60869576,11.60869576,11.60869576,11.60869576,11.60869576,11.60869576,1.65217392,6.73913056,10.21739146,11.21739146,11.21739146,11.21739146,11.21739146,11.21739146,11.21739146,11.21739146,2.26086962,5.82608706,8.82608706,9.82608706,9.82608706,9.82608706,9.82608706,9.82608706,9.82608706,9.82608706,2.21739142,5.78260886,8.78260886,9.78260886,9.78260886,9.78260886,9.78260886,9.78260886,9.78260886,9.78260886,2.21739142,5.17391316,8.17391316,9.17391316,9.17391316,9.17391316,9.17391316,9.17391316,9.17391316,9.17391316,3.17391316,5.17391316,8.17391316,9.17391316,9.17391316,9.17391316,9.17391316,9.17391316,9.17391316,9.17391316,3.17391316,5.17391316,7.17391316,8.17391316,8.17391316,8.17391316,8.17391316,8.17391316,8.17391316,8.17391316
2008,0.25806449,1.70967736,8.38709672,12.35483866,13.35483866,13.35483866,13.35483866,13.35483866,13.35483866,13.35483866,1.3225806,2.25806447,8.93548383,12.90322577,13.90322577,13.90322577,13.90322577,13.90322577,13.90322577,13.90322577,1.3225806,2.25806447,8.93548383,12.90322577,13.90322577,13.90322577,13.90322577,13.90322577,13.90322577,13.90322577,1.3225806,2.25806447,8.93548383,12.90322577,13.90322577,13.90322577,13.90322577,13.90322577,13.90322577,13.90322577,3.25806447,4.22580641,7.93548383,10.90322577,11.90322577,11.90322577,11.90322577,11.90322577,11.90322577,11.90322577,5.22580641,5.22580641,8.93548383,11.90322577,12.90322577,12.90322577,12.90322577,12.90322577,12.90322577,12.90322577,5.22580641,5.22580641,8.19354835,11.16129029,12.16129029,12.16129029,12.16129029,12.16129029,12.16129029,12.16129029,5.22580641,6.22580641,8.19354835,11.16129029,12.16129029,12.16129029,12.16129029,12.16129029,12.16129029,12.16129029,5.22580641,6.22580641,8.19354835,10.16129029,11.16129029,11.16129029,11.16129029,11.16129029,11.16129029,11.16129029
2009,0.7391304,0.7391304,2.7391304,9.43478258,13.26086954,14.26086954,14.26086954,14.26086954,14.26086954,14.26086954,0.4347826,2.4347826,3.4347826,10.13043478,13.95652174,14.95652174,14.95652174,14.95652174,14.95652174,14.95652174,0,2,3,9.69565218,13.52173914,14.52173914,14.52173914,14.52173914,14.52173914,14.52173914,0,2,3,9.69565218,13.52173914,14.52173914,14.52173914,14.52173914,14.52173914,14.52173914,0,4,4.91304348,8.69565218,11.60869566,12.60869566,12.60869566,12.60869566,12.60869566,12.60869566,1,5.91304348,5.91304348,9.69565218,12.60869566,13.60869566,13.60869566,13.60869566,13.60869566,13.60869566,1,5.91304348,5.91304348,8.86956522,11.7826087,12.7826087,12.7826087,12.7826087,12.7826087,12.7826087,1,5.91304348,6.91304348,8.86956522,11.7826087,12.7826087,12.7826087,12.7826087,12.7826087,12.7826087,2,5.91304348,6.91304348,8.86956522,10.7826087,11.7826087,11.7826087,11.7826087,11.7826087,11.7826087
2010,2.53333324,2.53333324,2.53333324,4.53333324,11.46666657,15.46666657,16.46666657,16.46666657,16.46666657,16.46666657,2.19999997,2.19999997,4.19999997,5.19999997,12.1333333,16.1333333,17.1333333,17.1333333,17.1333333,17.1333333,2.19999997,2.19999997,4.19999997,5.19999997,12.1333333,16.1333333,17.1333333,17.1333333,17.1333333,17.1333333,1.86666667,1.86666667,3.86666667,4.86666667,11.8,15.8,16.8,16.8,16.8,16.8,1.86666667,1.86666667,5.86666667,6.86666667,10.8,13.8,14.8,14.8,14.8,14.8,1.86666667,2.86666667,7.86666667,7.86666667,11.8,14.8,15.8,15.8,15.8,15.8,1.86666667,2.86666667,7.86666667,7.86666667,10.86666667,13.86666667,14.86666667,14.86666667,14.86666667,14.86666667,1.86666667,2.86666667,7.86666667,8.86666667,10.86666667,13.86666667,14.86666667,14.86666667,14.86666667,14.86666667,1.86666667,3.86666667,7.86666667,8.86666667,10.86666667,12.86666667,13.86666667,13.86666667,13.86666667,13.86666667
2011,2.46153843,5.26923069,5.26923069,5.26923069,7.26923069,14.1346153,18.07692299,19.07692299,19.07692299,19.07692299,2.44230766,5.24999992,5.24999992,7.24999992,8.24999992,15.11538453,19.05769222,20.05769222,20.05769222,20.05769222,2.44230766,5.24999992,5.24999992,7.24999992,8.24999992,15.11538453,19.05769222,20.05769222,20.05769222,20.05769222,2.44230766,5.24999992,5.24999992,7.24999992,8.24999992,15.11538453,19.05769222,20.05769222,20.05769222,20.05769222,2.44230766,5.24999992,5.24999992,9.24999992,10.24999992,14.11538453,17.05769222,18.05769222,18.05769222,18.05769222,2.44230766,5.24999992,6.24999992,11.24999992,11.24999992,15.11538453,18.05769222,19.05769222,19.05769222,19.05769222,5.24999992,5.24999992,6.24999992,11.24999992,11.24999992,14.21153838,17.15384607,18.15384607,18.15384607,18.15384607,5.24999992,5.24999992,6.24999992,11.24999992,12.24999992,14.21153838,17.15384607,18.15384607,18.15384607,18.15384607,5.24999992,5.24999992,7.24999992,11.24999992,12.24999992,14.21153838,16.19230761,17.19230761,17.19230761,17.19230761
2012,0.17142856,2.91428567,5.82857138,5.82857138,5.82857138,7.82857138,14.65714281,18.54285711,19.54285711,19.54285711,0.1142857,2.85714281,5.77142852,5.77142852,7.77142852,8.77142852,15.59999995,19.48571425,20.48571425,20.48571425,0.1142857,2.85714281,5.77142852,5.77142852,7.77142852,8.77142852,15.59999995,19.48571425,20.48571425,20.48571425,0.1142857,2.85714281,5.77142852,5.77142852,7.77142852,8.77142852,15.59999995,19.48571425,20.48571425,20.48571425,0.1142857,2.85714281,5.77142852,5.77142852,9.77142852,10.77142852,14.59999995,17.48571425,18.48571425,18.48571425,0.1142857,2.85714281,5.77142852,6.77142852,11.77142852,11.77142852,15.59999995,18.48571425,19.48571425,19.48571425,0.9428571,5.77142852,5.77142852,6.77142852,11.77142852,11.77142852,14.71428566,17.59999996,18.59999996,18.59999996,0.9428571,5.77142852,5.77142852,6.77142852,11.77142852,12.77142852,14.71428566,17.59999996,18.59999996,18.59999996,3.82857138,5.77142852,5.77142852,7.77142852,11.77142852,12.77142852,14.71428566,16.71428566,17.71428566,17.71428566
