subtype,com,control,isolate,fc,log2fc
h1n1,WHO,40,10,4,2
h1n1,WHO,10,5,2,1
h1n1,WHO,20,5,4,2
h1n1,WHO,10,5,2,1
h1n1,WHO,20,5,4,2
h1n1,WHO,40,5,8,3
h1n1,WHO,40,5,8,3
h1n1,WHO,10,5,2,1
h1n1,WHO,20,10,2,1
h1n1,WHO,10,5,2,1
h1n1,BETH,10,5,2,1
h1n1,BETH,10,10,1,0
h1n1,BETH,40,40,1,0
h1n1,BETH,20,20,1,0
h1n1,BETH,10,10,1,0
h1n1,BETH,10,10,1,0
h1n1,BETH,40,20,2,1
h1n1,BETH,10,5,2,1
h1n1,BETH,10,5,2,1
h1n1,BETH,20,10,2,1
h3n2,WHO,40,5,8,3
h3n2,WHO,40,5,8,3
h3n2,WHO,5,5,1,0
h3n2,WHO,5,5,1,0
h3n2,WHO,80,10,8,3
h3n2,WHO,20,10,2,1
h3n2,WHO,20,10,2,1
h3n2,WHO,20,10,2,1
h3n2,WHO,10,5,2,1
h3n2,WHO,10,5,2,1
h3n2,BETH,40,5,8,3
h3n2,BETH,40,5,8,3
h3n2,BETH,40,10,4,2
h3n2,BETH,80,5,16,4
h3n2,BETH,160,40,4,2
h3n2,BETH,80,40,2,1
h3n2,BETH,80,40,2,1
h3n2,BETH,80,80,1,0
h3n2,BETH,20,10,2,1
h3n2,BETH,40,20,2,1
