name,date
A/Iowa/69/2019|EPI_ISL_402808|2019-12-13,2019/12/13
A/Texas/433/2019|EPI_ISL_2258140|2019-12-28,2019/12/28
A/Wisconsin/306/2020|EPI_ISL_2258184|2020-03-01,2020/3/1
A/Connecticut/04/2020|EPI_ISL_412245|2020-01-20,2020/1/20
A/New_York/56/2019|EPI_ISL_402824|2019-12-11,2019/12/11
A/West_Virginia/08/2020|EPI_ISL_421161|2020-02-24,2020/2/24
A/North_Carolina/34/2019|EPI_ISL_409185|2019-12-16,2019/12/16
A/Washington/56/2020|EPI_ISL_2521425|2020-01-22,2020/1/22
A/Utah/05/2020|EPI_ISL_415788|2020-01-16,2020/1/16
A/Michigan/479/2019|EPI_ISL_413335|2019-12-19,2019/12/19
A/Michigan/480/2019|EPI_ISL_413336|2019-12-19,2019/12/19
A/Michigan/461/2019|EPI_ISL_402593|2019-12-03,2019/12/3
A/Texas/54/2020|EPI_ISL_2524558|2020-01-15,2020/1/15
A/Texas/154/2020|EPI_ISL_2557667|2020-01-04,2020/1/4
A/Kentucky/33/2019|EPI_ISL_402577|2019-11-22,2019/11/22
A/Yakutsk/408/2019|EPI_ISL_409475|2019-12-05,2019/12/5
A/New_Hampshire/35/2019|EPI_ISL_404802|2019-11-21,2019/11/21
A/Michigan/128/2020|EPI_ISL_2308181|2020-02-25,2020/2/25
A/Nonthaburi/74/2020|EPI_ISL_1368105|2020-01-13,2020/1/13
A/Pennsylvania/19/2020|EPI_ISL_2557640|2020-01-02,2020/1/2
A/Pennsylvania/49/2020|EPI_ISL_2532326|2020-01-24,2020/1/24
A/Florida/125/2019|EPI_ISL_401167|2019-11-12,2019/11/12
A/Alabama/10/2020|EPI_ISL_424707|2020-03-09,2020/3/9
A/Georgia/32/2019|EPI_ISL_402563|2019-12-03,2019/12/3
A/Trinidad/5025/2019|EPI_ISL_401183|2019-10-15,2019/10/15
A/Washington/132/2020|EPI_ISL_2245115|2020-02-18,2020/2/18
A/Arkansas/29/2019|EPI_ISL_400995|2019-11-25,2019/11/25
A/Tennessee/09/2020|EPI_ISL_2246138|2020-01-07,2020/1/7
A/Tennessee/51/2020|EPI_ISL_2308168|2020-03-06,2020/3/6
A/Texas/58/2020|EPI_ISL_2524455|2020-01-16,2020/1/16
A/Washington/31/2020|EPI_ISL_2521435|2020-01-12,2020/1/12
A/Washington/697/2019|EPI_ISL_409776|2019-12-31,2019/12/31
A/Utah/10/2020|EPI_ISL_415816|2020-02-11,2020/2/11
A/Tennessee/05/2020|EPI_ISL_2245063|2020-01-03,2020/1/3
A/Denmark/286/2020|EPI_ISL_407927|2020-01-18,2020/1/18
A/Wisconsin/69/2020|EPI_ISL_2557654|2020-01-20,2020/1/20
A/Alabama/03/2020|EPI_ISL_412234|2020-02-04,2020/2/4
A/Michigan/156/2020|EPI_ISL_443147|2020-02-11,2020/2/11
A/West_Virginia/40/2019|EPI_ISL_400086|2019-10-16,2019/10/16
A/Ohio/04/2020|EPI_ISL_410826|2020-01-19,2020/1/19
A/Romania/956/2020|EPI_ISL_445195|2020-02-17,2020/2/17
A/Wyoming/02/2020|EPI_ISL_412259|2020-01-21,2020/1/21
A/Pennsylvania/171/2020|EPI_ISL_2588608|2020-02-25,2020/2/25
A/Michigan/469/2019|EPI_ISL_2584114|2019-12-11,2019/12/11
A/Denmark/305/2020|EPI_ISL_407913|2020-01-13,2020/1/13
A/Tennessee/20/2020|EPI_ISL_412233|2020-01-25,2020/1/25
A/Abidjan/0428/2021_jun|EPI_ISL_5135622|2021-06-14,2021/6/14
A/St_Petersburg/RII-151S/2019|EPI_ISL_404850|2019-11-25,2019/11/25
A/California/32/2020|EPI_ISL_415836|2020-02-05,2020/2/5
A/Texas/196/2020|EPI_ISL_2521586|2020-02-19,2020/2/19
A/Florida/02/2020|EPI_ISL_405767|2020-01-03,2020/1/3
A/Vermont/01/2020|EPI_ISL_409574|2020-01-03,2020/1/3
A/Suratthani/69/2020|EPI_ISL_1296434|2020-02-28,2020/2/28
A/New_Jersey/39/2019|EPI_ISL_401177|2019-11-21,2019/11/21
A/Delaware/03/2020|EPI_ISL_412191|2020-01-04,2020/1/4
A/Quebec/RV2494/2019|EPI_ISL_401194|2019-11-06,2019/11/6
A/Philippines/1421/2019|EPI_ISL_402523|2019-10-15,2019/10/15
A/Massachusetts/45/2019|EPI_ISL_402562|2019-11-28,2019/11/28
A/Ontario/RV2522/2019|EPI_ISL_409719|2019-11-12,2019/11/12
A/Pennsylvania/88/2020|EPI_ISL_2522034|2020-02-05,2020/2/5
A/Pennsylvania/269/2020|EPI_ISL_2521278|2020-01-16,2020/1/16
A/District_Of_Columbia/47/2019|EPI_ISL_401162|2019-11-17,2019/11/17
A/Dnipro/410/2020|EPI_ISL_487479|2020-02-07,2020/2/7
A/Massachusetts/15/2020|EPI_ISL_2246186|2020-01-03,2020/1/3
A/Pennsylvania/96/2020|EPI_ISL_2521724|2020-02-06,2020/2/6
A/California/225/2019|EPI_ISL_404493|2019-12-06,2019/12/6
A/California/206/2019|EPI_ISL_400059|2019-11-17,2019/11/17
A/Oregon/09/2020|EPI_ISL_415815|2020-02-13,2020/2/13
A/Grenada/03/2019|EPI_ISL_428221|2019-10-16,2019/10/16
A/Washington/80/2020|EPI_ISL_2522084|2020-01-29,2020/1/29
A/Picardie/096/2020|EPI_ISL_408464|2020-01-06,2020/1/6
A/Belgium/IS0181/2020|EPI_ISL_2295816|2020-01-16,2020/1/16
A/Belgium/IG0080/2020|EPI_ISL_1835186|2021-01-20,2021/1/20
A/Netherlands/00460/2020|EPI_ISL_416547|2020-03-04,2020/3/4
A/Netherlands/00470/2020|EPI_ISL_416553|2020-03-09,2020/3/9
A/Florida/141/2019|EPI_ISL_412214|2019-12-23,2019/12/23
A/Pays_de_Loire/325/2020|EPI_ISL_411979|2020-01-20,2020/1/20
A/Washington/670/2019|EPI_ISL_409739|2019-12-25,2019/12/25
A/Tennessee/10/2020|EPI_ISL_2245059|2020-01-07,2020/1/7
A/Bhutan/953/2020|EPI_ISL_637255|2020-02-10,2020/2/10
A/Nonthaburi/76/2020|EPI_ISL_1296433|2020-01-20,2020/1/20
A/Netherlands/00152/2020|EPI_ISL_410087|2020-01-17,2020/1/17
A/Michigan/84/2020|EPI_ISL_2522026|2020-02-17,2020/2/17
A/Auxonne/0309/2021_mar|EPI_ISL_5135690|2021-03-26,2021/3/26
A/Washington/655/2019|EPI_ISL_397023|2019-10-21,2019/10/21
A/California/172/2019|EPI_ISL_397017|2019-10-05,2019/10/5
A/New_Jersey/37/2019|EPI_ISL_398863|2019-10-24,2019/10/24
A/Human/Moscow/245/2019|EPI_ISL_411847|2019-12-30,2019/12/30
A/Human/Moscow/73/2020|EPI_ISL_419381|2020-02-21,2020/2/21
A/Niedersachsen/195/2019|EPI_ISL_401779|2019-11-25,2019/11/25
A/Laos/879/2020|EPI_ISL_766931|2020-03-16,2020/3/16
A/Laos/748/2020|EPI_ISL_766941|2020-03-02,2020/3/2
A/Vietnam/Vnhcm-Vp49/2020|EPI_ISL_1064150|2020-02-19,2020/2/19
A/Denmark/260/2020|EPI_ISL_407921|2020-01-15,2020/1/15
A/Human/Yaroslavl/235/2019|EPI_ISL_407083|2019-12-12,2019/12/12
A/Laos/2883/2019|EPI_ISL_404445|2019-10-10,2019/10/10
A/Laos/855/2020|EPI_ISL_1732524|2020-03-20,2020/3/20
A/Rheinland-Pfalz/21/2020|EPI_ISL_481404|2020-02-23,2020/2/23
A/Bayern/49/2020|EPI_ISL_481424|2020-03-10,2020/3/10
A/Schleswig-Holstein/4/2020|EPI_ISL_482796|2020-02-10,2020/2/10
A/Nordrhein-Westfalen/136/2019|EPI_ISL_404994|2019-11-20,2019/11/20
A/Mecklenburg-Vorpommern/12/2022|EPI_ISL_10429832|2022-01-19,2022/1/19
A/Mecklenburg-Vorpommern/2/2022|EPI_ISL_10429833|2022-01-18,2022/1/18
A/Bremen/3/2022|EPI_ISL_11789577|2022-02-23,2022/2/23
A/Baden-Wuerttemberg/139/2020|EPI_ISL_481414|2020-03-03,2020/3/3
A/Niedersachsen/49/2020|EPI_ISL_482794|2020-02-05,2020/2/5
A/Mecklenburg-Vorpommern/13/2019|EPI_ISL_405003|2019-12-23,2019/12/23
A/Saint-Petersburg/RII-2319S/2020|EPI_ISL_471296|2020-02-14,2020/2/14
A/Saint-Petersburg/RII-3531S/2020|EPI_ISL_471327|2020-03-13,2020/3/13
A/Saint-Petersburg/RII-2181S/2020|EPI_ISL_419041|2020-02-11,2020/2/11
A/Saint-Petersburg/RII-1032S/2020|EPI_ISL_528722|2020-01-13,2020/1/13
A/Saint-Petersburg/RII-868S/2020|EPI_ISL_405301|2020-01-10,2020/1/10
A/Lyon/2003/2019|EPI_ISL_403008|2019-11-12,2019/11/12
A/Anantnag/AG_323/2020|EPI_ISL_412108|2020-01-02,2020/1/2
A/Anantnag/UG_50/2020|EPI_ISL_412115|2020-01-13,2020/1/13
A/Maine/01/2021|EPI_ISL_3534600|2021-07-09,2021/7/9
A/Maine/01/2021|EPI_ISL_3534601|2021-07-09,2021/7/9
A/Maine/01/2021|EPI_ISL_5332929|2021-07-09,2021/7/9
A/Maine/01/2021|EPI_ISL_5329262|2021-07-09,2021/7/9
A/Pennsylvania/02/2021|EPI_ISL_4375470|2021-08-25,2021/8/25
A/Pennsylvania/02/2021|EPI_ISL_4375485|2021-08-25,2021/8/25
A/Pennsylvania/02/2021|EPI_ISL_12109630|2021-08-25,2021/8/25
A/Ohio/03/2021|EPI_ISL_6307001|2021-10-07,2021/10/7
A/Ohio/03/2021|EPI_ISL_6307002|2021-10-07,2021/10/7
