name,date
A/Quebec/161/2019|EPI_ISL_411535|2019-12-03,2019/12/3
A/Quebec/197/2019|EPI_ISL_411575|2019-12-23,2019/12/23
A/Belgium/IS0529/2020|EPI_ISL_2484034|2020-01-26,2020/1/26
A/New_York/11595/2020|EPI_ISL_427949|2020-02-01,2020/2/1
A/Alberta/111/2019|EPI_ISL_411550|2019-12-19,2019/12/19
A/Singapore/KK0531/2020|EPI_ISL_481336|2020-01-21,2020/1/21
A/Stockholm/7/2020|EPI_ISL_412399|2020-01-21,2020/1/21
A/Thailand/CU-B36847/2020|EPI_ISL_4069971|2020-02-22,2020/2/22
A/Friuli_Venezia_Giulia/257/2020|EPI_ISL_486719|2020-02-11,2020/2/11
A/Hong_Kong/711/2020|EPI_ISL_732331|2020-03-20,2020/3/20
A/England/195200780/2019|EPI_ISL_409976|2019-12-23,2019/12/23
A/England/195180883/2019|EPI_ISL_428668|2019-12-08,2019/12/8
A/England/201141147/2020|EPI_ISL_9029627|2020-02-20,2020/2/20
A/Nord_Pas_de_Calais/1108/2020|EPI_ISL_515497|2020-02-10,2020/2/10
A/England/195200779/2019|EPI_ISL_459842|2019-12-20,2019/12/20
A/Stavropol/10/2020|EPI_ISL_485775|2020-03-03,2020/3/3
A/Parma/21/2020|EPI_ISL_486735|2020-02-05,2020/2/5
A/Grenoble/2789/2020|EPI_ISL_984703|2020-10-21,2020/10/21
A/Philippines/1/2021|EPI_ISL_3836431|2021-05-14,2021/5/14
A/Stockholm/9/2021|EPI_ISL_9402237|2021-09-06,2021/9/6
A/Stockholm/9/2021|EPI_ISL_5743017|2021-09-06,2021/9/6
A/California/183/2019|EPI_ISL_397002|2019-10-24,2019/10/24
A/Connecticut/17/2020|EPI_ISL_424742|2020-03-02,2020/3/2
A/Louisiana/07/2020|EPI_ISL_413740|2020-01-22,2020/1/22
A/Massachusetts/06/2020|EPI_ISL_412175|2020-01-29,2020/1/29
A/Delaware/15/2020|EPI_ISL_415752|2020-02-18,2020/2/18
A/Utah/17/2020|EPI_ISL_449740|2020-03-07,2020/3/7
A/Illinois/10/2020|EPI_ISL_455797|2020-03-03,2020/3/3
A/Maryland/15/2020|EPI_ISL_415781|2020-01-26,2020/1/26
A/Minnesota/24/2020|EPI_ISL_449732|2020-03-24,2020/3/24
A/Paris/2554/2019|EPI_ISL_594226|2019-11-25,2019/11/25
A/Bahrain/808/2019|EPI_ISL_412137|2019-12-03,2019/12/3
A/Bahrain/885/2019|EPI_ISL_491770|2019-12-25,2019/12/25
A/Beijing-Miyun/51/2020|EPI_ISL_528884|2020-01-08,2020/1/8
A/Beijing-Miyun/53/2020|EPI_ISL_528886|2020-01-09,2020/1/9
A/Schleswig-Holstein/10/2020|EPI_ISL_481462|2020-03-02,2020/3/2
A/Oklahoma/01/2021|EPI_ISL_4373562|2021-07-06,2021/7/6
A/Lyon/1619/2020|EPI_ISL_671410|2020-02-27,2020/2/27
A/Newport/9366/2019|EPI_ISL_400523|2019-12-04,2019/12/4
A/Guangdong-Gaoming/31/2019|EPI_ISL_485555|2019-12-13,2019/12/13
A/Tianjin-Binhaixin/3315/2019|EPI_ISL_410666|2019-12-16,2019/12/16
A/Beijing-Miyun/54/2020|EPI_ISL_485909|2020-01-02,2020/1/2
A/Grenoble/2789/2020_oct|EPI_ISL_707784|2020-10-21,2020/10/21
A/Human/New_York_City/PV11474/2020|EPI_ISL_4056255|2020-10-04,2020/10/4
A/ROUEN/41245/2021|EPI_ISL_11323844|2021-11-15,2021/11/15
A/England/215280755/2021|EPI_ISL_9383908|2021-12-22,2021/12/22
A/Oman/4837/2021|EPI_ISL_5983972|2021-09-05,2021/9/5
A/Oman/2641/2021|EPI_ISL_5983954|2021-07-25,2021/7/25
A/Salalah/72124837/2021|EPI_ISL_9401983|2021-09-05,2021/9/5
A/Philippines/8/2021|EPI_ISL_3950047|2021-07-13,2021/7/13
A/Rhode_Island/18/2020|EPI_ISL_416807|2020-02-17,2020/2/17
A/California/15/2020|EPI_ISL_412157|2020-01-15,2020/1/15
A/California/52/2020|EPI_ISL_430754|2020-03-09,2020/3/9
A/Bangladesh/18-1005/2019|EPI_ISL_491803|2019-10-06,2019/10/6
A/California/205/2019|EPI_ISL_400008|2019-11-17,2019/11/17
A/Georgia/03/2020|EPI_ISL_416805|2020-01-27,2020/1/27
A/Taiwan/83763/2019|EPI_ISL_424766|2019-12-10,2019/12/10
A/Wisconsin/43/2020|EPI_ISL_416762|2020-02-19,2020/2/19
A/Wakayama/118/2019|EPI_ISL_517684|2019-12-13,2019/12/13
A/Pennsylvania/14/2020|EPI_ISL_416806|2020-02-19,2020/2/19
A/Maine/42/2019|EPI_ISL_404757|2019-12-09,2019/12/9
A/Maryland/19/2020|EPI_ISL_424743|2020-03-09,2020/3/9
A/Human/Moscow/18/2020|EPI_ISL_419382|2020-01-22,2020/1/22
A/Laos/546/2020|EPI_ISL_717649|2020-02-10,2020/2/10
A/Iowa/05/2020|EPI_ISL_410727|2020-01-14,2020/1/14
A/Hawaii/01/2020|EPI_ISL_412179|2020-01-05,2020/1/5
A/Vermont/25/2019|EPI_ISL_398857|2019-10-01,2019/10/1
A/Denmark/3275/2019|EPI_ISL_400749|2019-11-06,2019/11/6
A/Denmark/221/2020|EPI_ISL_407941|2020-01-13,2020/1/13
A/Denmark/220/2020|EPI_ISL_407960|2020-01-13,2020/1/13
A/Denmark/244/2020|EPI_ISL_407955|2020-01-15,2020/1/15
A/Philippines/38/2019|EPI_ISL_406825|2019-10-22,2019/10/22
A/Philippines/30/2019|EPI_ISL_406706|2019-10-08,2019/10/8
A/Mississippi/41/2019|EPI_ISL_410770|2019-12-31,2019/12/31
A/Abu_Dhabi/097/2019|EPI_ISL_404587|2019-11-26,2019/11/26
A/Pennsylvania/03/2020|EPI_ISL_410750|2020-01-16,2020/1/16
A/Laos/3368/2019|EPI_ISL_418561|2019-11-11,2019/11/11
A/Laos/426/2020|EPI_ISL_766792|2020-02-03,2020/2/3
A/Massachusetts/01/2021|EPI_ISL_6306620|2021-10-08,2021/10/8
A/Maryland/09/2020|EPI_ISL_410746|2020-01-15,2020/1/15
A/Pakistan/275/2019|EPI_ISL_416801|2019-12-29,2019/12/29
A/Netherlands/00016/2020|EPI_ISL_406847|2020-01-02,2020/1/2
A/Russia/74V/2020|EPI_ISL_429849|2020-01-06,2020/1/6
A/Saint-Petersburg/RII-657S/2019|EPI_ISL_402952|2019-12-25,2019/12/25
A/Saint-Petersburg/RII-4251S/2020|EPI_ISL_471386|2020-03-23,2020/3/23
A/Saint-Petersburg/RII-2081S/2020|EPI_ISL_419111|2020-02-11,2020/2/11
A/Saint-Petersburg/RII-3387S/2020|EPI_ISL_471284|2020-03-11,2020/3/11
A/Anhui-Jinghu/346/2019|EPI_ISL_410592|2019-12-03,2019/12/3
A/Hebei-Sanhe/3148/2019|EPI_ISL_410650|2019-11-25,2019/11/25
A/Hunan-Yongding/11244/2019|EPI_ISL_410658|2019-12-20,2019/12/20
A/Hunan-Lusong/1986/2019|EPI_ISL_402223|2019-12-02,2019/12/2
A/Shaanxi-Lianhu/1474/2019|EPI_ISL_410695|2019-10-29,2019/10/29
A/Sichuan-Kangding/1357/2019|EPI_ISL_485460|2019-12-25,2019/12/25
A/Sichuan-Kangding/1283/2019|EPI_ISL_410674|2019-11-17,2019/11/17
A/Xinjiang-Kuerle/1595/2019|EPI_ISL_402227|2019-11-26,2019/11/26
A/Xinjiang-Hutubi/1599/2019|EPI_ISL_402264|2019-11-28,2019/11/28
A/Qinghai-Chengzhong/14/2020|EPI_ISL_410611|2020-01-02,2020/1/2
A/Liaoning-Yuhong/358/2019|EPI_ISL_410692|2019-11-22,2019/11/22
A/France/IHUMI_InfluenzaAH3N2_genome_60678_4/2021|EPI_ISL_6795391|2021-07-01,2021/7/1
A/Marseille/0486/2021_aug|EPI_ISL_5135311|2021-08-23,2021/8/23
A/New_York/49/2019|EPI_ISL_400848|2019-10-28,2019/10/28
A/Nicaragua/3204/2019|EPI_ISL_398808|2019-10-07,2019/10/7
A/Baden-Wuerttemberg/310/2019|EPI_ISL_401784|2019-10-16,2019/10/16
A/Bremen/24/2019|EPI_ISL_401782|2019-10-02,2019/10/2
A/Austria/1204623/2019|EPI_ISL_409943|2019-12-02,2019/12/2
A/Centre/2559/2019|EPI_ISL_400343|2019-11-25,2019/11/25
A/Alberta/113/2019|EPI_ISL_411515|2019-12-30,2019/12/30
A/Denmark/3292/2019|EPI_ISL_406278|2019-11-13,2019/11/13
A/Jilin-Dongchang/1574/2019|EPI_ISL_411129|2019-12-09,2019/12/9
A/YOKOHAMA/224/2019|EPI_ISL_684048|2019-11-18,2019/11/18
A/KANAGAWA/AC1927/2019|EPI_ISL_405857|2019-12-23,2019/12/23
A/Finland/172/2020|EPI_ISL_466926|2020-01-01,2020/1/1
A/Finland/135/2019|EPI_ISL_399947|2019-10-25,2019/10/25
A/SAITAMA/203/2019|EPI_ISL_405852|2019-11-01,2019/11/1
A/England/94540758/2019|EPI_ISL_401559|2019-10-25,2019/10/25
A/Delaware/39/2019|EPI_ISL_393677|2019-05-28,2019/5/28
A/Darwin/726/2019|EPI_ISL_412025|2019-10-03,2019/10/3
A/Hong_Kong/2671/2019|EPI_ISL_412381|2019-06-17,2019/6/17
A/Hong_Kong/4436/2019|EPI_ISL_406302|2019-12-01,2019/12/1
A/Hong_Kong/4435/2019|EPI_ISL_406301|2019-11-29,2019/11/29
A/AbuDhabi/413000/2020|EPI_ISL_3372559|2021-02-10,2021/2/10
A/South_Korea/11230/2020|EPI_ISL_414845|2020-01-07,2020/1/7
A/Hungary/10/2020|EPI_ISL_407149|2020-01-13,2020/1/13
A/KANAGAWA/ZC1907/2019|EPI_ISL_400553|2019-11-01,2019/11/1
A/OSAKA/105/2019|EPI_ISL_414388|2019-12-03,2019/12/3
A/Kyrgzstan/166/2019|EPI_ISL_407497|2019-12-16,2019/12/16
A/Kyrgyzstan_Bishkek/65/2020|EPI_ISL_477557|2020-02-02,2020/2/2
A/Kyrgzstan/91/2019|EPI_ISL_407509|2019-12-05,2019/12/5
A/Kyrgzstan/136/2019|EPI_ISL_407492|2019-12-02,2019/12/2
A/Cambodia/FSS42911/2020|EPI_ISL_514677|2020-03-12,2020/3/12
A/Chiang_Mai/51/2020|EPI_ISL_644653|2020-01-31,2020/1/31
A/GUNMA/36/2020|EPI_ISL_684053|2020-01-28,2020/1/28
A/Pennsylvania/1026/2019|EPI_ISL_462752|2019-11-04,2019/11/4
A/Singapore/TT0882/2019|EPI_ISL_401468|2019-11-13,2019/11/13
A/Hong_Kong/45/2019|EPI_ISL_390308|2018-12-24,2018/12/24
A/Malaysia/12156400/2020|EPI_ISL_528755|2020-01-08,2020/1/8
A/Mayotte/517/2021|EPI_ISL_9401950|2021-09-11,2021/9/11
A/Mayotte/567/2021|EPI_ISL_9401945|2021-09-26,2021/9/26
A/Mayotte/508/21|EPI_ISL_9401953|2021-09-18,2021/9/18
A/Armenia/19/2022|EPI_ISL_9842647|2022-01-05,2022/1/5
A/Heilongjiang-Jiguan/1222/2020|EPI_ISL_485412|2020-03-16,2020/3/16
A/Alaska/232/2015|EPI_ISL_240112|2015-09-09,2015/9/9
A/Canberra/7/2016|EPI_ISL_289136|2016-04-10,2016/4/10
A/Ontario/RV2414/2015|EPI_ISL_215796|2015-11-12,2015/11/12
A/Antananarivo/1067/2016|EPI_ISL_300261|2016-04-05,2016/4/5
A/Newcastle/30/2016|EPI_ISL_289135|2016-03-29,2016/3/29
A/South_Australia/135/2016|EPI_ISL_311693|2016-10-01,2016/10/1
A/Singapore/INFIMH-16-0019/2016|EPI_ISL_330262|2016-06-14,2016/6/14
A/Arizona/67/2016|EPI_ISL_287721|2016-05-04,2016/5/4
A/Washington/106/2016|EPI_ISL_296169|2016-12-18,2016/12/18
A/Florida/23/2017|EPI_ISL_270166|2017-03-23,2017/3/23
A/Singapore/TT0555/2017|EPI_ISL_269771|2017-05-12,2017/5/12
A/South_Carolina/04/2017|EPI_ISL_284135|2017-01-17,2017/1/17
A/YOKOHAMA/145/2017|EPI_ISL_288989|2017-09-28,2017/9/28
A/Sydney/22/2018|EPI_ISL_396647|2018-03-03,2018/3/3
A/NAGANO/2731/2017|EPI_ISL_306954|2017-11-28,2017/11/28
A/Victoria/653/2017|EPI_ISL_289943|2017-08-10,2017/8/10
A/Wisconsin/327/2017|EPI_ISL_290860|2017-09-22,2017/9/22
A/Abu_Dhabi/240/2018|EPI_ISL_338293|2018-01-01,2018/1/1
A/LaRioja/2202/2018|EPI_ISL_314925|2018-04-02,2018/4/2
A/Hong_Kong/2286/2017|EPI_ISL_298548|2017-01-01,2017/1/1
A/Alaska/240/2015|EPI_ISL_226836|2015-09-15,2015/9/15
A/Montana/28/2015|EPI_ISL_223311|2015-09-24,2015/9/24
A/Nebraska/19/2015|EPI_ISL_226837|2015-10-23,2015/10/23
A/SAPPORO/71/2015|EPI_ISL_210374|2015-12-15,2015/12/15
A/Wisconsin/66/2015|EPI_ISL_197279|2015-04-21,2015/4/21
A/California/179/2016|EPI_ISL_273709|2016-12-03,2016/12/3
A/Maryland/23/2016|EPI_ISL_253057|2016-11-26,2016/11/26
A/Singapore/TT1374/2016|EPI_ISL_277146|2016-01-12,2016/1/12
A/Brisbane/321/2016|EPI_ISL_275804|2016-01-01,2016/1/1
A/Nebraska/02/2017|EPI_ISL_248141|2017-01-10,2017/1/10
A/Peru/3817/2017|EPI_ISL_311632|2017-12-07,2017/12/7
A/Washington/16/2017|EPI_ISL_275706|2017-01-25,2017/1/25
A/Brisbane/117/2018|EPI_ISL_396195|2018-07-27,2018/7/27
A/Brisbane/318/2016|EPI_ISL_269294|2016-12-12,2016/12/12
A/Brisbane/01/2018|EPI_ISL_313657|2018-01-02,2018/1/2
A/Hong_Kong/656/2018|EPI_ISL_312267|2018-04-07,2018/4/7
A/New_Mexico/14/2018|EPI_ISL_311694|2018-02-23,2018/2/23
A/Switzerland/8060/2017|EPI_ISL_331821|2017-12-21,2017/12/21
A/Bretagne/1413/2017|EPI_ISL_283128|2017-10-09,2017/10/9
A/Delaware/32/2016|EPI_ISL_277143|2016-11-15,2016/11/15
A/Minnesota/59/2019|EPI_ISL_400865|2019-11-13,2019/11/13
A/Haiti/70008/2019|EPI_ISL_413730|2019-10-24,2019/10/24
A/Tennessee/21/2020|EPI_ISL_412166|2020-01-28,2020/1/28
A/Haiti/70094/2019|EPI_ISL_413728|2019-10-24,2019/10/24
A/Bahrain/805/2019|EPI_ISL_412138|2019-12-02,2019/12/2
A/Mississippi/29/2019|EPI_ISL_397011|2019-10-15,2019/10/15
A/Delaware/49/2019|EPI_ISL_400842|2019-10-22,2019/10/22
A/New_York/47/2019|EPI_ISL_400798|2019-10-05,2019/10/5
A/Pakistan/228/2019|EPI_ISL_418571|2019-12-23,2019/12/23
A/Iowa/68/2019|EPI_ISL_402724|2019-12-12,2019/12/12
A/Texas/416/2019|EPI_ISL_2557744|2019-11-18,2019/11/18
A/New_York/57/2019|EPI_ISL_404558|2019-12-10,2019/12/10
A/Jamaica/30235/2019|EPI_ISL_400864|2019-11-13,2019/11/13
A/Colorado/44/2019|EPI_ISL_402412|2019-11-27,2019/11/27
A/Jamaica/2929/2019|EPI_ISL_400872|2019-11-21,2019/11/21
A/Laos/1747/2020|EPI_ISL_766821|2020-09-21,2020/9/21
A/Laos/1746/2020|EPI_ISL_766831|2020-09-20,2020/9/20
A/Laos/1749/2020|EPI_ISL_766822|2020-09-23,2020/9/23
A/Laos/1744/2020|EPI_ISL_766838|2020-09-18,2020/9/18
A/Laos/527/2021|EPI_ISL_2245462|2021-02-16,2021/2/16
A/Laos/1421/2021|EPI_ISL_5327610|2021-04-12,2021/4/12
A/Laos/1360/2021|EPI_ISL_5327625|2021-04-05,2021/4/5
A/Laos/1039/2021|EPI_ISL_5327612|2021-03-22,2021/3/22
A/Laos/924/2021|EPI_ISL_5327628|2021-03-10,2021/3/10
A/Laos/924/2021|EPI_ISL_5327607|2021-03-10,2021/3/10
A/Vietnam/Vnhcm-Gs520/2020|EPI_ISL_1064144|2020-10-22,2020/10/22
A/Vietnam/Vnhcm-Gs520/2020|EPI_ISL_1296353|2020-10-22,2020/10/22
A/Laos/1072/2021|EPI_ISL_5327627|2021-03-24,2021/3/24
A/Laos/1072/2021|EPI_ISL_5327608|2021-03-24,2021/3/24
