#name	rank	LBI
1	1	36.0
15	2	5.075610031337437
11	3	4.854066179878306
14	4	4.508505372940033
13	5	4.4606512014592
12	6	4.412496231434886
19	7	2.208451950156833
24	8	2.1850015473351347
18	9	2.0997546157645175
21	10	2.0368527223303463
22	11	2.0345941909273115
20	12	2.034428307076579
16	13	1.9799894249531795
17	14	1.8531765801221791
10	15	1.6174797410044779
8	16	1.6111020051152274
9	17	1.5935011085397162
7	18	1.00127554587343
5	19	0.9709191769836478
6	20	0.9220729189286089
23	21	0.7752541877229974
2	22	0.375
3	23	0.26262709001380635
4	24	0.1502422190037498
