timepoint,strain,frequency,weighted_distance_to_present,weighted_distance_to_future,fitness,projected_frequency,y,future_timepoint,model,season
1996/10/1,A/Malaysia/10370/1996,0.033872,11.18907,10.270294,1.455258441,0.09114035,6.517909646,1997/10/1,cTiter_x-ne_star,1996/10/1
1997/4/1,A/Beijing/62/1997,0.020353,8.572681,9.27482,1.805665168,0.073867541,5.930948617,1998/4/1,cTiter_x-ne_star,1997/4/1
1997/10/1,A/Auckland/10/1997,0.039773,12.595829,6.458829,1.404501647,0.121831052,10.55826142,1998/10/1,cTiter_x-ne_star,1997/10/1
1998/4/1,A/HongKong/CUHK10954/1998,0.013874,3.761561,5.171624,2.389825166,0.085505463,2.297772732,1999/4/1,cTiter_x-ne_star,1998/4/1
1998/10/1,A/Reunion/2369/1998,0.017786,5.340107,7.676455,3.597457664,0.28487238,2.746872833,1999/10/1,cTiter_x-ne_star,1998/10/1
1999/4/1,A/NewYork/253/1999,0.016161,4.480505,6.409408,1.160874224,0.031848067,3.107460968,2000/4/1,cTiter_x-ne_star,1999/4/1
1999/10/1,A/HongKong/CUHK31490/1999,0.073731,7.427467,6.961441,1.49110334,0.193388019,6.228083737,2000/10/1,cTiter_x-ne_star,1999/10/1
2000/4/1,A/Bangkok/178/2000,0.015368,3.567987,9.975658,1.098374696,0.029141218,2.638367307,2001/4/1,cTiter_x-ne_star,2000/4/1
2000/10/1,A/Canterbury/84/2000,0.013017,8.834489,11.677804,0.322045576,0.029088678,7.202123,2001/10/1,cTiter_x-ne_star,2000/10/1
2001/4/1,A/Netherlands/124/2001,0.027009,8.187137,13.629193,0.893389047,0.048334775,7.479894141,2002/4/1,cTiter_x-ne_star,2001/4/1
2001/10/1,A/Singapore/54/2001,0.017335,8.098063,9.632498,0.358656156,0.041757359,6.92762523,2002/10/1,cTiter_x-ne_star,2001/10/1
2002/4/1,A/Beijing/44/2002,0.004467,11.052083,8.604566,3.373482905,0.054250813,5.646901121,2003/4/1,cTiter_x-ne_star,2002/4/1
2002/10/1,A/Brisbane/324/2002,0.010967,5.628353,18.217442,1.892721931,0.036043406,1.773545418,2003/10/1,cTiter_x-ne_star,2002/10/1
2003/4/1,A/Denmark/40/2003,0.005851,7.7029,5.303377,2.174623166,0.024643373,3.041464569,2004/4/1,cTiter_x-ne_star,2003/4/1
2003/10/1,A/Vietnam/695/2003,0.004433,4.616457,7.427569,3.846634514,0.080918762,3.41865537,2004/10/1,cTiter_x-ne_star,2003/10/1
2004/4/1,A/Jiangxi/124/2004,0.005654,6.212096,5.437315,1.671697018,0.013174704,4.79605472,2005/4/1,cTiter_x-ne_star,2004/4/1
2004/10/1,A/Malaysia/NHRC0003/2004,0.007256,5.392975,7.406389,2.546976104,0.051514753,3.967242424,2005/10/1,cTiter_x-ne_star,2004/10/1
2005/4/1,A/StPetersburg/4/2005,0.005565,3.206473,4.601412,2.339904352,0.027688588,2.122071989,2006/4/1,cTiter_x-ne_star,2005/4/1
2005/10/1,A/Honduras/93/2005,0.007292,4.601044,3.979251,1.636583518,0.018346748,2.188287979,2006/10/1,cTiter_x-ne_star,2005/10/1
2006/4/1,A/Taiwan/83/2006,0.004278,3.586758,5.368142,2.387087137,0.023497282,1.447620411,2007/4/1,cTiter_x-ne_star,2006/4/1
2006/10/1,A/Brisbane/203/2006,0.01114,5.205124,6.800151,2.102601745,0.044245974,3.411605576,2007/10/1,cTiter_x-ne_star,2006/10/1
2007/4/1,A/Tehran/630/2007,0.003421,4.389008,3.967458,1.509326429,0.011545258,3.586753147,2008/4/1,cTiter_x-ne_star,2007/4/1
2007/10/1,A/Honduras/AF1426/2007,0.006191,3.19978,3.800517,1.438565997,0.014892218,1.423059414,2008/10/1,cTiter_x-ne_star,2007/10/1
2008/4/1,A/Kobe/34/2008,0.004496,4.647574,5.697468,1.764765565,0.015481178,3.851612309,2009/4/1,cTiter_x-ne_star,2008/4/1
2008/10/1,A/Kenya/1589/2008,0.005387,5.037163,8.036422,3.213406252,0.068970739,3.586919767,2009/10/1,cTiter_x-ne_star,2008/10/1
2009/4/1,A/HongKong/1952/2009,0.00577,6.319175,5.795996,2.714600223,0.036926673,3.658925868,2010/4/1,cTiter_x-ne_star,2009/4/1
2009/10/1,A/Aichi/689/2009,0.004648,3.670323,7.932002,2.190907388,0.018227539,1.41630454,2010/10/1,cTiter_x-ne_star,2009/10/1
2010/4/1,A/Kobe/90693/2010,0.01619,6.371127,7.38058,2.258115873,0.074384533,3.670592163,2011/4/1,cTiter_x-ne_star,2010/4/1
2010/10/1,A/Nonthaburi/488/2010,0.003683,6.474574,6.892423,3.570002958,0.047982841,3.831688319,2011/10/1,cTiter_x-ne_star,2010/10/1
2011/4/1,A/Montana/5/2011,0.004034,5.757275,9.669329,2.921649879,0.029331703,2.342720646,2012/4/1,cTiter_x-ne_star,2011/4/1
2011/10/1,A/Saitama-C/140/2011,0.003542,6.058247,6.97529,1.476304375,0.009746623,3.818012761,2012/10/1,cTiter_x-ne_star,2011/10/1
2012/4/1,A/StPetersburg/10/2012,0.003566,6.404691,8.027301,2.555703766,0.021712355,3.882812352,2013/4/1,cTiter_x-ne_star,2012/4/1
2012/10/1,A/Cameroon/12V-4272/2012,0.005235,8.478966,11.236623,4.45399957,0.155358671,4.745605849,2013/10/1,cTiter_x-ne_star,2012/10/1
