"season","region","continent","who_full_mismatch","beth_full_mismatch","answer_full_mismatch","lbi_full_mismatch","who_epitope_mismatch","beth_epitope_mismatch","answer_epitope_mismatch","lbi_epitope_mismatch"
"2013","NY","North America","13","6","10","12","3","1","1","3"
"2013","NY","North America","15","6","12","12","4","2","2","2"
"2013","NY","North America","15","14","4","12","2","0","0","2"
"2013","NY","North America","13","12","4","10","4","2","2","4"
"2013","NY","North America","13","12","2","10","3","1","1","3"
"2013","CA","North America","11","10","0","8","2","0","0","2"
"2013","CA","North America","12","11","1","9","2","0","0","2"
"2013","CA","North America","14","7","12","14","4","2","2","4"
"2013","CA","North America","11","10","0","8","2","0","0","2"
"2013","CA","North America","14","13","3","9","3","1","1","1"
"2013","CA","North America","12","11","1","9","3","1","1","3"
"2013","CA","North America","13","12","4","10","3","1","1","3"
"2013","CAN","North America","12","11","1","9","2","0","0","2"
"2013","CAN","North America","14","13","9","9","3","1","1","3"
"2013","CAN","North America","12","11","1","9","2","0","0","2"
"2013","UK","Europe","12","11","7","5","4","2","2","2"
"2013","UK","Europe","12","11","1","9","2","0","0","2"
"2013","UK","Europe","12","11","1","9","2","0","0","2"
"2013","UK","Europe","12","11","7","5","4","2","2","2"
"2013","UK","Europe","12","11","7","5","4","2","2","2"
"2013","UK","Europe","12","11","1","9","2","0","0","2"
"2013","UK","Europe","14","5","9","13","3","1","1","3"
"2013","UK","Europe","12","11","1","9","2","0","0","2"
"2013","UK","Europe","14","13","5","11","3","1","1","3"
"2013","UK","Europe","13","12","2","10","4","2","2","4"
"2013","UK","Europe","13","12","2","10","4","2","2","4"
"2013","GER","Europe","12","11","3","9","3","1","1","3"
"2013","GER","Europe","12","11","3","9","3","1","1","3"
"2013","GER","Europe","15","6","12","12","4","2","2","2"
"2013","GER","Europe","12","11","3","9","3","1","1","3"
"2013","GER","Europe","12","11","1","9","3","1","1","3"
"2013","GER","Europe","12","11","1","9","3","1","1","3"
"2013","FR","Europe","13","12","4","10","3","1","1","3"
"2013","FR","Europe","13","16","14","12","2","2","2","2"
"2013","FR","Europe","15","6","12","14","4","2","2","4"
"2013","FR","Europe","12","11","1","9","2","0","0","2"
"2013","FR","Europe","16","7","11","15","4","2","2","4"
"2013","FR","Europe","14","5","11","13","3","1","1","3"
"2013","FR","Europe","13","12","2","10","3","1","1","3"
"2013","FR","Europe","13","4","10","12","3","1","1","3"
"2013","FR","Europe","13","4","10","12","3","1","1","3"
"2013","FR","Europe","12","11","1","9","2","0","0","2"
"2013","FR","Europe","11","10","0","8","2","0","0","2"
"2013","FR","Europe","15","14","4","12","3","1","1","3"
"2013","FR","Europe","12","11","3","9","3","1","1","3"
"2013","FR","Europe","12","11","1","9","2","0","0","2"
"2013","FR","Europe","12","11","1","9","2","0","0","2"
"2013","FR","Europe","11","10","0","8","2","0","0","2"
"2013","FR","Europe","12","11","1","9","2","0","0","2"
"2013","HK","Asia","13","12","8","6","5","3","3","3"
"2013","HK","Asia","14","14","10","9","5","3","3","5"
"2013","HK","Asia","14","5","11","13","4","2","2","4"
"2013","HK","Asia","12","9","7","11","2","0","0","2"
"2013","HK","Asia","12","11","1","9","3","1","1","3"
"2013","HK","Asia","16","7","13","13","4","2","2","2"
"2013","HK","Asia","12","11","1","9","3","1","1","3"
"2013","HK","Asia","12","11","1","9","3","1","1","3"
"2013","HK","Asia","13","12","2","10","3","1","1","3"
"2013","HK","Asia","16","15","5","13","3","1","1","3"
"2013","HK","Asia","13","12","2","10","4","2","2","4"
"2013","HK","Asia","13","12","2","10","3","1","1","3"
"2013","HK","Asia","13","6","12","14","3","1","1","3"
"2013","HK","Asia","13","12","2","10","3","1","1","3"
"2013","HK","Asia","13","12","2","10","3","1","1","3"
