"season","region","continent","who_full_mismatch","beth_full_mismatch","answer_full_mismatch","lbi_full_mismatch","who_epitope_mismatch","beth_epitope_mismatch","answer_epitope_mismatch","lbi_epitope_mismatch"
"2013","NY","North America","7","3","1","5","0","0","0","0"
"2013","NY","North America","9","5","3","7","0","0","0","0"
"2013","NY","North America","8","4","2","6","0","0","0","0"
"2013","NY","North America","9","5","3","7","1","1","1","1"
"2013","NY","North America","7","2","1","5","0","0","0","0"
"2013","CA","North America","6","2","0","4","0","0","0","0"
"2013","CA","North America","8","4","2","6","0","0","0","0"
"2013","CA","North America","9","5","3","7","0","0","0","0"
"2013","CA","North America","7","3","1","5","0","0","0","0"
"2013","CA","North America","6","2","0","4","0","0","0","0"
"2013","CA","North America","6","2","0","4","0","0","0","0"
"2013","CA","North America","10","6","4","8","0","0","0","0"
"2013","CAN","North America","8","4","2","6","0","0","0","0"
"2013","CAN","North America","7","7","5","3","1","1","1","1"
"2013","CAN","North America","7","3","1","5","0","0","0","0"
"2013","UK","Europe","6","2","0","4","0","0","0","0"
"2013","UK","Europe","8","4","2","6","0","0","0","0"
"2013","UK","Europe","9","5","3","7","0","0","0","0"
"2013","UK","Europe","10","6","4","8","1","1","1","1"
"2013","UK","Europe","9","5","3","7","1","1","1","1"
"2013","UK","Europe","6","2","0","4","0","0","0","0"
"2013","UK","Europe","6","2","0","4","0","0","0","0"
"2013","GER","Europe","8","8","6","4","0","0","0","0"
"2013","GER","Europe","10","10","8","6","0","0","0","0"
"2013","GER","Europe","8","4","2","6","1","1","1","1"
"2013","GER","Europe","9","9","7","5","0","0","0","0"
"2013","GER","Europe","7","3","1","5","0","0","0","0"
"2013","FR","Europe","8","8","6","4","0","0","0","0"
"2013","FR","Europe","6","10","8","6","0","0","0","0"
"2013","FR","Europe","7","3","1","5","0","0","0","0"
"2013","FR","Europe","6","2","0","4","0","0","0","0"
"2013","FR","Europe","9","5","3","7","0","0","0","0"
"2013","FR","Europe","7","3","1","5","0","0","0","0"
"2013","FR","Europe","7","3","1","5","0","0","0","0"
"2013","FR","Europe","7","3","1","5","0","0","0","0"
"2013","FR","Europe","7","3","1","5","0","0","0","0"
"2013","FR","Europe","6","2","0","4","0","0","0","0"
"2013","FR","Europe","6","2","0","4","0","0","0","0"
"2013","FR","Europe","6","2","0","4","0","0","0","0"
"2013","FR","Europe","9","5","3","7","0","0","0","0"
"2013","FR","Europe","6","2","0","4","0","0","0","0"
"2013","FR","Europe","7","3","1","5","0","0","0","0"
"2013","FR","Europe","7","4","2","5","0","0","0","0"
"2013","FR","Europe","7","3","1","5","0","0","0","0"
"2013","HK","Asia","7","7","5","3","1","1","1","1"
"2013","HK","Asia","10","10","8","6","1","1","1","1"
"2013","HK","Asia","8","6","4","4","0","0","0","0"
"2013","HK","Asia","7","3","1","5","0","0","0","0"
"2013","HK","Asia","6","2","0","4","0","0","0","0"
"2013","HK","Asia","6","2","0","4","0","0","0","0"
"2013","HK","Asia","7","3","1","5","0","0","0","0"
"2013","HK","Asia","8","3","2","6","0","0","0","0"
"2013","HK","Asia","11","7","5","9","1","1","1","1"
"2013","HK","Asia","6","2","0","4","0","0","0","0"
"2013","HK","Asia","6","2","0","4","0","0","0","0"
"2013","HK","Asia","11","7","5","9","0","0","0","0"
"2013","SCP","Asia","6","2","0","4","0","0","0","0"
"2013","SCP","Asia","7","3","1","5","1","1","1","1"
"2013","SCP","Asia","7","3","1","5","0","0","0","0"
"2013","SCP","Asia","7","3","1","5","0","0","0","0"
"2013","SCP","Asia","6","2","0","4","0","0","0","0"
"2013","SCP","Asia","10","6","4","8","1","1","1","1"
"2013","SCP","Asia","10","6","4","8","1","1","1","1"
"2013","SCP","Asia","6","2","0","4","0","0","0","0"
"2013","SCP","Asia","7","3","1","5","0","0","0","0"
"2013","SCP","Asia","6","2","0","4","0","0","0","0"
"2013","SCP","Asia","6","2","0","4","0","0","0","0"
"2013","SCP","Asia","7","3","1","5","0","0","0","0"
"2013","SCP","Asia","7","3","1","5","0","0","0","0"
"2013","SCP","Asia","14","10","8","12","0","0","0","0"
"2013","SCP","Asia","10","6","4","8","0","0","0","0"
"2013","SCP","Asia","10","6","4","8","0","0","0","0"
"2013","SCP","Asia","6","2","0","4","0","0","0","0"
"2013","SCP","Asia","6","2","0","4","0","0","0","0"
