positive_rate,year,temp,humid,ab_humid,"theta=0.1,h=0","theta=0.1,h=1","theta=0.1,h=2","theta=0.1,h=3","theta=0.1,h=4","theta=0.1,h=5","theta=0.1,h=6","theta=0.1,h=7","theta=0.1,h=8","theta=0.1,h=9","theta=0.2,h=0","theta=0.2,h=1","theta=0.2,h=2","theta=0.2,h=3","theta=0.2,h=4","theta=0.2,h=5","theta=0.2,h=6","theta=0.2,h=7","theta=0.2,h=8","theta=0.2,h=9","theta=0.3,h=0","theta=0.3,h=1","theta=0.3,h=2","theta=0.3,h=3","theta=0.3,h=4","theta=0.3,h=5","theta=0.3,h=6","theta=0.3,h=7","theta=0.3,h=8","theta=0.3,h=9","theta=0.4,h=0","theta=0.4,h=1","theta=0.4,h=2","theta=0.4,h=3","theta=0.4,h=4","theta=0.4,h=5","theta=0.4,h=6","theta=0.4,h=7","theta=0.4,h=8","theta=0.4,h=9","theta=0.5,h=0","theta=0.5,h=1","theta=0.5,h=2","theta=0.5,h=3","theta=0.5,h=4","theta=0.5,h=5","theta=0.5,h=6","theta=0.5,h=7","theta=0.5,h=8","theta=0.5,h=9","theta=0.6,h=0","theta=0.6,h=1","theta=0.6,h=2","theta=0.6,h=3","theta=0.6,h=4","theta=0.6,h=5","theta=0.6,h=6","theta=0.6,h=7","theta=0.6,h=8","theta=0.6,h=9","theta=0.7,h=0","theta=0.7,h=1","theta=0.7,h=2","theta=0.7,h=3","theta=0.7,h=4","theta=0.7,h=5","theta=0.7,h=6","theta=0.7,h=7","theta=0.7,h=8","theta=0.7,h=9","theta=0.8,h=0","theta=0.8,h=1","theta=0.8,h=2","theta=0.8,h=3","theta=0.8,h=4","theta=0.8,h=5","theta=0.8,h=6","theta=0.8,h=7","theta=0.8,h=8","theta=0.8,h=9","theta=0.9,h=0","theta=0.9,h=1","theta=0.9,h=2","theta=0.9,h=3","theta=0.9,h=4","theta=0.9,h=5","theta=0.9,h=6","theta=0.9,h=7","theta=0.9,h=8","theta=0.9,h=9","theta=0.1,h=0","theta=0.1,h=1","theta=0.1,h=2","theta=0.1,h=3","theta=0.1,h=4","theta=0.1,h=5","theta=0.1,h=6","theta=0.1,h=7","theta=0.1,h=8","theta=0.1,h=9","theta=0.2,h=0","theta=0.2,h=1","theta=0.2,h=2","theta=0.2,h=3","theta=0.2,h=4","theta=0.2,h=5","theta=0.2,h=6","theta=0.2,h=7","theta=0.2,h=8","theta=0.2,h=9","theta=0.3,h=0","theta=0.3,h=1","theta=0.3,h=2","theta=0.3,h=3","theta=0.3,h=4","theta=0.3,h=5","theta=0.3,h=6","theta=0.3,h=7","theta=0.3,h=8","theta=0.3,h=9","theta=0.4,h=0","theta=0.4,h=1","theta=0.4,h=2","theta=0.4,h=3","theta=0.4,h=4","theta=0.4,h=5","theta=0.4,h=6","theta=0.4,h=7","theta=0.4,h=8","theta=0.4,h=9","theta=0.5,h=0","theta=0.5,h=1","theta=0.5,h=2","theta=0.5,h=3","theta=0.5,h=4","theta=0.5,h=5","theta=0.5,h=6","theta=0.5,h=7","theta=0.5,h=8","theta=0.5,h=9","theta=0.6,h=0","theta=0.6,h=1","theta=0.6,h=2","theta=0.6,h=3","theta=0.6,h=4","theta=0.6,h=5","theta=0.6,h=6","theta=0.6,h=7","theta=0.6,h=8","theta=0.6,h=9","theta=0.7,h=0","theta=0.7,h=1","theta=0.7,h=2","theta=0.7,h=3","theta=0.7,h=4","theta=0.7,h=5","theta=0.7,h=6","theta=0.7,h=7","theta=0.7,h=8","theta=0.7,h=9","theta=0.8,h=0","theta=0.8,h=1","theta=0.8,h=2","theta=0.8,h=3","theta=0.8,h=4","theta=0.8,h=5","theta=0.8,h=6","theta=0.8,h=7","theta=0.8,h=8","theta=0.8,h=9","theta=0.9,h=0","theta=0.9,h=1","theta=0.9,h=2","theta=0.9,h=3","theta=0.9,h=4","theta=0.9,h=5","theta=0.9,h=6","theta=0.9,h=7","theta=0.9,h=8","theta=0.9,h=9"
1.072673639,2008,24.50046296,66.6955,14.9303388,4.970835268,5.970835268,8.670018568,10.67001857,13.67001857,13.67001857,13.67001857,13.67001857,13.67001857,13.67001857,4.561450114,6.435236514,8.260633414,10.26063341,13.26063341,13.26063341,13.26063341,13.26063341,13.26063341,13.26063341,3.740021514,5.613807914,9.439204814,9.439204814,12.43920481,12.43920481,12.43920481,12.43920481,12.43920481,12.43920481,3.740021514,5.613807914,9.439204814,9.439204814,12.43920481,12.43920481,12.43920481,12.43920481,12.43920481,12.43920481,2.851132714,4.724919114,8.550316014,8.550316014,11.55031601,11.55031601,11.55031601,11.55031601,11.55031601,11.55031601,2.851132714,4.724919114,8.439204814,8.439204814,10.43920481,10.43920481,10.43920481,10.43920481,10.43920481,10.43920481,2.184466014,4.058252414,7.772538114,7.772538114,8.772538114,8.772538114,8.772538114,8.772538114,8.772538114,8.772538114,2.184466014,6.058252414,8.058252414,8.058252414,9.058252414,9.058252414,9.058252414,9.058252414,9.058252414,9.058252414,2.184466014,5.184466014,7.184466014,7.184466014,8.184466014,8.184466014,8.184466014,8.184466014,8.184466014,8.184466014,3.5,4.5,8.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,3.5,4.5,8.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,3.25,4.25,8.25,10.25,10.25,10.25,10.25,10.25,10.25,10.25,3.25,4.25,8.25,10.25,10.25,10.25,10.25,10.25,10.25,10.25,3.25,4.25,8.25,10.25,10.25,10.25,10.25,10.25,10.25,10.25,3.25,9.25,10.25,10.25,10.25,10.25,10.25,10.25,10.25,10.25,3.25,9.25,10.25,10.25,10.25,10.25,10.25,10.25,10.25,10.25,2.5,8.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,2.5,8.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5
3.677226656,2009,25.31898148,61.26358333,14.36193724,4.06009945,7.04191763,8.04191763,12.04191763,14.00555399,17.00555399,17.00555399,17.00555399,17.00555399,17.00555399,5.04191763,7.04191763,9.04191763,12.04191763,14.00555399,17.00555399,17.00555399,17.00555399,17.00555399,17.00555399,5.04191763,7.04191763,9.04191763,14.00555399,14.00555399,17.00555399,17.00555399,17.00555399,17.00555399,17.00555399,5.04191763,7.04191763,9.04191763,14.00555399,14.00555399,17.00555399,17.00555399,17.00555399,17.00555399,17.00555399,5.04191763,7.04191763,9.04191763,14.00555399,14.00555399,17.00555399,17.00555399,17.00555399,17.00555399,17.00555399,5.04191763,7.04191763,9.04191763,13.00555399,13.00555399,15.00555399,15.00555399,15.00555399,15.00555399,15.00555399,5.04191763,7.04191763,9.04191763,13.00555399,13.00555399,14.00555399,14.00555399,14.00555399,14.00555399,14.00555399,5.04191763,7.04191763,11.00555399,13.00555399,13.00555399,14.00555399,14.00555399,14.00555399,14.00555399,14.00555399,5.04191763,7.04191763,10.00555399,12.00555399,12.00555399,13.00555399,13.00555399,13.00555399,13.00555399,13.00555399,3.95652193,7.08695671,8.08695671,12.08695671,14.00000019,14.00000019,14.00000019,14.00000019,14.00000019,14.00000019,3.86956541,6.86956541,7.86956541,11.86956541,13.78260889,13.78260889,13.78260889,13.78260889,13.78260889,13.78260889,3.60869584,6.60869584,7.60869584,11.60869584,13.52173932,13.52173932,13.52173932,13.52173932,13.52173932,13.52173932,3.60869584,6.60869584,7.60869584,11.60869584,13.52173932,13.52173932,13.52173932,13.52173932,13.52173932,13.52173932,3.13043494,6.13043494,7.13043494,11.13043494,13.04347842,13.04347842,13.04347842,13.04347842,13.04347842,13.04347842,4.13043494,6.13043494,12.04347842,13.04347842,13.04347842,13.04347842,13.04347842,13.04347842,13.04347842,13.04347842,2.73913054,4.73913054,10.65217402,11.65217402,11.65217402,11.65217402,11.65217402,11.65217402,11.65217402,11.65217402,2.73913054,4.73913054,10.65217402,11.65217402,11.65217402,11.65217402,11.65217402,11.65217402,11.65217402,11.65217402,2.73913054,4.73913054,10.65217402,11.65217402,11.65217402,11.65217402,11.65217402,11.65217402,11.65217402,11.65217402
0.365398364,2010,25.50648148,65.78241667,15.5844961,4.4117647,8.4117647,11.4117647,12.4117647,16.4117647,18.35294117,21.35294117,21.35294117,21.35294117,21.35294117,4.2941176,9.2941176,11.2941176,13.2941176,16.2941176,18.23529407,21.23529407,21.23529407,21.23529407,21.23529407,3.75,8.75,10.75,12.75,17.69117647,17.69117647,20.69117647,20.69117647,20.69117647,20.69117647,3.75,8.75,10.75,12.75,17.69117647,17.69117647,20.69117647,20.69117647,20.69117647,20.69117647,3.75,8.75,10.75,12.75,17.69117647,17.69117647,20.69117647,20.69117647,20.69117647,20.69117647,3.75,8.75,10.75,12.75,16.69117647,16.69117647,18.69117647,18.69117647,18.69117647,18.69117647,3.75,8.75,10.75,12.75,16.69117647,16.69117647,17.69117647,17.69117647,17.69117647,17.69117647,3,8,10,13.94117647,15.94117647,15.94117647,16.94117647,16.94117647,16.94117647,16.94117647,3,8,10,12.94117647,14.94117647,14.94117647,15.94117647,15.94117647,15.94117647,15.94117647,1.4375,5.6875,8.8125,9.8125,13.8125,15.8125,15.8125,15.8125,15.8125,15.8125,1.0625,5.3125,8.3125,9.3125,13.3125,15.3125,15.3125,15.3125,15.3125,15.3125,4.0625,5.0625,8.0625,9.0625,13.0625,15.0625,15.0625,15.0625,15.0625,15.0625,4.0625,5.0625,8.0625,9.0625,13.0625,15.0625,15.0625,15.0625,15.0625,15.0625,4.0625,5.0625,8.0625,9.0625,13.0625,15.0625,15.0625,15.0625,15.0625,15.0625,4.0625,6.0625,8.0625,14.0625,15.0625,15.0625,15.0625,15.0625,15.0625,15.0625,4.0625,6.0625,8.0625,14.0625,15.0625,15.0625,15.0625,15.0625,15.0625,15.0625,4.0625,6.0625,8.0625,14.0625,15.0625,15.0625,15.0625,15.0625,15.0625,15.0625,4.0625,6.0625,8.0625,14.0625,15.0625,15.0625,15.0625,15.0625,15.0625,15.0625
6.793450625,2011,24.63703704,67.49608333,15.22663176,6.49166668,7.49166668,11.49166668,14.49166668,15.49166668,19.49166668,21.4638889,23.4638889,23.4638889,23.4638889,6.22777778,7.22777778,12.22777778,14.22777778,16.22777778,19.22777778,21.2,23.2,23.2,23.2,6.22777778,7.22777778,12.22777778,14.22777778,16.22777778,21.2,21.2,23.2,23.2,23.2,6.22777778,7.22777778,12.22777778,14.22777778,16.22777778,21.2,21.2,23.2,23.2,23.2,6.22777778,7.22777778,12.22777778,14.22777778,16.22777778,21.2,21.2,23.2,23.2,23.2,6.22777778,7.22777778,12.22777778,14.22777778,16.22777778,19.2,19.2,21.2,21.2,21.2,5.60277778,6.60277778,11.60277778,13.60277778,15.60277778,18.575,18.575,19.575,19.575,19.575,5.60277778,6.60277778,11.60277778,13.60277778,17.575,18.575,18.575,19.575,19.575,19.575,4.80277778,5.80277778,10.80277778,12.80277778,15.775,16.775,16.775,17.775,17.775,17.775,2.90909091,2.90909091,6.90909091,10.18181822,11.18181822,15.18181822,17.18181822,17.18181822,17.18181822,17.18181822,2.90909091,2.90909091,6.90909091,9.81818182,10.81818182,14.81818182,16.81818182,16.81818182,16.81818182,16.81818182,2.90909091,5.90909091,6.90909091,9.81818182,10.81818182,14.81818182,16.81818182,16.81818182,16.81818182,16.81818182,2.90909091,5.90909091,6.90909091,9.81818182,10.81818182,14.81818182,16.81818182,16.81818182,16.81818182,16.81818182,2.90909091,5.90909091,6.90909091,9.81818182,10.81818182,14.81818182,16.81818182,16.81818182,16.81818182,16.81818182,2.90909091,5.90909091,7.90909091,9.81818182,15.81818182,16.81818182,16.81818182,16.81818182,16.81818182,16.81818182,2.90909091,5.90909091,7.90909091,9.81818182,15.81818182,16.81818182,16.81818182,16.81818182,16.81818182,16.81818182,2.90909091,5.90909091,7.90909091,9.81818182,15.81818182,16.81818182,16.81818182,16.81818182,16.81818182,16.81818182,2.90909091,5.90909091,7.90909091,9.81818182,15.81818182,16.81818182,16.81818182,16.81818182,16.81818182,16.81818182
0.740027371,2012,24.81064815,61.8945,14.10046524,4.0097677,9.224664,9.9938948,13.1587301,15.9279609,16.9279609,20.7057387,22.4749695,24.4749695,24.4749695,3.4590962,8.5311354,9.3003662,13.2344323,15.2344323,17.0122101,20.0122101,21.7814409,23.7814409,23.7814409,2.5897437,6.2649574,7.0341882,10.9682543,12.9682543,14.7460321,19.5152629,19.5152629,21.5152629,21.5152629,2.5677657,6.2429794,7.0122102,10.9462763,12.9462763,14.7240541,19.4932849,19.4932849,21.4932849,21.4932849,2.5677657,5.798535,6.5677658,10.5018319,12.5018319,14.2796097,19.0488405,19.0488405,21.0488405,21.0488405,2.5677657,5.798535,6.5677658,10.5018319,12.5018319,14.2796097,17.0488405,17.0488405,19.0488405,19.0488405,2.5677657,5.1062273,5.8754581,9.8095242,11.8095242,13.587302,16.3565328,16.3565328,17.3565328,17.3565328,2.5677657,3.5677657,3.5677657,4.4249086,6.4249086,8.4249086,9.4249086,9.4249086,10.4249086,10.4249086,2.5677657,3.5677657,3.5677657,3.5677657,5.5677657,7.5677657,8.5677657,8.5677657,9.5677657,9.5677657,2,4.75,4.75,8.25,11.25,12.25,16.25,18.125,18.125,18.125,0.625,3.375,3.375,6.875,9.875,10.875,14.875,16.75,16.75,16.75,0.625,3.375,6,6.875,9.875,10.875,14.875,16.75,16.75,16.75,0.125,2.875,5.5,6.375,9.375,10.375,14.375,16.25,16.25,16.25,0.125,2.875,5.5,6.375,9.375,10.375,14.375,16.25,16.25,16.25,0.125,2.875,5.5,7.375,9.375,15.375,16.25,16.25,16.25,16.25,0.125,2.875,5.5,7.375,9.375,15.375,16.25,16.25,16.25,16.25,0.125,2.875,5.5,7.375,9.375,15.375,16.25,16.25,16.25,16.25,0.125,1.125,1.125,2.125,4.125,10.125,10.125,10.125,10.125,10.125
8.285692507,2013,24.62546296,68.95358333,15.54526643,2.2675393,4.41477057,10.09924639,11.06939564,14.97262146,17.91095164,18.91095164,22.84845164,24.81619358,26.81619358,2.2906437,4.16514767,9.84962349,10.81977274,15.6907405,17.66132874,19.59882874,22.59882874,24.56657068,26.56657068,2.05017446,5.73717843,9.60915425,10.5793035,15.45027126,17.4208595,19.3583595,24.32610144,24.32610144,26.32610144,2.47906462,5.19781462,9.06979044,10.03993969,14.91090745,16.88149569,18.81899569,23.78673763,23.78673763,25.78673763,2.47906462,5.19781462,9.06979044,10.03993969,14.91090745,16.88149569,18.81899569,23.78673763,23.78673763,25.78673763,5.19781462,5.19781462,9.06979044,10.03993969,14.91090745,16.88149569,18.81899569,21.78673763,21.78673763,23.78673763,5.19781462,5.19781462,8.1020485,9.07219775,13.94316551,15.91375375,17.85125375,20.81899569,20.81899569,21.81899569,5.19781462,5.19781462,6.16656462,6.16656462,7.16656462,9.13715286,11.13715286,12.13715286,12.13715286,13.13715286,5.19781462,5.19781462,6.16656462,6.16656462,6.16656462,8.13715286,10.13715286,11.13715286,11.13715286,12.13715286,2.6666666,3.0833332,6.0833332,6.0833332,10.0833332,13.04166653,14.04166653,18.04166653,19.29166653,19.29166653,2.6666666,3.0833332,6.0833332,6.0833332,10.0833332,13.04166653,14.04166653,18.04166653,19.29166653,19.29166653,3.0833332,3.0833332,6.0833332,9.0833332,10.0833332,13.04166653,14.04166653,18.04166653,19.04166653,19.04166653,2.4583333,2.4583333,5.4583333,8.4583333,9.4583333,12.41666663,13.41666663,17.41666663,18.41666663,18.41666663,2.4583333,2.4583333,5.4583333,8.4583333,9.4583333,12.41666663,13.41666663,17.41666663,18.41666663,18.41666663,2.4583333,2.4583333,5.4583333,8.4583333,10.4583333,12.41666663,18.41666663,18.41666663,18.41666663,18.41666663,2.4583333,2.4583333,5.4583333,8.4583333,10.4583333,12.41666663,18.41666663,18.41666663,18.41666663,18.41666663,1.04166667,1.04166667,4.04166667,7.04166667,9.04166667,11,17,17,17,17,1.04166667,1.04166667,2.04166667,2.04166667,3.04166667,5,11,11,11,11
6.930693069,2014,24.88333333,65.45933333,14.97383918,2.4206351,4.7777779,6.7777779,12.6111112,13.6111112,17.6111112,20.6111112,21.6111112,25.6111112,26.9444445,1.9761906,4.1904763,6.1904763,12.0238096,13.0238096,18.0238096,20.0238096,22.0238096,25.0238096,26.3571429,2.357143,4.357143,8.357143,12.1904763,13.1904763,18.1904763,20.1904763,22.1904763,26.5238096,26.5238096,2.7142859,5.7142859,8.7142859,12.5476192,13.5476192,18.5476192,20.5476192,22.5476192,26.5476192,26.5476192,2.7142859,5.7142859,8.7142859,12.5476192,13.5476192,18.5476192,20.5476192,22.5476192,26.5476192,26.5476192,2.7142859,8.7142859,8.7142859,12.5476192,13.5476192,18.5476192,20.5476192,22.5476192,24.5476192,24.5476192,2.3809525,7.3809525,7.3809525,10.2142858,11.2142858,16.2142858,18.2142858,20.2142858,22.2142858,22.2142858,3.3809525,7.3809525,7.3809525,8.3809525,8.3809525,9.3809525,11.3809525,13.3809525,13.3809525,13.3809525,3.3809525,7.3809525,7.3809525,8.3809525,8.3809525,8.3809525,10.3809525,12.3809525,12.3809525,12.3809525,2.0000003,3.3333336,4.0000002,7.0000002,7.0000002,11.0000002,14.0000002,15.0000002,18.8333335,20.1666668,1.3333334,2.6666667,3.3333333,6.3333333,6.3333333,10.3333333,13.3333333,14.3333333,18.1666666,19.4999999,2.3333333,3.3333333,3.3333333,6.3333333,9.3333333,10.3333333,13.3333333,14.3333333,18.1666666,19.1666666,1.3333334,2.3333334,2.3333334,5.3333334,8.3333334,9.3333334,12.3333334,13.3333334,17.1666667,18.1666667,1.3333334,2.3333334,2.3333334,5.3333334,8.3333334,9.3333334,12.3333334,13.3333334,17.1666667,18.1666667,1.3333334,2.3333334,2.3333334,5.3333334,8.3333334,10.3333334,12.3333334,18.1666667,18.1666667,18.1666667,0.6666667,1.6666667,1.6666667,4.6666667,7.6666667,9.6666667,11.6666667,17.5,17.5,17.5,0.6666667,1.6666667,1.6666667,4.6666667,7.6666667,9.6666667,11.6666667,17.5,17.5,17.5,0.6666667,1.6666667,1.6666667,2.6666667,2.6666667,3.6666667,5.6666667,10.6666667,10.6666667,10.6666667
0.526118001,2015,25.21111111,66.81166667,15.5678794,5.5000001,6.5000001,7.1666667,9.1666667,14.6666667,15.6666667,19.6666667,22.6666667,23.3333334,27.3333334,5.1666667,6.1666667,6.8333333,8.8333333,14.3333333,15.3333333,20.3333333,22.3333333,24,27,5.1666667,6.8333334,7.5,11.5,15,16,21,23,24.6666667,29,6.5000001,7.1666668,8.1666668,11.1666668,14.6666668,15.6666668,20.6666668,22.6666668,24.3333335,28.3333335,6.5000001,7.1666668,8.1666668,11.1666668,14.6666668,15.6666668,20.6666668,22.6666668,24.3333335,28.3333335,6.0000001,6.6666668,10.6666668,10.6666668,13.6666668,14.6666668,19.6666668,21.6666668,23.3333335,25.3333335,6.6666668,6.6666668,10.6666668,10.6666668,12.6666668,13.6666668,18.6666668,20.6666668,21.6666668,23.6666668,6.6666668,6.6666668,10.6666668,10.6666668,10.6666668,10.6666668,11.6666668,13.6666668,14.6666668,14.6666668,6.6666668,6.6666668,10.6666668,10.6666668,10.6666668,10.6666668,10.6666668,12.6666668,13.6666668,13.6666668,4,4,5,5,8,8,12,15,16,20,4,5,6,6,9,9,13,16,17,21,4,5,6,6,9,12,13,16,17,21,4,5,6,6,9,12,13,16,17,21,4,5,6,6,9,12,13,16,17,21,2.5,3.5,4.5,4.5,7.5,10.5,12.5,14.5,20.5,20.5,3,3,4,4,7,10,12,14,20,20,3,3,4,4,7,10,12,14,20,20,3,3,4,4,5,5,6,8,13,13
2.324500232,2016,25.52314815,66.74241667,15.82672212,5.4,11.15,11.75,11.75,13.55,19.15,20.15,24.15,27.15,28.15,5.4,11.15,11.75,11.75,13.55,19.15,20.15,25.15,27.15,29.15,4.2,9.95,11.55,11.55,15.35,18.95,19.95,24.95,26.95,28.95,4.95,11.55,12.55,13.55,16.35,19.95,20.95,25.95,27.95,29.95,4.95,11.55,12.55,13.55,16.35,19.95,20.95,25.95,27.95,29.95,4.95,11.55,12.55,16.35,16.35,19.35,20.35,25.35,27.35,29.35,9.95,11.95,11.95,15.75,15.75,17.75,18.75,23.75,25.75,26.75,9.95,11.95,11.95,15.75,15.75,15.75,15.75,16.75,18.75,19.75,9.95,11.95,11.95,14.95,14.95,14.95,14.95,14.95,16.95,17.95,4,6.6,6.6,7.6,7.6,10.6,10.6,14.6,17.6,18.6,4,6.6,7.6,8.6,8.6,11.6,11.6,15.6,18.6,19.6,3.4,6,7,8,8,11,14,15,18,19,3.4,6,7,8,8,11,14,15,18,19,3.4,6,7,8,8,11,14,15,18,19,4,6,7,8,8,11,14,16,18,24,3.4,6.4,6.4,7.4,7.4,10.4,13.4,15.4,17.4,23.4,3.4,6.4,6.4,7.4,7.4,10.4,13.4,15.4,17.4,23.4,3.4,6.4,6.4,7.4,7.4,8.4,8.4,9.4,11.4,16.4
1.663242993,2017,25.16712963,66.087,15.36097664,1.33846156,7.32307681,12.81245404,12.96630024,12.96630024,14.95091562,20.05860797,21.05860797,25.04298297,28.04298297,1.20000004,7.06153839,12.55091562,12.55091562,12.55091562,14.535531,19.48937715,20.48937715,25.47375215,27.47375215,1.49230772,7.04615377,12.535531,13.535531,13.535531,17.47399253,20.47399253,21.47399253,26.45836753,28.45836753,1.49230772,7.95091567,13.52014638,14.52014638,15.52014638,18.45860791,21.45860791,22.45860791,27.44298291,29.44298291,3.18461532,7.95091567,13.52014638,14.52014638,15.52014638,18.45860791,21.45860791,22.45860791,27.44298291,29.44298291,2.67692302,7.44322337,13.01245408,14.01245408,17.95091561,17.95091561,20.95091561,21.95091561,26.93529061,28.93529061,2.67692302,11.39706952,13.36630028,13.36630028,17.30476181,17.30476181,19.30476181,20.30476181,25.28913681,27.28913681,3.5663003,11.3816849,13.35091566,13.35091566,17.28937719,17.28937719,17.28937719,17.28937719,18.28937719,20.28937719,7.42783875,11.3816849,13.35091566,13.35091566,16.30476181,16.30476181,16.30476181,16.30476181,16.30476181,18.30476181,3.6875,7.6875,9.9375,9.9375,10.9375,10.9375,13.9375,13.9375,17.9375,20.9375,3.6875,7.6875,9.9375,10.9375,11.9375,11.9375,14.9375,14.9375,18.9375,21.9375,3.6875,7.6875,9.6875,10.6875,11.6875,11.6875,14.6875,17.6875,18.6875,21.6875,3.625,7.625,9.625,10.625,11.625,11.625,14.625,17.625,18.625,21.625,4.625,7.625,9.625,10.625,11.625,11.625,14.625,17.625,18.625,21.625,4.375,7.375,9.375,10.375,11.375,11.375,14.375,17.375,19.375,21.375,4.375,7.375,10.375,10.375,11.375,11.375,14.375,17.375,19.375,21.375,4.375,7.375,10.375,10.375,11.375,11.375,14.375,17.375,19.375,21.375,4.375,7.375,10.375,10.375,11.375,11.375,12.375,12.375,13.375,15.375
