,repeat1,repeat2,repeat3,repeat4,repeat5,repeat6,repeat7,repeat8,repeat9,repeat10
2003,11.64210526,12.23625731,13.99005848,13.99005848,4.104678363,12.23625731,11.34824561,12.23625731,4.104678363,12.13099415
2004,9.898750525,7.865786947,7.95408211,7.865786947,9.531719996,9.531719996,11.44768386,8.748096209,8.750328352,8.750328352
2005,16.98688304,14.41707562,15.27531208,15.27531208,3.37014525,15.27124704,15.27041012,15.27041012,3.37014525,15.27041012
2006,4.581481481,4.581481481,7.814814815,4.581481481,4.881481481,6.422222222,7.848148148,4.581481481,4.040740741,4.040740741
2007,9.099343466,7.957376964,9.748562862,7.905521092,8.862479322,9.041547767,6.795373242,7.162422457,7.967793631,6.296903433
2008,4.382021434,9.018616038,2.073175351,10.462771,2.834457379,9.962912663,8.756186869,9.012366038,8.928338261,10.01476965
2009,3.592781265,2.528798648,2.528798648,6.300005342,4.438651028,3.205311227,2.528798648,2.528798648,5.336733419,5.207654449
2010,4.086916579,7.664736369,6.433419839,6.778383034,4.385126264,5.734082651,6.824893171,4.653656982,7.666860445,6.019987348
2011,8.566088031,9.445625337,3.615057741,6.753794549,4.920536033,4.493928381,3.615057741,3.615057741,5.720101567,3.432388872
2012,3.733102639,3.733102639,4.100287338,4.657857678,4.603686982,4.681344924,3.733102639,9.293546981,4.651367058,6.550298514
2013,12.22150338,3.76493706,3.053198792,6.185902973,7.790204547,3.627446536,3.405694287,3.405694287,3.768457285,6.4830774
2014,3.70491001,3.70491001,4.654465194,3.70491001,4.626620583,4.651686411,4.644414687,3.70491001,7.936736303,3.70491001
2015,8.292785797,5.658158799,8.613273765,5.023199638,7.269044338,9.598788361,5.91494794,4.215834033,7.142887717,5.023199638
2016,11.44413565,7.002146914,5.071072031,5.071072031,6.977354717,6.712218642,5.986522139,3.983705538,5.071072031,6.009605555
2017,3.73210916,4.155995371,4.983657482,5.793728389,4.559771271,7.728406668,5.785795334,4.155995371,13.76990446,4.717460827
2018,3.645082036,6.781894529,13.91482119,7.74392683,5.842590121,4.591884211,8.110223486,7.751103337,4.624580861,8.738557966
2019,8.157392231,7.732867315,6.95420037,7.902382056,7.732867315,7.732867315,7.422102712,6.959056918,8.412059134,10.84755816
2020,12.14876813,9.974501024,9.011472969,7.21227374,9.482543915,11.62452859,11.16742871,5.392523103,10.04694551,6.344316047
