positive_rate,year,temp,humid,ab_humid,"theta=0.1,h=0","theta=0.1,h=1","theta=0.1,h=2","theta=0.1,h=3","theta=0.1,h=4","theta=0.1,h=5","theta=0.1,h=6","theta=0.1,h=7","theta=0.1,h=8","theta=0.1,h=9","theta=0.2,h=0","theta=0.2,h=1","theta=0.2,h=2","theta=0.2,h=3","theta=0.2,h=4","theta=0.2,h=5","theta=0.2,h=6","theta=0.2,h=7","theta=0.2,h=8","theta=0.2,h=9","theta=0.3,h=0","theta=0.3,h=1","theta=0.3,h=2","theta=0.3,h=3","theta=0.3,h=4","theta=0.3,h=5","theta=0.3,h=6","theta=0.3,h=7","theta=0.3,h=8","theta=0.3,h=9","theta=0.4,h=0","theta=0.4,h=1","theta=0.4,h=2","theta=0.4,h=3","theta=0.4,h=4","theta=0.4,h=5","theta=0.4,h=6","theta=0.4,h=7","theta=0.4,h=8","theta=0.4,h=9","theta=0.5,h=0","theta=0.5,h=1","theta=0.5,h=2","theta=0.5,h=3","theta=0.5,h=4","theta=0.5,h=5","theta=0.5,h=6","theta=0.5,h=7","theta=0.5,h=8","theta=0.5,h=9","theta=0.6,h=0","theta=0.6,h=1","theta=0.6,h=2","theta=0.6,h=3","theta=0.6,h=4","theta=0.6,h=5","theta=0.6,h=6","theta=0.6,h=7","theta=0.6,h=8","theta=0.6,h=9","theta=0.7,h=0","theta=0.7,h=1","theta=0.7,h=2","theta=0.7,h=3","theta=0.7,h=4","theta=0.7,h=5","theta=0.7,h=6","theta=0.7,h=7","theta=0.7,h=8","theta=0.7,h=9","theta=0.8,h=0","theta=0.8,h=1","theta=0.8,h=2","theta=0.8,h=3","theta=0.8,h=4","theta=0.8,h=5","theta=0.8,h=6","theta=0.8,h=7","theta=0.8,h=8","theta=0.8,h=9","theta=0.9,h=0","theta=0.9,h=1","theta=0.9,h=2","theta=0.9,h=3","theta=0.9,h=4","theta=0.9,h=5","theta=0.9,h=6","theta=0.9,h=7","theta=0.9,h=8","theta=0.9,h=9","theta=0.1,h=0","theta=0.1,h=1","theta=0.1,h=2","theta=0.1,h=3","theta=0.1,h=4","theta=0.1,h=5","theta=0.1,h=6","theta=0.1,h=7","theta=0.1,h=8","theta=0.1,h=9","theta=0.2,h=0","theta=0.2,h=1","theta=0.2,h=2","theta=0.2,h=3","theta=0.2,h=4","theta=0.2,h=5","theta=0.2,h=6","theta=0.2,h=7","theta=0.2,h=8","theta=0.2,h=9","theta=0.3,h=0","theta=0.3,h=1","theta=0.3,h=2","theta=0.3,h=3","theta=0.3,h=4","theta=0.3,h=5","theta=0.3,h=6","theta=0.3,h=7","theta=0.3,h=8","theta=0.3,h=9","theta=0.4,h=0","theta=0.4,h=1","theta=0.4,h=2","theta=0.4,h=3","theta=0.4,h=4","theta=0.4,h=5","theta=0.4,h=6","theta=0.4,h=7","theta=0.4,h=8","theta=0.4,h=9","theta=0.5,h=0","theta=0.5,h=1","theta=0.5,h=2","theta=0.5,h=3","theta=0.5,h=4","theta=0.5,h=5","theta=0.5,h=6","theta=0.5,h=7","theta=0.5,h=8","theta=0.5,h=9","theta=0.6,h=0","theta=0.6,h=1","theta=0.6,h=2","theta=0.6,h=3","theta=0.6,h=4","theta=0.6,h=5","theta=0.6,h=6","theta=0.6,h=7","theta=0.6,h=8","theta=0.6,h=9","theta=0.7,h=0","theta=0.7,h=1","theta=0.7,h=2","theta=0.7,h=3","theta=0.7,h=4","theta=0.7,h=5","theta=0.7,h=6","theta=0.7,h=7","theta=0.7,h=8","theta=0.7,h=9","theta=0.8,h=0","theta=0.8,h=1","theta=0.8,h=2","theta=0.8,h=3","theta=0.8,h=4","theta=0.8,h=5","theta=0.8,h=6","theta=0.8,h=7","theta=0.8,h=8","theta=0.8,h=9","theta=0.9,h=0","theta=0.9,h=1","theta=0.9,h=2","theta=0.9,h=3","theta=0.9,h=4","theta=0.9,h=5","theta=0.9,h=6","theta=0.9,h=7","theta=0.9,h=8","theta=0.9,h=9"
0.38,2007,27.5912037,84.56116667,22.49837707,2.90651261,5.40651261,7.40651261,8.40651261,8.40651261,8.40651261,8.40651261,8.40651261,8.40651261,8.40651261,2.35714278,4.85714278,6.85714278,7.85714278,7.85714278,7.85714278,7.85714278,7.85714278,7.85714278,7.85714278,1.95378143,4.45378143,6.45378143,7.45378143,7.45378143,7.45378143,7.45378143,7.45378143,7.45378143,7.45378143,1.95378143,4.45378143,6.45378143,7.45378143,7.45378143,7.45378143,7.45378143,7.45378143,7.45378143,7.45378143,1.95378143,4.45378143,6.45378143,7.45378143,7.45378143,7.45378143,7.45378143,7.45378143,7.45378143,7.45378143,1.95378143,6.45378143,7.45378143,7.45378143,7.45378143,7.45378143,7.45378143,7.45378143,7.45378143,7.45378143,1.95378143,5.81092429,6.81092429,6.81092429,6.81092429,6.81092429,6.81092429,6.81092429,6.81092429,6.81092429,1.95378143,5.81092429,6.81092429,6.81092429,6.81092429,6.81092429,6.81092429,6.81092429,6.81092429,6.81092429,1.95378143,5.81092429,6.81092429,6.81092429,6.81092429,6.81092429,6.81092429,6.81092429,6.81092429,6.81092429,1.42857134,1.42857134,1.42857134,1.42857134,1.42857134,1.42857134,1.42857134,1.42857134,1.42857134,1.42857134,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004,1.00000004
1.9,2008,27.54074074,83.48466667,22.15014016,1.5833334,4.25000003,6.75000003,8.75000003,9.70833336,9.70833336,9.70833336,9.70833336,9.70833336,9.70833336,1.2083333,3.16666663,5.66666663,7.66666663,8.62499996,8.62499996,8.62499996,8.62499996,8.62499996,8.62499996,1,2.95833333,5.45833333,7.45833333,8.41666666,8.41666666,8.41666666,8.41666666,8.41666666,8.41666666,1,2.95833333,5.45833333,7.45833333,8.41666666,8.41666666,8.41666666,8.41666666,8.41666666,8.41666666,1,2.95833333,5.45833333,7.45833333,8.41666666,8.41666666,8.41666666,8.41666666,8.41666666,8.41666666,1,2.95833333,6.95833333,7.91666666,7.91666666,7.91666666,7.91666666,7.91666666,7.91666666,7.91666666,1,2.95833333,6.95833333,7.91666666,7.91666666,7.91666666,7.91666666,7.91666666,7.91666666,7.91666666,1,2.95833333,6.95833333,7.91666666,7.91666666,7.91666666,7.91666666,7.91666666,7.91666666,7.91666666,2.95833333,2.95833333,6.95833333,7.91666666,7.91666666,7.91666666,7.91666666,7.91666666,7.91666666,7.91666666,2.23076924,3.23076924,3.23076924,3.23076924,3.23076924,3.23076924,3.23076924,3.23076924,3.23076924,3.23076924,1.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,1.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,1.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,1.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,1.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,1.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,1.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153,2.53846153
5.59,2009,27.98611111,82.2695,22.37050259,5.46708246,6.46708246,9.44144143,11.44144143,13.44144143,14.44144143,14.44144143,14.44144143,14.44144143,14.44144143,5.05128208,7.05128208,9.02564105,11.02564105,13.02564105,14.02564105,14.02564105,14.02564105,14.02564105,14.02564105,4.79487185,6.79487185,8.76923082,10.76923082,12.76923082,13.76923082,13.76923082,13.76923082,13.76923082,13.76923082,4.43589752,6.43589752,8.41025649,10.41025649,12.41025649,13.41025649,13.41025649,13.41025649,13.41025649,13.41025649,4.43589752,6.43589752,8.41025649,10.41025649,12.41025649,13.41025649,13.41025649,13.41025649,13.41025649,13.41025649,5.84615389,5.84615389,7.82051286,11.82051286,12.82051286,12.82051286,12.82051286,12.82051286,12.82051286,12.82051286,5.84615389,5.84615389,7.82051286,11.82051286,12.82051286,12.82051286,12.82051286,12.82051286,12.82051286,12.82051286,5.84615389,5.84615389,7.82051286,11.82051286,12.82051286,12.82051286,12.82051286,12.82051286,12.82051286,12.82051286,4.10256409,6.07692306,6.07692306,10.07692306,11.07692306,11.07692306,11.07692306,11.07692306,11.07692306,11.07692306,0.34375,2.34375,3.34375,3.34375,3.34375,3.34375,3.34375,3.34375,3.34375,3.34375,0.3125,2.3125,3.3125,3.3125,3.3125,3.3125,3.3125,3.3125,3.3125,3.3125,0.3125,2.3125,3.3125,3.3125,3.3125,3.3125,3.3125,3.3125,3.3125,3.3125,0.3125,2.3125,3.3125,3.3125,3.3125,3.3125,3.3125,3.3125,3.3125,3.3125,0.3125,2.3125,3.3125,3.3125,3.3125,3.3125,3.3125,3.3125,3.3125,3.3125,0.3125,2.3125,3.3125,3.3125,3.3125,3.3125,3.3125,3.3125,3.3125,3.3125,1.3125,2.3125,3.3125,3.3125,3.3125,3.3125,3.3125,3.3125,3.3125,3.3125,2.3125,2.3125,3.3125,3.3125,3.3125,3.3125,3.3125,3.3125,3.3125,3.3125,2.3125,3.3125,3.3125,3.3125,3.3125,3.3125,3.3125,3.3125,3.3125,3.3125
11.19,2010,28.14490741,83.0325,22.77611301,3.73086884,6.73086884,7.73086884,10.71163807,12.71163807,14.71163807,15.71163807,15.71163807,15.71163807,15.71163807,4.25108849,6.25108849,8.25108849,10.23185772,12.23185772,14.23185772,15.23185772,15.23185772,15.23185772,15.23185772,3.46262699,5.46262699,7.46262699,9.44339622,11.44339622,13.44339622,14.44339622,14.44339622,14.44339622,14.44339622,3.04716982,5.04716982,7.04716982,9.02793905,11.02793905,13.02793905,14.02793905,14.02793905,14.02793905,14.02793905,2.56640062,4.56640062,6.56640062,8.54716985,10.54716985,12.54716985,13.54716985,13.54716985,13.54716985,13.54716985,1.54716982,5.54716982,5.54716982,7.52793905,11.52793905,12.52793905,12.52793905,12.52793905,12.52793905,12.52793905,1.54716982,5.54716982,5.54716982,7.52793905,11.52793905,12.52793905,12.52793905,12.52793905,12.52793905,12.52793905,1.54716982,5.54716982,5.54716982,7.52793905,11.52793905,12.52793905,12.52793905,12.52793905,12.52793905,12.52793905,1.54716982,5.54716982,7.52793905,7.52793905,11.52793905,12.52793905,12.52793905,12.52793905,12.52793905,12.52793905,1.3333333,2.30952378,4.30952378,5.30952378,5.30952378,5.30952378,5.30952378,5.30952378,5.30952378,5.30952378,3.19047618,3.19047618,5.19047618,6.19047618,6.19047618,6.19047618,6.19047618,6.19047618,6.19047618,6.19047618,2.97619048,2.97619048,4.97619048,5.97619048,5.97619048,5.97619048,5.97619048,5.97619048,5.97619048,5.97619048,2.97619048,2.97619048,4.97619048,5.97619048,5.97619048,5.97619048,5.97619048,5.97619048,5.97619048,5.97619048,2.97619048,2.97619048,4.97619048,5.97619048,5.97619048,5.97619048,5.97619048,5.97619048,5.97619048,5.97619048,2.97619048,2.97619048,4.97619048,5.97619048,5.97619048,5.97619048,5.97619048,5.97619048,5.97619048,5.97619048,2.97619048,3.97619048,4.97619048,5.97619048,5.97619048,5.97619048,5.97619048,5.97619048,5.97619048,5.97619048,2.97619048,4.97619048,4.97619048,5.97619048,5.97619048,5.97619048,5.97619048,5.97619048,5.97619048,5.97619048,2.97619048,4.97619048,5.97619048,5.97619048,5.97619048,5.97619048,5.97619048,5.97619048,5.97619048,5.97619048
13.58,2011,27.52777778,84.7625,22.47307487,4.644956103,5.574780663,8.565891774,9.565891774,12.51700289,14.51700289,16.51255845,16.80589175,16.80589175,16.80589175,4.623026283,6.543961954,8.543961954,10.54396195,12.49507307,14.49507307,16.49062863,16.78396193,16.78396193,16.78396193,4.365248505,6.286184176,8.286184176,10.28618418,12.23729529,14.23729529,16.23285085,16.23285085,16.23285085,16.23285085,4.052748505,5.973684176,7.973684176,9.973684176,11.92479529,13.92479529,15.92035085,15.92035085,15.92035085,15.92035085,4.052748505,5.973684176,7.973684176,9.973684176,11.92479529,13.92479529,15.92035085,15.92035085,15.92035085,15.92035085,4.412397665,5.403508776,9.403508776,9.403508776,11.35461989,15.35017545,15.35017545,15.35017545,15.35017545,15.35017545,4.412397665,5.403508776,9.403508776,9.403508776,11.35461989,15.35017545,15.35017545,15.35017545,15.35017545,15.35017545,4.412397665,5.403508776,9.403508776,9.403508776,11.35461989,15.35017545,15.35017545,15.35017545,15.35017545,15.35017545,4.412397665,5.403508776,9.403508776,11.35461989,11.35461989,15.35017545,15.35017545,15.35017545,15.35017545,15.35017545,2.311627966,3.306976803,4.30232564,6.30232564,7.30232564,7.30232564,7.30232564,7.30232564,7.30232564,7.30232564,2.051162803,5.037209314,5.037209314,7.037209314,8.037209314,8.037209314,8.037209314,8.037209314,8.037209314,8.037209314,2.04651164,5.032558151,5.032558151,7.032558151,8.032558151,8.032558151,8.032558151,8.032558151,8.032558151,8.032558151,2.04651164,5.032558151,5.032558151,7.032558151,8.032558151,8.032558151,8.032558151,8.032558151,8.032558151,8.032558151,2.04651164,5.032558151,5.032558151,7.032558151,8.032558151,8.032558151,8.032558151,8.032558151,8.032558151,8.032558151,2.04651164,5.032558151,5.032558151,7.032558151,8.032558151,8.032558151,8.032558151,8.032558151,8.032558151,8.032558151,2.04651164,5.032558151,6.032558151,7.032558151,8.032558151,8.032558151,8.032558151,8.032558151,8.032558151,8.032558151,2.04651164,5.032558151,7.032558151,7.032558151,8.032558151,8.032558151,8.032558151,8.032558151,8.032558151,8.032558151,2.04651164,5.032558151,7.032558151,8.032558151,8.032558151,8.032558151,8.032558151,8.032558151,8.032558151,8.032558151
11.6,2012,27.61759259,84.05208333,22.39553888,1.4523806,8.1666663,9.1666663,12.1666663,13.1666663,16.1666663,18.1666663,20.1666663,20.4523806,20.4523806,2.4285713,7.142857,9.142857,11.142857,13.142857,15.142857,17.142857,19.142857,19.4285713,19.4285713,2.4285713,7.142857,9.142857,11.142857,13.142857,15.142857,17.142857,19.142857,19.142857,19.142857,4.4285713,7.142857,9.142857,11.142857,13.142857,15.142857,17.142857,19.142857,19.142857,19.142857,4.4285713,7.142857,9.142857,11.142857,13.142857,15.142857,17.142857,19.142857,19.142857,19.142857,4.4285713,8.142857,9.142857,13.142857,13.142857,15.142857,19.142857,19.142857,19.142857,19.142857,4.4285713,8.142857,9.142857,13.142857,13.142857,15.142857,19.142857,19.142857,19.142857,19.142857,4.9999999,7.9999999,8.9999999,12.9999999,12.9999999,14.9999999,18.9999999,18.9999999,18.9999999,18.9999999,5.9999999,7.9999999,8.9999999,12.9999999,14.9999999,14.9999999,18.9999999,18.9999999,18.9999999,18.9999999,1.14285712,4.04761902,5.04761902,6.04761902,8.04761902,9.04761902,9.04761902,9.04761902,9.04761902,9.04761902,0.7142857,3.6190476,6.6190476,6.6190476,8.6190476,9.6190476,9.6190476,9.6190476,9.6190476,9.6190476,1.3809524,3.3809524,6.3809524,6.3809524,8.3809524,9.3809524,9.3809524,9.3809524,9.3809524,9.3809524,1.3809524,3.3809524,6.3809524,6.3809524,8.3809524,9.3809524,9.3809524,9.3809524,9.3809524,9.3809524,0.9047619,2.9047619,5.9047619,5.9047619,7.9047619,8.9047619,8.9047619,8.9047619,8.9047619,8.9047619,0.9047619,2.9047619,5.9047619,5.9047619,7.9047619,8.9047619,8.9047619,8.9047619,8.9047619,8.9047619,0.9047619,2.9047619,5.9047619,6.9047619,7.9047619,8.9047619,8.9047619,8.9047619,8.9047619,8.9047619,0.9047619,2.9047619,5.9047619,7.9047619,7.9047619,8.9047619,8.9047619,8.9047619,8.9047619,8.9047619,0.9047619,2.9047619,5.9047619,7.9047619,8.9047619,8.9047619,8.9047619,8.9047619,8.9047619,8.9047619
25.84,2013,27.84814815,82.45408333,22.25094962,1.7666667,3.6333333,10.4666666,11.4666666,14.4666666,15.4666666,18.4666666,20.4666666,22.0666666,22.0666666,3.26666657,5.09999987,10.09999987,12.09999987,14.09999987,16.09999987,18.09999987,20.09999987,21.69999987,21.69999987,3.26666657,5.09999987,10.09999987,12.09999987,14.09999987,16.09999987,18.09999987,20.09999987,21.69999987,21.69999987,3.26666657,7.09999987,10.09999987,12.09999987,14.09999987,16.09999987,18.09999987,20.09999987,21.69999987,21.69999987,2.86666657,6.69999987,9.69999987,11.69999987,13.69999987,15.69999987,17.69999987,19.69999987,21.29999987,21.29999987,2.06666657,5.89999987,9.89999987,10.89999987,14.89999987,14.89999987,16.89999987,20.49999987,20.49999987,20.49999987,2.06666657,5.89999987,9.89999987,10.89999987,14.89999987,14.89999987,16.89999987,19.89999987,19.89999987,19.89999987,2.33333327,6.16666657,9.16666657,10.16666657,14.16666657,14.16666657,16.16666657,19.16666657,19.16666657,19.16666657,2.33333327,6.33333327,8.33333327,9.33333327,13.33333327,15.33333327,15.33333327,18.33333327,18.33333327,18.33333327,1.86111116,1.97222227,4.86111117,5.86111117,6.86111117,8.86111117,9.86111117,9.86111117,9.86111117,9.86111117,1.1666667,1.1666667,4.0555556,7.0555556,7.0555556,9.0555556,10.0555556,10.0555556,10.0555556,10.0555556,1.1666667,2.1666667,4.0555556,7.0555556,7.0555556,9.0555556,10.0555556,10.0555556,10.0555556,10.0555556,1.1666667,2.1666667,4.0555556,7.0555556,7.0555556,9.0555556,10.0555556,10.0555556,10.0555556,10.0555556,1.1666667,2.1666667,4.0555556,7.0555556,7.0555556,9.0555556,10.0555556,10.0555556,10.0555556,10.0555556,1.1666667,2.1666667,4.0555556,7.0555556,7.0555556,9.0555556,10.0555556,10.0555556,10.0555556,10.0555556,0.7777778,1.7777778,3.6666667,6.6666667,7.6666667,8.6666667,9.6666667,9.6666667,9.6666667,9.6666667,0.7777778,1.7777778,3.6666667,6.6666667,8.6666667,8.6666667,9.6666667,9.6666667,9.6666667,9.6666667,0.7777778,1.7777778,2.7777778,5.7777778,7.7777778,8.7777778,8.7777778,8.7777778,8.7777778,8.7777778
19.74,2014,27.97546296,79.42191667,21.58353788,0.94,3.06,4.94,11.94,12.94,15.92,16.9,19.9,21.9,23.26,0.7,4.56,6.56,11.56,13.54,15.54,17.52,19.52,21.52,22.88,0.92,4.56,6.56,11.56,13.54,15.54,17.52,19.52,21.52,22.88,1.56,4.56,8.56,11.56,13.54,15.54,17.52,19.52,21.52,22.52,2.56,4.08,8.08,11.08,13.06,15.06,17.04,19.04,21.04,22.04,1.56,3.08,7.08,11.08,12.06,16.04,16.04,18.04,21.04,21.04,1.56,3.08,7.08,11.08,12.06,16.04,16.04,18.04,21.04,21.04,2.3,3.3,7.3,10.3,11.28,15.26,15.26,17.26,20.26,20.26,2.3,3.3,7.3,9.3,10.28,14.26,16.26,16.26,19.26,19.26,0.56666667,2.43333337,2.43333337,5.4166667,6.4166667,7.4166667,9.4166667,10.4166667,10.4166667,10.4166667,0.36666667,1.85000007,1.85000007,4.8333334,7.8333334,7.8333334,9.8333334,10.8333334,10.8333334,10.8333334,0.36666667,1.85000007,2.8333334,4.8333334,7.8333334,7.8333334,9.8333334,10.8333334,10.8333334,10.8333334,0.98333337,1.85000007,2.8333334,4.8333334,7.8333334,7.8333334,9.8333334,10.8333334,10.8333334,10.8333334,0.98333337,1.85000007,2.8333334,4.8333334,7.8333334,7.8333334,9.8333334,10.8333334,10.8333334,10.8333334,0.98333337,1.85000007,2.8333334,4.8333334,7.8333334,7.8333334,9.8333334,10.8333334,10.8333334,10.8333334,0.36666667,1.23333337,2.2166667,4.2166667,7.2166667,8.2166667,9.2166667,10.2166667,10.2166667,10.2166667,1.23333337,1.23333337,2.2166667,4.2166667,7.2166667,9.2166667,9.2166667,10.2166667,10.2166667,10.2166667,1.23333337,1.23333337,2.2166667,3.2166667,6.2166667,8.2166667,9.2166667,9.2166667,9.2166667,9.2166667
25.75,2015,28.29074074,77.80541667,21.51404831,1.63076918,5.44615378,6.43076916,7.53846146,14.3846153,15.36923068,18.32307683,19.32307683,22.32307683,24.32307683,5.15384613,5.15384613,7.09230766,8.99999997,13.9384615,15.87692303,17.87692303,19.87692303,21.87692303,23.87692303,6.07692305,6.07692305,7.06153843,8.96923074,13.90769227,15.8461538,17.8461538,19.8461538,21.8461538,23.8461538,5.76923075,6.75384613,6.75384613,10.66153844,13.59999997,15.5384615,17.5384615,19.5384615,21.5384615,23.5384615,5.76923075,6.75384613,6.75384613,10.66153844,13.59999997,15.5384615,17.5384615,19.5384615,21.5384615,23.5384615,5.76923075,6.75384613,6.75384613,10.66153844,14.58461535,15.5384615,19.5384615,19.5384615,21.5384615,24.5384615,6.75384613,6.75384613,6.75384613,10.66153844,14.58461535,15.5384615,19.5384615,19.5384615,21.5384615,24.5384615,6.90769228,6.90769228,7.89230766,11.79999997,14.7384615,15.69230765,19.69230765,19.69230765,21.69230765,24.69230765,6.90769228,6.90769228,7.89230766,11.84615381,13.83076919,14.78461534,18.78461534,20.78461534,20.78461534,23.78461534,1.53623182,3.04347812,4.26086942,4.26086942,7.21739116,8.20289841,9.20289841,11.20289841,12.20289841,12.20289841,2.72463757,2.72463757,3.94202887,3.94202887,6.89855061,9.88405786,9.88405786,11.88405786,12.88405786,12.88405786,2.49275352,2.49275352,3.49275352,4.47826077,6.44927526,9.43478251,9.43478251,11.43478251,12.43478251,12.43478251,2.49275352,2.49275352,3.49275352,4.47826077,6.44927526,9.43478251,9.43478251,11.43478251,12.43478251,12.43478251,2.49275352,2.49275352,3.49275352,4.47826077,6.44927526,9.43478251,9.43478251,11.43478251,12.43478251,12.43478251,2.49275352,2.49275352,3.49275352,4.47826077,6.44927526,9.43478251,9.43478251,11.43478251,12.43478251,12.43478251,2.49275352,2.49275352,3.49275352,4.47826077,6.44927526,9.43478251,10.43478251,11.43478251,12.43478251,12.43478251,2.49275352,3.49275352,3.49275352,4.47826077,6.44927526,9.43478251,11.43478251,11.43478251,12.43478251,12.43478251,3.47826077,3.47826077,3.47826077,4.46376802,5.46376802,8.44927527,10.44927527,11.44927527,11.44927527,11.44927527
28.19,2016,28.48055556,76.89416667,21.48475994,3.11108327,4.11108327,7.990002795,8.990002795,10.38153719,17.33943193,18.27101088,21.26048456,22.26048456,25.23416877,3.000000006,7.878919531,7.878919531,9.878919531,11.85260374,16.83681427,18.76313006,20.75786691,22.75786691,24.73155112,2.973684217,8.852603742,8.852603742,9.852603742,11.82628795,16.81049848,18.73681427,20.73155112,22.73155112,24.70523533,2.963157897,8.842077422,9.842077422,9.842077422,13.81576163,16.79997216,18.72628795,20.7210248,22.7210248,24.69470901,2.957894739,8.836814264,9.836814264,9.836814264,13.81049847,16.794709,18.7210248,20.71576164,22.71576164,24.68944585,2.957894739,8.836814264,9.836814264,9.836814264,13.81049847,17.72628795,18.7210248,22.71576164,22.71576164,24.68944585,2.926315789,9.805235314,9.805235314,9.805235314,13.77891952,17.694709,18.68944585,22.68418269,22.68418269,24.6578669,3.317850181,10.19676971,10.19676971,11.19676971,15.17045392,18.0862434,19.08098024,23.07571708,23.07571708,25.04940129,1.581008081,8.459927606,8.459927606,9.459927606,13.44413814,15.37571709,16.37045393,20.36519077,22.33887498,22.33887498,2.924855485,4.890173405,6.855491325,7.855491325,7.855491325,10.80924855,11.80924855,12.80924855,14.8034682,15.8034682,2.687861295,6.618497135,6.618497135,7.618497135,7.618497135,10.57225436,13.57225436,13.57225436,15.56647401,16.56647401,2.682080948,6.612716788,6.612716788,7.612716788,8.572254358,10.56647401,13.56647401,13.56647401,15.56069366,16.56069366,2.329479792,6.260115632,6.260115632,7.260115632,8.219653202,10.21387286,13.21387286,13.21387286,15.20809251,16.20809251,3.867052012,5.832369932,5.832369932,6.832369932,7.791907502,9.786127155,12.78612716,12.78612716,14.78034681,15.78034681,3.867052012,5.832369932,5.832369932,6.832369932,7.791907502,9.786127155,12.78612716,12.78612716,14.78034681,15.78034681,3.867052012,5.832369932,5.832369932,6.832369932,7.791907502,9.786127155,12.78612716,13.78034681,14.78034681,15.78034681,5.832369932,5.832369932,6.832369932,6.832369932,7.791907502,9.786127155,12.78612716,14.78034681,14.78034681,15.78034681,5.76300577,6.76300577,6.76300577,6.76300577,7.72254334,8.72254334,11.72254334,13.71676299,14.71676299,14.71676299
