,"theta=0.1,h=0","theta=0.1,h=1","theta=0.1,h=2","theta=0.1,h=3","theta=0.1,h=4","theta=0.1,h=5","theta=0.1,h=6","theta=0.1,h=7","theta=0.1,h=8","theta=0.1,h=9","theta=0.2,h=0","theta=0.2,h=1","theta=0.2,h=2","theta=0.2,h=3","theta=0.2,h=4","theta=0.2,h=5","theta=0.2,h=6","theta=0.2,h=7","theta=0.2,h=8","theta=0.2,h=9","theta=0.3,h=0","theta=0.3,h=1","theta=0.3,h=2","theta=0.3,h=3","theta=0.3,h=4","theta=0.3,h=5","theta=0.3,h=6","theta=0.3,h=7","theta=0.3,h=8","theta=0.3,h=9","theta=0.4,h=0","theta=0.4,h=1","theta=0.4,h=2","theta=0.4,h=3","theta=0.4,h=4","theta=0.4,h=5","theta=0.4,h=6","theta=0.4,h=7","theta=0.4,h=8","theta=0.4,h=9","theta=0.5,h=0","theta=0.5,h=1","theta=0.5,h=2","theta=0.5,h=3","theta=0.5,h=4","theta=0.5,h=5","theta=0.5,h=6","theta=0.5,h=7","theta=0.5,h=8","theta=0.5,h=9","theta=0.6,h=0","theta=0.6,h=1","theta=0.6,h=2","theta=0.6,h=3","theta=0.6,h=4","theta=0.6,h=5","theta=0.6,h=6","theta=0.6,h=7","theta=0.6,h=8","theta=0.6,h=9","theta=0.7,h=0","theta=0.7,h=1","theta=0.7,h=2","theta=0.7,h=3","theta=0.7,h=4","theta=0.7,h=5","theta=0.7,h=6","theta=0.7,h=7","theta=0.7,h=8","theta=0.7,h=9","theta=0.8,h=0","theta=0.8,h=1","theta=0.8,h=2","theta=0.8,h=3","theta=0.8,h=4","theta=0.8,h=5","theta=0.8,h=6","theta=0.8,h=7","theta=0.8,h=8","theta=0.8,h=9","theta=0.9,h=0","theta=0.9,h=1","theta=0.9,h=2","theta=0.9,h=3","theta=0.9,h=4","theta=0.9,h=5","theta=0.9,h=6","theta=0.9,h=7","theta=0.9,h=8","theta=0.9,h=9"
2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,2.3333333,2.3333333,2.3333333,2.3333333,2.3333333,2.3333333,2.3333333,2.3333333,2.3333333,2.3333333,1.3333334,1.3333334,1.3333334,1.3333334,1.3333334,1.3333334,1.3333334,1.3333334,1.3333334,1.3333334,1.1111112,1.1111112,1.1111112,1.1111112,1.1111112,1.1111112,1.1111112,1.1111112,1.1111112,1.1111112,1.1111112,1.1111112,1.1111112,1.1111112,1.1111112,1.1111112,1.1111112,1.1111112,1.1111112,1.1111112,1.1111112,1.1111112,1.1111112,1.1111112,1.1111112,1.1111112,1.1111112,1.1111112,1.1111112,1.1111112,0.5555556,0.5555556,0.5555556,0.5555556,0.5555556,0.5555556,0.5555556,0.5555556,0.5555556,0.5555556,0.5555556,0.5555556,0.5555556,0.5555556,0.5555556,0.5555556,0.5555556,0.5555556,0.5555556,0.5555556,0.5555556,0.5555556,0.5555556,0.5555556,0.5555556,0.5555556,0.5555556,0.5555556,0.5555556,0.5555556,0.5555556,0.5555556,0.5555556,0.5555556,0.5555556,0.5555556,0.5555556,0.5555556,0.5555556,0.5555556
2005,2.75,4,4,4,4,4,4,4,4,4,2.75,4,4,4,4,4,4,4,4,4,1.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2006,3.52857143,5.52857143,6.52857143,6.52857143,6.52857143,6.52857143,6.52857143,6.52857143,6.52857143,6.52857143,3.45714286,5.45714286,6.45714286,6.45714286,6.45714286,6.45714286,6.45714286,6.45714286,6.45714286,6.45714286,2.85714286,4.85714286,5.85714286,5.85714286,5.85714286,5.85714286,5.85714286,5.85714286,5.85714286,5.85714286,2.85714286,4.85714286,5.85714286,5.85714286,5.85714286,5.85714286,5.85714286,5.85714286,5.85714286,5.85714286,2.85714286,4.85714286,5.85714286,5.85714286,5.85714286,5.85714286,5.85714286,5.85714286,5.85714286,5.85714286,4.85714286,5.85714286,5.85714286,5.85714286,5.85714286,5.85714286,5.85714286,5.85714286,5.85714286,5.85714286,4.85714286,5.85714286,5.85714286,5.85714286,5.85714286,5.85714286,5.85714286,5.85714286,5.85714286,5.85714286,4.85714286,5.85714286,5.85714286,5.85714286,5.85714286,5.85714286,5.85714286,5.85714286,5.85714286,5.85714286,4.85714286,5.85714286,5.85714286,5.85714286,5.85714286,5.85714286,5.85714286,5.85714286,5.85714286,5.85714286
2007,2.90651261,5.40651261,7.40651261,8.40651261,8.40651261,8.40651261,8.40651261,8.40651261,8.40651261,8.40651261,2.35714278,4.85714278,6.85714278,7.85714278,7.85714278,7.85714278,7.85714278,7.85714278,7.85714278,7.85714278,1.95378143,4.45378143,6.45378143,7.45378143,7.45378143,7.45378143,7.45378143,7.45378143,7.45378143,7.45378143,1.95378143,4.45378143,6.45378143,7.45378143,7.45378143,7.45378143,7.45378143,7.45378143,7.45378143,7.45378143,1.95378143,4.45378143,6.45378143,7.45378143,7.45378143,7.45378143,7.45378143,7.45378143,7.45378143,7.45378143,1.95378143,6.45378143,7.45378143,7.45378143,7.45378143,7.45378143,7.45378143,7.45378143,7.45378143,7.45378143,1.95378143,5.81092429,6.81092429,6.81092429,6.81092429,6.81092429,6.81092429,6.81092429,6.81092429,6.81092429,1.95378143,5.81092429,6.81092429,6.81092429,6.81092429,6.81092429,6.81092429,6.81092429,6.81092429,6.81092429,1.95378143,5.81092429,6.81092429,6.81092429,6.81092429,6.81092429,6.81092429,6.81092429,6.81092429,6.81092429
2008,1.5833334,4.25000003,6.75000003,8.75000003,9.70833336,9.70833336,9.70833336,9.70833336,9.70833336,9.70833336,1.2083333,3.16666663,5.66666663,7.66666663,8.62499996,8.62499996,8.62499996,8.62499996,8.62499996,8.62499996,1,2.95833333,5.45833333,7.45833333,8.41666666,8.41666666,8.41666666,8.41666666,8.41666666,8.41666666,1,2.95833333,5.45833333,7.45833333,8.41666666,8.41666666,8.41666666,8.41666666,8.41666666,8.41666666,1,2.95833333,5.45833333,7.45833333,8.41666666,8.41666666,8.41666666,8.41666666,8.41666666,8.41666666,1,2.95833333,6.95833333,7.91666666,7.91666666,7.91666666,7.91666666,7.91666666,7.91666666,7.91666666,1,2.95833333,6.95833333,7.91666666,7.91666666,7.91666666,7.91666666,7.91666666,7.91666666,7.91666666,1,2.95833333,6.95833333,7.91666666,7.91666666,7.91666666,7.91666666,7.91666666,7.91666666,7.91666666,2.95833333,2.95833333,6.95833333,7.91666666,7.91666666,7.91666666,7.91666666,7.91666666,7.91666666,7.91666666
2009,5.46708246,6.46708246,9.44144143,11.44144143,13.44144143,14.44144143,14.44144143,14.44144143,14.44144143,14.44144143,5.05128208,7.05128208,9.02564105,11.02564105,13.02564105,14.02564105,14.02564105,14.02564105,14.02564105,14.02564105,4.79487185,6.79487185,8.76923082,10.76923082,12.76923082,13.76923082,13.76923082,13.76923082,13.76923082,13.76923082,4.43589752,6.43589752,8.41025649,10.41025649,12.41025649,13.41025649,13.41025649,13.41025649,13.41025649,13.41025649,4.43589752,6.43589752,8.41025649,10.41025649,12.41025649,13.41025649,13.41025649,13.41025649,13.41025649,13.41025649,5.84615389,5.84615389,7.82051286,11.82051286,12.82051286,12.82051286,12.82051286,12.82051286,12.82051286,12.82051286,5.84615389,5.84615389,7.82051286,11.82051286,12.82051286,12.82051286,12.82051286,12.82051286,12.82051286,12.82051286,5.84615389,5.84615389,7.82051286,11.82051286,12.82051286,12.82051286,12.82051286,12.82051286,12.82051286,12.82051286,4.10256409,6.07692306,6.07692306,10.07692306,11.07692306,11.07692306,11.07692306,11.07692306,11.07692306,11.07692306
2010,3.73086884,6.73086884,7.73086884,10.71163807,12.71163807,14.71163807,15.71163807,15.71163807,15.71163807,15.71163807,4.25108849,6.25108849,8.25108849,10.23185772,12.23185772,14.23185772,15.23185772,15.23185772,15.23185772,15.23185772,3.46262699,5.46262699,7.46262699,9.44339622,11.44339622,13.44339622,14.44339622,14.44339622,14.44339622,14.44339622,3.04716982,5.04716982,7.04716982,9.02793905,11.02793905,13.02793905,14.02793905,14.02793905,14.02793905,14.02793905,2.56640062,4.56640062,6.56640062,8.54716985,10.54716985,12.54716985,13.54716985,13.54716985,13.54716985,13.54716985,1.54716982,5.54716982,5.54716982,7.52793905,11.52793905,12.52793905,12.52793905,12.52793905,12.52793905,12.52793905,1.54716982,5.54716982,5.54716982,7.52793905,11.52793905,12.52793905,12.52793905,12.52793905,12.52793905,12.52793905,1.54716982,5.54716982,5.54716982,7.52793905,11.52793905,12.52793905,12.52793905,12.52793905,12.52793905,12.52793905,1.54716982,5.54716982,7.52793905,7.52793905,11.52793905,12.52793905,12.52793905,12.52793905,12.52793905,12.52793905
2011,4.644956103,5.574780663,8.565891774,9.565891774,12.51700289,14.51700289,16.51255845,16.80589175,16.80589175,16.80589175,4.623026283,6.543961954,8.543961954,10.54396195,12.49507307,14.49507307,16.49062863,16.78396193,16.78396193,16.78396193,4.365248505,6.286184176,8.286184176,10.28618418,12.23729529,14.23729529,16.23285085,16.23285085,16.23285085,16.23285085,4.052748505,5.973684176,7.973684176,9.973684176,11.92479529,13.92479529,15.92035085,15.92035085,15.92035085,15.92035085,4.052748505,5.973684176,7.973684176,9.973684176,11.92479529,13.92479529,15.92035085,15.92035085,15.92035085,15.92035085,4.412397665,5.403508776,9.403508776,9.403508776,11.35461989,15.35017545,15.35017545,15.35017545,15.35017545,15.35017545,4.412397665,5.403508776,9.403508776,9.403508776,11.35461989,15.35017545,15.35017545,15.35017545,15.35017545,15.35017545,4.412397665,5.403508776,9.403508776,9.403508776,11.35461989,15.35017545,15.35017545,15.35017545,15.35017545,15.35017545,4.412397665,5.403508776,9.403508776,11.35461989,11.35461989,15.35017545,15.35017545,15.35017545,15.35017545,15.35017545
2012,1.4523806,8.1666663,9.1666663,12.1666663,13.1666663,16.1666663,18.1666663,20.1666663,20.4523806,20.4523806,2.4285713,7.142857,9.142857,11.142857,13.142857,15.142857,17.142857,19.142857,19.4285713,19.4285713,2.4285713,7.142857,9.142857,11.142857,13.142857,15.142857,17.142857,19.142857,19.142857,19.142857,4.4285713,7.142857,9.142857,11.142857,13.142857,15.142857,17.142857,19.142857,19.142857,19.142857,4.4285713,7.142857,9.142857,11.142857,13.142857,15.142857,17.142857,19.142857,19.142857,19.142857,4.4285713,8.142857,9.142857,13.142857,13.142857,15.142857,19.142857,19.142857,19.142857,19.142857,4.4285713,8.142857,9.142857,13.142857,13.142857,15.142857,19.142857,19.142857,19.142857,19.142857,4.9999999,7.9999999,8.9999999,12.9999999,12.9999999,14.9999999,18.9999999,18.9999999,18.9999999,18.9999999,5.9999999,7.9999999,8.9999999,12.9999999,14.9999999,14.9999999,18.9999999,18.9999999,18.9999999,18.9999999
