positive_rate,year,temp,humid,ab_humid,"theta=0.1,h=0","theta=0.1,h=1","theta=0.1,h=2","theta=0.1,h=3","theta=0.1,h=4","theta=0.1,h=5","theta=0.1,h=6","theta=0.1,h=7","theta=0.1,h=8","theta=0.1,h=9","theta=0.2,h=0","theta=0.2,h=1","theta=0.2,h=2","theta=0.2,h=3","theta=0.2,h=4","theta=0.2,h=5","theta=0.2,h=6","theta=0.2,h=7","theta=0.2,h=8","theta=0.2,h=9","theta=0.3,h=0","theta=0.3,h=1","theta=0.3,h=2","theta=0.3,h=3","theta=0.3,h=4","theta=0.3,h=5","theta=0.3,h=6","theta=0.3,h=7","theta=0.3,h=8","theta=0.3,h=9","theta=0.4,h=0","theta=0.4,h=1","theta=0.4,h=2","theta=0.4,h=3","theta=0.4,h=4","theta=0.4,h=5","theta=0.4,h=6","theta=0.4,h=7","theta=0.4,h=8","theta=0.4,h=9","theta=0.5,h=0","theta=0.5,h=1","theta=0.5,h=2","theta=0.5,h=3","theta=0.5,h=4","theta=0.5,h=5","theta=0.5,h=6","theta=0.5,h=7","theta=0.5,h=8","theta=0.5,h=9","theta=0.6,h=0","theta=0.6,h=1","theta=0.6,h=2","theta=0.6,h=3","theta=0.6,h=4","theta=0.6,h=5","theta=0.6,h=6","theta=0.6,h=7","theta=0.6,h=8","theta=0.6,h=9","theta=0.7,h=0","theta=0.7,h=1","theta=0.7,h=2","theta=0.7,h=3","theta=0.7,h=4","theta=0.7,h=5","theta=0.7,h=6","theta=0.7,h=7","theta=0.7,h=8","theta=0.7,h=9","theta=0.8,h=0","theta=0.8,h=1","theta=0.8,h=2","theta=0.8,h=3","theta=0.8,h=4","theta=0.8,h=5","theta=0.8,h=6","theta=0.8,h=7","theta=0.8,h=8","theta=0.8,h=9","theta=0.9,h=0","theta=0.9,h=1","theta=0.9,h=2","theta=0.9,h=3","theta=0.9,h=4","theta=0.9,h=5","theta=0.9,h=6","theta=0.9,h=7","theta=0.9,h=8","theta=0.9,h=9","theta=0.1,h=0","theta=0.1,h=1","theta=0.1,h=2","theta=0.1,h=3","theta=0.1,h=4","theta=0.1,h=5","theta=0.1,h=6","theta=0.1,h=7","theta=0.1,h=8","theta=0.1,h=9","theta=0.2,h=0","theta=0.2,h=1","theta=0.2,h=2","theta=0.2,h=3","theta=0.2,h=4","theta=0.2,h=5","theta=0.2,h=6","theta=0.2,h=7","theta=0.2,h=8","theta=0.2,h=9","theta=0.3,h=0","theta=0.3,h=1","theta=0.3,h=2","theta=0.3,h=3","theta=0.3,h=4","theta=0.3,h=5","theta=0.3,h=6","theta=0.3,h=7","theta=0.3,h=8","theta=0.3,h=9","theta=0.4,h=0","theta=0.4,h=1","theta=0.4,h=2","theta=0.4,h=3","theta=0.4,h=4","theta=0.4,h=5","theta=0.4,h=6","theta=0.4,h=7","theta=0.4,h=8","theta=0.4,h=9","theta=0.5,h=0","theta=0.5,h=1","theta=0.5,h=2","theta=0.5,h=3","theta=0.5,h=4","theta=0.5,h=5","theta=0.5,h=6","theta=0.5,h=7","theta=0.5,h=8","theta=0.5,h=9","theta=0.6,h=0","theta=0.6,h=1","theta=0.6,h=2","theta=0.6,h=3","theta=0.6,h=4","theta=0.6,h=5","theta=0.6,h=6","theta=0.6,h=7","theta=0.6,h=8","theta=0.6,h=9","theta=0.7,h=0","theta=0.7,h=1","theta=0.7,h=2","theta=0.7,h=3","theta=0.7,h=4","theta=0.7,h=5","theta=0.7,h=6","theta=0.7,h=7","theta=0.7,h=8","theta=0.7,h=9","theta=0.8,h=0","theta=0.8,h=1","theta=0.8,h=2","theta=0.8,h=3","theta=0.8,h=4","theta=0.8,h=5","theta=0.8,h=6","theta=0.8,h=7","theta=0.8,h=8","theta=0.8,h=9","theta=0.9,h=0","theta=0.9,h=1","theta=0.9,h=2","theta=0.9,h=3","theta=0.9,h=4","theta=0.9,h=5","theta=0.9,h=6","theta=0.9,h=7","theta=0.9,h=8","theta=0.9,h=9"
9.525316456,2005,29.41018519,75.6115,22.22754798,21.1276188,25.3047615,25.3047615,25.3047615,25.3047615,25.3047615,25.3047615,25.3047615,25.3047615,25.3047615,20.7314284,23.7371427,23.7371427,23.7371427,23.7371427,23.7371427,23.7371427,23.7371427,23.7371427,23.7371427,12.4399998,15.1599998,15.1599998,15.1599998,15.1599998,15.1599998,15.1599998,15.1599998,15.1599998,15.1599998,12.1199998,14.8399998,14.8399998,14.8399998,14.8399998,14.8399998,14.8399998,14.8399998,14.8399998,14.8399998,11.6914284,14.4114284,14.4114284,14.4114284,14.4114284,14.4114284,14.4114284,14.4114284,14.4114284,14.4114284,10.9199998,13.6399998,13.6399998,13.6399998,13.6399998,13.6399998,13.6399998,13.6399998,13.6399998,13.6399998,13.3199998,13.3199998,13.3199998,13.3199998,13.3199998,13.3199998,13.3199998,13.3199998,13.3199998,13.3199998,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,7,8,8,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8
1.269035533,2006,28.71626984,69.87220833,19.77659231,4.79545459,7.20454549,8.57575769,8.57575769,8.57575769,8.57575769,8.57575769,8.57575769,8.57575769,8.57575769,6.229798,7.0479799,8.0479799,8.0479799,8.0479799,8.0479799,8.0479799,8.0479799,8.0479799,8.0479799,6.3888889,6.7979798,7.7979798,7.7979798,7.7979798,7.7979798,7.7979798,7.7979798,7.7979798,7.7979798,6.7979798,6.7979798,7.7979798,7.7979798,7.7979798,7.7979798,7.7979798,7.7979798,7.7979798,7.7979798,6.7979798,6.7979798,7.7979798,7.7979798,7.7979798,7.7979798,7.7979798,7.7979798,7.7979798,7.7979798,6.0833333,6.0833333,7.0833333,7.0833333,7.0833333,7.0833333,7.0833333,7.0833333,7.0833333,7.0833333,5.6742424,6.6742424,6.6742424,6.6742424,6.6742424,6.6742424,6.6742424,6.6742424,6.6742424,6.6742424,6.6742424,6.6742424,6.6742424,6.6742424,6.6742424,6.6742424,6.6742424,6.6742424,6.6742424,6.6742424,6.6742424,6.6742424,6.6742424,6.6742424,6.6742424,6.6742424,6.6742424,6.6742424,6.6742424,6.6742424,7.88235316,11.35294136,12.35294136,12.35294136,12.35294136,12.35294136,12.35294136,12.35294136,12.35294136,12.35294136,6.82352947,10.29411767,11.29411767,11.29411767,11.29411767,11.29411767,11.29411767,11.29411767,11.29411767,11.29411767,6.82352947,10.29411767,11.29411767,11.29411767,11.29411767,11.29411767,11.29411767,11.29411767,11.29411767,11.29411767,5.88235297,9.35294117,10.35294117,10.35294117,10.35294117,10.35294117,10.35294117,10.35294117,10.35294117,10.35294117,5.64705887,9.11764707,10.11764707,10.11764707,10.11764707,10.11764707,10.11764707,10.11764707,10.11764707,10.11764707,5.29411767,8.76470587,9.76470587,9.76470587,9.76470587,9.76470587,9.76470587,9.76470587,9.76470587,9.76470587,5.29411767,8.11764707,9.11764707,9.11764707,9.11764707,9.11764707,9.11764707,9.11764707,9.11764707,9.11764707,5.29411767,8.11764707,9.11764707,9.11764707,9.11764707,9.11764707,9.11764707,9.11764707,9.11764707,9.11764707,5.29411767,7.29411767,8.29411767,8.29411767,8.29411767,8.29411767,8.29411767,8.29411767,8.29411767,8.29411767
9.580645161,2007,29.10416667,67.71241667,19.57605757,1.3612764,5.5332221,8.72766651,10.08877761,10.08877761,10.08877761,10.08877761,10.08877761,10.08877761,10.08877761,0.8161531,6.84267396,7.84267395,8.84267395,8.84267395,8.84267395,8.84267395,8.84267395,8.84267395,8.84267395,1.56209142,7.35784305,7.99673194,8.99673194,8.99673194,8.99673194,8.99673194,8.99673194,8.99673194,8.99673194,1.47875809,7.91339861,7.91339861,8.91339861,8.91339861,8.91339861,8.91339861,8.91339861,8.91339861,8.91339861,2.11764698,7.91339861,7.91339861,8.91339861,8.91339861,8.91339861,8.91339861,8.91339861,8.91339861,8.91339861,1.53431368,7.33006531,7.33006531,8.33006531,8.33006531,8.33006531,8.33006531,8.33006531,8.33006531,8.33006531,0.89542479,6.69117642,7.69117642,7.69117642,7.69117642,7.69117642,7.69117642,7.69117642,7.69117642,7.69117642,0.89542479,7.69117642,7.69117642,7.69117642,7.69117642,7.69117642,7.69117642,7.69117642,7.69117642,7.69117642,3.86764701,6.86764701,6.86764701,6.86764701,6.86764701,6.86764701,6.86764701,6.86764701,6.86764701,6.86764701,1.04347822,7.47826086,10.95652176,11.95652176,11.95652176,11.95652176,11.95652176,11.95652176,11.95652176,11.95652176,0.69565222,7.13043486,10.60869576,11.60869576,11.60869576,11.60869576,11.60869576,11.60869576,11.60869576,11.60869576,1.52173912,7.13043486,10.60869576,11.60869576,11.60869576,11.60869576,11.60869576,11.60869576,11.60869576,11.60869576,1.65217392,6.73913056,10.21739146,11.21739146,11.21739146,11.21739146,11.21739146,11.21739146,11.21739146,11.21739146,2.26086962,5.82608706,8.82608706,9.82608706,9.82608706,9.82608706,9.82608706,9.82608706,9.82608706,9.82608706,2.21739142,5.78260886,8.78260886,9.78260886,9.78260886,9.78260886,9.78260886,9.78260886,9.78260886,9.78260886,2.21739142,5.17391316,8.17391316,9.17391316,9.17391316,9.17391316,9.17391316,9.17391316,9.17391316,9.17391316,3.17391316,5.17391316,8.17391316,9.17391316,9.17391316,9.17391316,9.17391316,9.17391316,9.17391316,9.17391316,3.17391316,5.17391316,7.17391316,8.17391316,8.17391316,8.17391316,8.17391316,8.17391316,8.17391316,8.17391316
6.796923716,2008,28.28148148,67.93141667,18.77422806,2.28714456,4.03103508,7.03528837,8.97468231,10.88377322,10.88377322,10.88377322,10.88377322,10.88377322,10.88377322,2.78861086,3.75830783,8.50840667,9.44780061,10.41749758,10.41749758,10.41749758,10.41749758,10.41749758,10.41749758,1.77298147,3.68207238,8.43217122,8.43217122,9.40186819,9.40186819,9.40186819,9.40186819,9.40186819,9.40186819,3.65176935,3.65176935,8.40186819,8.40186819,9.37156516,9.37156516,9.37156516,9.37156516,9.37156516,9.37156516,3.50146632,3.50146632,8.25156516,8.25156516,9.22126213,9.22126213,9.22126213,9.22126213,9.22126213,9.22126213,3.50146632,3.50146632,8.25156516,8.25156516,9.22126213,9.22126213,9.22126213,9.22126213,9.22126213,9.22126213,3.50146632,3.50146632,8.25156516,9.22126213,9.22126213,9.22126213,9.22126213,9.22126213,9.22126213,9.22126213,3.47116329,3.47116329,9.1909591,9.1909591,9.1909591,9.1909591,9.1909591,9.1909591,9.1909591,9.1909591,3.47116329,5.41055723,8.3109591,8.3109591,8.3109591,8.3109591,8.3109591,8.3109591,8.3109591,8.3109591,0.25806449,1.70967736,8.38709672,12.35483866,13.35483866,13.35483866,13.35483866,13.35483866,13.35483866,13.35483866,1.3225806,2.25806447,8.93548383,12.90322577,13.90322577,13.90322577,13.90322577,13.90322577,13.90322577,13.90322577,1.3225806,2.25806447,8.93548383,12.90322577,13.90322577,13.90322577,13.90322577,13.90322577,13.90322577,13.90322577,1.3225806,2.25806447,8.93548383,12.90322577,13.90322577,13.90322577,13.90322577,13.90322577,13.90322577,13.90322577,3.25806447,4.22580641,7.93548383,10.90322577,11.90322577,11.90322577,11.90322577,11.90322577,11.90322577,11.90322577,5.22580641,5.22580641,8.93548383,11.90322577,12.90322577,12.90322577,12.90322577,12.90322577,12.90322577,12.90322577,5.22580641,5.22580641,8.19354835,11.16129029,12.16129029,12.16129029,12.16129029,12.16129029,12.16129029,12.16129029,5.22580641,6.22580641,8.19354835,11.16129029,12.16129029,12.16129029,12.16129029,12.16129029,12.16129029,12.16129029,5.22580641,6.22580641,8.19354835,10.16129029,11.16129029,11.16129029,11.16129029,11.16129029,11.16129029,11.16129029
3.517173052,2009,28.38564815,66.84475,18.57987672,15.3431376,16.3208559,17.76203235,19.98306635,21.36541927,22.77718396,22.77718396,22.77718396,22.77718396,22.77718396,15.40909124,16.87967944,17.58556179,21.18894871,21.92424281,22.6007134,22.6007134,22.6007134,22.6007134,22.6007134,3.91889482,5.38948302,6.83065947,10.43404639,10.43404639,11.11051698,11.11051698,11.11051698,11.11051698,11.11051698,3.59536542,6.50713007,6.50713007,10.11051699,10.11051699,10.78698758,10.78698758,10.78698758,10.78698758,10.78698758,2.23529421,5.14705886,5.14705886,8.75044578,8.75044578,9.42691637,9.42691637,9.42691637,9.42691637,9.42691637,2.23529421,5.14705886,5.14705886,8.75044578,8.75044578,9.42691637,9.42691637,9.42691637,9.42691637,9.42691637,2.23529421,5.14705886,5.14705886,8.10338696,8.10338696,8.10338696,8.10338696,8.10338696,8.10338696,8.10338696,3.00000001,3.00000001,3.00000001,3.00000001,3.00000001,3.00000001,3.00000001,3.00000001,3.00000001,3.00000001,3.00000001,3.00000001,3.00000001,3.00000001,3.00000001,3.00000001,3.00000001,3.00000001,3.00000001,3.00000001,0.7391304,0.7391304,2.7391304,9.43478258,13.26086954,14.26086954,14.26086954,14.26086954,14.26086954,14.26086954,0.4347826,2.4347826,3.4347826,10.13043478,13.95652174,14.95652174,14.95652174,14.95652174,14.95652174,14.95652174,0,2,3,9.69565218,13.52173914,14.52173914,14.52173914,14.52173914,14.52173914,14.52173914,0,2,3,9.69565218,13.52173914,14.52173914,14.52173914,14.52173914,14.52173914,14.52173914,0,4,4.91304348,8.69565218,11.60869566,12.60869566,12.60869566,12.60869566,12.60869566,12.60869566,1,5.91304348,5.91304348,9.69565218,12.60869566,13.60869566,13.60869566,13.60869566,13.60869566,13.60869566,1,5.91304348,5.91304348,8.86956522,11.7826087,12.7826087,12.7826087,12.7826087,12.7826087,12.7826087,1,5.91304348,6.91304348,8.86956522,11.7826087,12.7826087,12.7826087,12.7826087,12.7826087,12.7826087,2,5.91304348,6.91304348,8.86956522,10.7826087,11.7826087,11.7826087,11.7826087,11.7826087,11.7826087
3.221083455,2010,28.9087963,67.7035,19.36567778,2.38888891,6.72222215,7.83333325,9.83333325,12.72222215,14.72222215,16.72222215,16.72222215,16.72222215,16.72222215,1.7222223,5.94444444,7.94444444,8.94444444,13.83333334,14.83333334,15.83333334,15.83333334,15.83333334,15.83333334,2.8333334,6.05555554,8.05555554,10.05555554,14.94444444,14.94444444,15.94444444,15.94444444,15.94444444,15.94444444,1.6666667,4.55555554,8.55555554,8.55555554,13.44444444,13.44444444,14.44444444,14.44444444,14.44444444,14.44444444,0.7222223,2.7222223,6.7222223,6.7222223,11.6111112,11.6111112,12.6111112,12.6111112,12.6111112,12.6111112,0.7222223,2.7222223,6.7222223,6.7222223,11.6111112,11.6111112,12.6111112,12.6111112,12.6111112,12.6111112,2.7222223,2.7222223,6.7222223,6.7222223,10.6111112,10.6111112,10.6111112,10.6111112,10.6111112,10.6111112,4.7222223,4.7222223,4.7222223,4.7222223,4.7222223,4.7222223,4.7222223,4.7222223,4.7222223,4.7222223,4.7222223,4.7222223,4.7222223,4.7222223,4.7222223,4.7222223,4.7222223,4.7222223,4.7222223,4.7222223,2.53333324,2.53333324,2.53333324,4.53333324,11.46666657,15.46666657,16.46666657,16.46666657,16.46666657,16.46666657,2.19999997,2.19999997,4.19999997,5.19999997,12.1333333,16.1333333,17.1333333,17.1333333,17.1333333,17.1333333,2.19999997,2.19999997,4.19999997,5.19999997,12.1333333,16.1333333,17.1333333,17.1333333,17.1333333,17.1333333,1.86666667,1.86666667,3.86666667,4.86666667,11.8,15.8,16.8,16.8,16.8,16.8,1.86666667,1.86666667,5.86666667,6.86666667,10.8,13.8,14.8,14.8,14.8,14.8,1.86666667,2.86666667,7.86666667,7.86666667,11.8,14.8,15.8,15.8,15.8,15.8,1.86666667,2.86666667,7.86666667,7.86666667,10.86666667,13.86666667,14.86666667,14.86666667,14.86666667,14.86666667,1.86666667,2.86666667,7.86666667,8.86666667,10.86666667,13.86666667,14.86666667,14.86666667,14.86666667,14.86666667,1.86666667,3.86666667,7.86666667,8.86666667,10.86666667,12.86666667,13.86666667,13.86666667,13.86666667,13.86666667
12.60837255,2011,28.07060185,70.49660119,19.25859642,8.14491233,9.01333338,11.77649127,12.6975439,14.47385969,17.31596495,19.15807021,21.02649126,21.02649126,21.02649126,8.89491228,8.89491228,11.65807017,13.50017543,14.35543859,19.03964911,19.98701753,20.90807016,20.90807016,20.90807016,8.92122807,9.8422807,11.68438596,13.52649122,15.3291228,20.01333332,20.01333332,20.93438595,20.93438595,20.93438595,7.17087716,8.09192979,9.93403505,13.57877189,13.57877189,18.26298241,18.26298241,19.18403504,19.18403504,19.18403504,5.76210522,6.68315785,8.52526311,12.16999995,12.16999995,16.85421047,16.85421047,17.7752631,17.7752631,17.7752631,6.68315785,6.68315785,8.52526311,12.16999995,12.16999995,16.85421047,16.85421047,17.7752631,17.7752631,17.7752631,6.68315785,8.52526311,8.52526311,12.16999995,12.16999995,15.93315784,15.93315784,15.93315784,15.93315784,15.93315784,6.68315785,10.36736837,10.36736837,10.36736837,10.36736837,10.36736837,10.36736837,10.36736837,10.36736837,10.36736837,6.68315785,10.36736837,10.36736837,10.36736837,10.36736837,10.36736837,10.36736837,10.36736837,10.36736837,10.36736837,2.46153843,5.26923069,5.26923069,5.26923069,7.26923069,14.1346153,18.07692299,19.07692299,19.07692299,19.07692299,2.44230766,5.24999992,5.24999992,7.24999992,8.24999992,15.11538453,19.05769222,20.05769222,20.05769222,20.05769222,2.44230766,5.24999992,5.24999992,7.24999992,8.24999992,15.11538453,19.05769222,20.05769222,20.05769222,20.05769222,2.44230766,5.24999992,5.24999992,7.24999992,8.24999992,15.11538453,19.05769222,20.05769222,20.05769222,20.05769222,2.44230766,5.24999992,5.24999992,9.24999992,10.24999992,14.11538453,17.05769222,18.05769222,18.05769222,18.05769222,2.44230766,5.24999992,6.24999992,11.24999992,11.24999992,15.11538453,18.05769222,19.05769222,19.05769222,19.05769222,5.24999992,5.24999992,6.24999992,11.24999992,11.24999992,14.21153838,17.15384607,18.15384607,18.15384607,18.15384607,5.24999992,5.24999992,6.24999992,11.24999992,12.24999992,14.21153838,17.15384607,18.15384607,18.15384607,18.15384607,5.24999992,5.24999992,7.24999992,11.24999992,12.24999992,14.21153838,16.19230761,17.19230761,17.19230761,17.19230761
2.311741817,2012,29.63584656,69.11939881,20.57011704,20.18100293,24.40962551,25.29672231,27.04275409,27.63005568,28.7662564,30.86303064,32.0309774,33.50716788,33.50716788,20.02227278,25.02508896,25.02508896,26.77112074,27.93906749,28.49462305,31.75934405,32.64823294,33.23553453,33.23553453,20.91756207,25.10573411,25.67716271,26.85176589,28.01971264,29.46415709,32.72887809,32.72887809,33.31617968,33.31617968,7.55401926,11.7421913,12.3136199,13.48822308,16.10061428,16.10061428,19.36533528,19.36533528,19.95263687,19.95263687,1.08141319,4.40604197,4.97747057,6.15207375,8.76446495,8.76446495,12.02918595,12.02918595,12.61648754,12.61648754,1.03379414,2.69866872,2.69866872,2.69866872,3.58755761,3.58755761,5.10368665,5.10368665,5.10368665,5.10368665,1.8973374,3.56221198,3.56221198,3.56221198,4.45110087,4.45110087,5.35432668,5.35432668,5.35432668,5.35432668,3.18305168,4.07014848,4.07014848,4.07014848,4.07014848,4.07014848,4.07014848,4.07014848,4.07014848,4.07014848,4.63466458,4.63466458,4.63466458,4.63466458,4.63466458,4.63466458,4.63466458,4.63466458,4.63466458,4.63466458,0.17142856,2.91428567,5.82857138,5.82857138,5.82857138,7.82857138,14.65714281,18.54285711,19.54285711,19.54285711,0.1142857,2.85714281,5.77142852,5.77142852,7.77142852,8.77142852,15.59999995,19.48571425,20.48571425,20.48571425,0.1142857,2.85714281,5.77142852,5.77142852,7.77142852,8.77142852,15.59999995,19.48571425,20.48571425,20.48571425,0.1142857,2.85714281,5.77142852,5.77142852,7.77142852,8.77142852,15.59999995,19.48571425,20.48571425,20.48571425,0.1142857,2.85714281,5.77142852,5.77142852,9.77142852,10.77142852,14.59999995,17.48571425,18.48571425,18.48571425,0.1142857,2.85714281,5.77142852,6.77142852,11.77142852,11.77142852,15.59999995,18.48571425,19.48571425,19.48571425,0.9428571,5.77142852,5.77142852,6.77142852,11.77142852,11.77142852,14.71428566,17.59999996,18.59999996,18.59999996,0.9428571,5.77142852,5.77142852,6.77142852,11.77142852,12.77142852,14.71428566,17.59999996,18.59999996,18.59999996,3.82857138,5.77142852,5.77142852,7.77142852,11.77142852,12.77142852,14.71428566,16.71428566,17.71428566,17.71428566
10.57951482,2013,29.35555556,67.81016667,19.87495111,1.27631575,2.36842114,8.56578958,9.56578958,12.2894738,13.19736854,15.01315802,17.76315803,19.56578961,21.47368435,1.96052627,1.96052627,9.15789471,9.15789471,11.88157893,13.69736841,14.60526315,19.15789474,20.15789474,21.06578948,1.93421049,2.84210523,9.13157893,10.03947367,11.85526315,13.67105263,15.57894737,20.13157896,20.13157896,21.0394737,1.06578948,1.97368422,8.26315792,9.17105266,10.98684214,14.71052636,14.71052636,19.26315795,19.26315795,20.17105269,1.77631576,1.77631576,6.38157896,7.2894737,9.10526318,12.8289474,12.8289474,17.38157899,17.38157899,18.28947373,1.76315787,1.76315787,3.71052629,3.71052629,3.71052629,4.71052629,4.71052629,6.55263156,6.55263156,6.55263156,3.44736837,3.44736837,5.39473679,5.39473679,5.39473679,6.39473679,6.39473679,7.32894732,7.32894732,7.32894732,5.24999999,5.24999999,6.24999999,6.24999999,6.24999999,6.24999999,6.24999999,6.24999999,6.24999999,6.24999999,7.15789473,7.15789473,7.15789473,7.15789473,7.15789473,7.15789473,7.15789473,7.15789473,7.15789473,7.15789473,0.24590164,1.13114754,4.09836066,7.06557377,7.06557377,7.06557377,9.06557377,15.93442623,19.03278689,20.01639345,1,1,3.96721312,6.93442623,6.93442623,8.93442623,9.93442623,16.80327869,19.78688525,20.77049181,1,1,3.96721312,6.93442623,6.93442623,8.93442623,9.93442623,16.80327869,19.78688525,20.77049181,1,1,3.96721312,6.93442623,6.93442623,8.93442623,9.93442623,16.80327869,19.78688525,20.77049181,1,1,3.96721312,6.93442623,6.93442623,10.93442623,11.93442623,15.80327869,17.78688525,18.77049181,0.90163934,0.90163934,3.86885246,6.83606557,7.83606557,12.83606557,12.83606557,16.70491803,18.68852459,19.67213115,0.90163934,1.8852459,6.83606557,6.83606557,7.83606557,12.83606557,12.83606557,15.83606557,17.81967213,18.80327869,0.90163934,1.8852459,6.83606557,6.83606557,7.83606557,12.83606557,13.83606557,15.83606557,17.81967213,18.80327869,1.8852459,4.86885246,6.83606557,6.83606557,8.83606557,12.83606557,13.83606557,15.83606557,17.81967213,18.80327869
4.527189928,2014,28.80277778,70.30458333,19.99341395,8.31764746,8.68235336,10.35294156,15.02352975,16.01176504,17.95294146,18.60000026,19.89411786,21.83529426,22.65882368,8.25882385,8.75294145,8.75294145,14.41176493,14.41176493,16.35294135,17.64705895,18.29411775,20.88235297,21.87058826,8.14117675,8.63529435,9.27058847,14.29411783,14.94117663,16.23529425,17.52941185,19.16470594,21.75294116,21.75294116,2.98039211,3.47450971,4.10980383,9.13333319,9.78039199,11.07450961,14.0039213,14.0039213,16.59215652,16.59215652,2.15686274,2.79215686,2.79215686,6.56862742,7.21568622,8.50980384,11.43921553,11.43921553,14.02745075,14.02745075,2.14509803,2.78039215,2.78039215,4.72156862,4.72156862,4.72156862,5.70980391,5.70980391,7.01568621,7.01568621,2.02745093,2.02745093,2.02745093,3.9686274,3.9686274,3.9686274,4.95686269,4.95686269,4.95686269,4.95686269,2.52156853,3.47450971,3.47450971,4.462745,4.462745,4.462745,4.462745,4.462745,4.462745,4.462745,4.39215674,6.33333321,6.33333321,6.33333321,6.33333321,6.33333321,6.33333321,6.33333321,6.33333321,6.33333321,1.46,1.46,2.42,5.38,8.34,8.34,8.34,10.34,17.2,20.18,0.96,1.92,1.92,4.88,7.84,7.84,9.84,10.84,17.7,20.68,0.96,1.92,1.92,4.88,7.84,7.84,9.84,10.84,17.7,20.68,0.96,1.92,1.92,4.88,7.84,7.84,9.84,10.84,17.7,20.68,0.96,1.92,1.92,4.88,7.84,7.84,11.84,12.84,16.7,18.68,0.34,1.3,1.3,4.26,7.22,8.22,13.22,13.22,17.08,19.06,0.34,1.3,2.3,7.22,7.22,8.22,13.22,13.22,16.2,18.18,0.34,1.3,2.3,7.22,7.22,8.22,13.22,14.2,16.2,18.18,1.3,2.3,5.26,7.22,7.22,9.22,13.22,14.2,16.2,18.18
