,Branch length stretch,date,numdate
A.AbuDhabi/390121/2021|EPI_ISL_1040050|2021-01-15,9.999999959828272e-07,2021-01-15,2021.0555544897584
A//Romania/256564/2020|EPI_ISL_468317|2020-01-17,0.9983025351613655,2020-01-17,2020.0717422594091
A/Aberdare/6417/2019|EPI_ISL_398668|2019-11-19,0.6275466669380559,2019-11-19,2019.911271854386
A/Abergele/9987/2022|EPI_ISL_11403528|2022-03-15,9.999999959827654e-07,2022-03-15,2022.2045767569475
A/Aberystwyth/9599/2019|EPI_ISL_413643|2019-12-11,2.0,2019-12-11,2019.9708558022426
A/AbuDhabi/01/2021|EPI_ISL_956319|2021-01-01,9.999999959827361e-07,2021-01-01,2021.0176374320315
A/AbuDhabi/1541032/2021|EPI_ISL_2800343|2021-06-02,9.999999959827793e-07,2021-06-02,2021.4293083444952
A/AbuDhabi/2375/2021|EPI_ISL_956338|2021-01-17,9.999999959827361e-07,2021-01-17,2021.060971212291
A/AbuDhabi/383196/2021|EPI_ISL_2800340|2021-02-07,9.99999995982685e-07,2021-02-07,2021.1178467988811
A/AbuDhabi/413000/2020|EPI_ISL_3372559|2021-02-10,1.7009706587811615,2021-02-10,2021.1259718822807
A/Abu_Dhabi/097/2019|EPI_ISL_404587|2019-11-26,0.8215162547830746,2019-11-26,2019.9302303832494
A/Abu_Dhabi/2210332924/2021|EPI_ISL_3534316|2021-02-07,9.99999995982756e-07,2021-02-07,2021.1178467988811
A/Abu_Dhabi/2210383196/2021/2021|EPI_ISL_3794366|2021-02-07,9.99999995982685e-07,2021-02-07,2021.1178467988811
A/Abu_Dhabi/2210622842/2021|EPI_ISL_3534317|2021-03-03,9.99999995982756e-07,2021-03-03,2021.1828474692702
A/Abu_Dhabi/2210622842/2021|EPI_ISL_3534325|2021-03-03,9.99999995982756e-07,2021-03-03,2021.1828474692702
A/Abu_Dhabi/2211541032/2021|EPI_ISL_3534318|2021-06-03,2.0,2021-06-03,2021.4320167053625
A/Abu_Dhabi/2375/2021|EPI_ISL_1064139|2021-01-17,9.999999959827361e-07,2021-01-17,2021.060971212291
A/Abu_Dhabi/240/2018|EPI_ISL_338293|2018-01-01,0.9991468327481837,2018-01-01,2018.0499505741839
A/Abu_Dhabi/3201980/2021|EPI_ISL_8808396|2021-11-16,1.6936451337874674,2021-11-16,2021.881604675553
A/Abu_Dhabi/3550471/2021|EPI_ISL_8808401|2021-12-20,2.0,2021-12-20,2021.9736889586043
A/Abu_Dhabi/390121/2021|EPI_ISL_1064136|2021-01-15,9.999999959828272e-07,2021-01-15,2021.0555544897584
A/Abu_Dhabi/390121/2021|EPI_ISL_1296360|2021-01-15,2.0,2021-01-15,2021.0555544893593
A/Al_Buraymi/6055/2019|EPI_ISL_401529|2019-10-07,0.4988539390994378,2019-10-07,2019.7948123199392
A/Alabama/08/2022|EPI_ISL_10826002|2022-01-13,1.450348926771189,2022-01-13,2022.03936671931
A/Alaska/01/2021|EPI_ISL_11105867|2021-08-20,0.4988537705331992,2021-08-20,2021.6432688841269
A/Alaska/01/2021|EPI_ISL_5069995|2021-08-20,9.999999959828556e-07,2021-08-20,2021.643268884526
A/Alaska/01/2021|EPI_ISL_9401965|2021-08-20,9.999999959828556e-07,2021-08-20,2021.643268884526
A/Alaska/03/2022|EPI_ISL_11533828|2022-02-08,9.999999959827283e-07,2022-02-08,2022.1097841126305
A/Alaska/05/2021|EPI_ISL_11958759|2021-12-22,1.2195730301492151,2021-12-22,2021.9791056811366
A/Alaska/10/2022|EPI_ISL_12716196|2022-04-08,2.0,2022-04-08,2022.2695774269375
A/Alaska/232/2015|EPI_ISL_240112|2015-09-09,9.999986949404267e-07,2015-09-09,2015.7620623949526
A/Alaska/240/2015|EPI_ISL_226836|2015-09-15,0.671866750378858,2015-09-15,2015.778312562151
A/Alba-Iulia/256557/2020|EPI_ISL_409938|2020-01-20,1.187087216557775,2020-01-20,2020.0798673432075
A/Albania/616/2021|EPI_ISL_12219341|2021-12-19,2.0,2021-12-19,2021.970980597338
A/Albania/8083/2021|EPI_ISL_12219466|2021-12-09,9.999999959827328e-07,2021-12-09,2021.9438969850748
A/Albania/8322/2021|EPI_ISL_12219460|2021-12-10,2.0,2021-12-10,2021.9466053459423
A/Albania/863/2021|EPI_ISL_12219333|2021-12-21,1.3704025564030944,2021-12-21,2021.9763973198706
A/Albania/8975/2021|EPI_ISL_12219444|2021-12-13,9.999999959826732e-07,2021-12-13,2021.95473043014
A/Albania/9695/2021|EPI_ISL_12219436|2021-12-16,0.9780011141103436,2021-12-16,2021.9628555135394
A/Albania/9980/2021|EPI_ISL_12219425|2021-12-16,2.0,2021-12-16,2021.9628555135394
A/Alberta/001/2020|EPI_ISL_411552|2020-01-07,2.0,2020-01-07,2020.044658646747
A/Alberta/111/2019|EPI_ISL_411550|2019-12-19,0.9808905094800061,2019-12-19,2019.9925226923722
A/Alberta/113/2019|EPI_ISL_411515|2019-12-30,0.9981553468830723,2019-12-30,2020.0223146663006
A/Andalucia/1514/2022|EPI_ISL_12646176|2022-03-10,0.9981540535902464,2022-03-10,2022.1910349502177
A/Anhui-Jinghu/346/2019|EPI_ISL_410592|2019-12-03,1.4833508314167663,2019-12-03,2019.949188912113
A/Antananarivo/1067/2016|EPI_ISL_300261|2016-04-05,2.0,2016-04-05,2016.328786989508
A/Arizona/08/2020|EPI_ISL_416765|2020-02-17,2.0,2020-02-17,2020.1557014586615
A/Arizona/11850/2020|EPI_ISL_435173|2020-02-04,0.6885099736955234,2020-02-04,2020.1204927622007
A/Arizona/12633/2022|EPI_ISL_12422429|2022-02-10,2.0,2022-02-10,2022.1152008347638
A/Arizona/14/2022|EPI_ISL_11959118|2022-03-05,1.0380969277263399,2022-03-05,2022.1774931438865
A/Arizona/67/2016|EPI_ISL_287721|2016-05-04,0.6153324251986315,2016-05-04,2016.407329466228
A/Arkansas/10/2022|EPI_ISL_12713561|2022-04-05,2.0,2022-04-05,2022.2614523431391
A/Arkansas/11/2022|EPI_ISL_12713977|2022-04-06,0.5469975414470358,2022-04-06,2022.2641607044052
A/Armenia/19/2022|EPI_ISL_9842647|2022-01-05,2.0,2022-01-05,2022.0176998291802
A/Armenia/897/2021|EPI_ISL_9627674|2021-12-28,0.5365081093271815,2021-12-28,2021.995355848734
A/Arsal/5767/2021|EPI_ISL_6075501|2021-09-13,9.999999959827654e-07,2021-09-13,2021.7082695549148
A/Arsal/5772/2021|EPI_ISL_6075499|2021-09-13,0.9983029858270585,2021-09-13,2021.7082695545157
A/Arsal/5773/2021|EPI_ISL_6075498|2021-09-13,9.999999959827654e-07,2021-09-13,2021.7082695549148
A/Astrakhan/01/2021|EPI_ISL_9593251|2021-11-03,1.0342048190803181,2021-11-03,2021.8463959790924
A/Asturias/9911/2021|EPI_ISL_7973310|2021-11-23,1.0931988424808474,2021-11-23,2021.9005632044166
A/Athens.GR/1952/2019|EPI_ISL_407445|2019-11-22,0.9932184162191863,2019-11-22,2019.9193969381847
A/Austria/1204623/2019|EPI_ISL_409943|2019-12-02,0.9983027082226208,2019-12-02,2019.946480550847
A/Avignon/1286/2020|EPI_ISL_498289|2020-02-17,1.016139951949334,2020-02-17,2020.1557014586615
A/Ayutthaya/56/2020|EPI_ISL_1296342|2020-11-09,9.999999959831234e-07,2020-11-09,2020.876125555872
A/Ayutthaya/56/2020|EPI_ISL_1367581|2020-11-09,9.999999959831234e-07,2020-11-09,2020.876125555872
A/Ayutthaya/60/2020|EPI_ISL_1367568|2020-11-10,2.0,2020-11-10,2020.8788339167393
A/Ayutthaya/61/2020|EPI_ISL_1296327|2020-11-10,9.999999959830845e-07,2020-11-10,2020.8788339171383
A/Baabda/5555/2021|EPI_ISL_6915271|2021-09-01,9.999999959827368e-07,2021-09-01,2021.6757692197202
A/Baden-Wuerttemberg/310/2019|EPI_ISL_401784|2019-10-16,0.5846178176457317,2019-10-16,2019.8191875713349
A/Baden-Wurttemberg/2/2021|EPI_ISL_12219532|2021-12-27,0.48759111359669144,2021-12-27,2021.9926474874676
A/Bahrain/1344/2021|EPI_ISL_1296354|2021-01-10,9.999999959828016e-07,2021-01-10,2021.0420126834274
A/Bahrain/4981/2021|EPI_ISL_1064127|2021-01-12,9.999999959828016e-07,2021-01-12,2021.0474294059597
A/Bahrain/5753/2021|EPI_ISL_10826402|2021-10-13,2.0,2021-10-13,2021.789520392502
A/Bahrain/805/2019|EPI_ISL_412138|2019-12-02,2.0,2019-12-02,2019.946480550847
A/Bahrain/808/2019|EPI_ISL_412137|2019-12-03,1.0062504805493724,2019-12-03,2019.949188912113
A/Bahrain/872/2019|EPI_ISL_412133|2019-12-22,0.9991509377445823,2019-12-22,2020.000647776171
A/Bahrain/885/2019|EPI_ISL_491770|2019-12-25,1.2596348706343874,2019-12-25,2020.0087728599697
A/Bahrain/9211/2021|EPI_ISL_1064138|2021-01-14,2.0,2021-01-14,2021.0528461280933
A/Baleares/9228/2021|EPI_ISL_5142467|2021-09-22,9.999999959828352e-07,2021-09-22,2021.7326448063106
A/Baleares/9228/2021|EPI_ISL_8808677|2021-09-22,9.999999959828352e-07,2021-09-22,2021.7326448063106
A/Bangkok/57/2020|EPI_ISL_1296363|2020-11-10,9.999999959830589e-07,2020-11-10,2020.8788339171383
A/Bangkok/57/2020|EPI_ISL_1367580|2020-11-10,9.999999959830589e-07,2020-11-10,2020.8788339171383
A/Bangkok/58/2020|EPI_ISL_1296340|2020-11-10,9.999999959830377e-07,2020-11-10,2020.8788339171383
A/Bangkok/58/2020|EPI_ISL_1367583|2020-11-10,9.999999959830377e-07,2020-11-10,2020.8788339171383
A/Bangkok/59/2020|EPI_ISL_1296328|2020-11-11,9.999999959830845e-07,2020-11-11,2020.8815422784044
A/Bangkok/59/2020|EPI_ISL_1367579|2020-11-11,9.999999959830845e-07,2020-11-11,2020.8815422784044
A/Bangkok/62/2020|EPI_ISL_1367582|2020-11-11,2.0,2020-11-11,2020.8815422780053
A/Bangladesh/0002/2020|EPI_ISL_882852|2020-09-03,1.2258213649266905,2020-09-03,2020.694665350637
A/Bangladesh/0004/2020|EPI_ISL_882853|2020-09-06,1.0000004296636962e-06,2020-09-06,2020.7027904348345
A/Bangladesh/1001/2020|EPI_ISL_717679|2020-09-05,1.0000004296636962e-06,2020-09-05,2020.7000820735684
A/Bangladesh/1002/2020|EPI_ISL_717684|2020-10-05,1.0000004296636797e-06,2020-10-05,2020.7813329115547
A/Bangladesh/1002/2020|EPI_ISL_965039|2020-10-05,1.0000004296636797e-06,2020-10-05,2020.7813329115547
A/Bangladesh/1004005/2020|EPI_ISL_1015485|2020-10-06,2.0,2020-10-06,2020.784041272422
A/Bangladesh/1005/2020|EPI_ISL_882815|2020-09-28,0.9983020468152828,2020-09-28,2020.7623743822921
A/Bangladesh/1010007/2020|EPI_ISL_717673|2020-10-07,0.9942042003479061,2020-10-07,2020.7867496336883
A/Bangladesh/1010009/2020|EPI_ISL_717683|2020-10-10,1.0000004296636962e-06,2020-10-10,2020.794874717886
A/Bangladesh/1010009/2020|EPI_ISL_965040|2020-10-10,1.0000004296636962e-06,2020-10-10,2020.794874717886
A/Bangladesh/1011/2020|EPI_ISL_882809|2020-10-05,1.0000004296636962e-06,2020-10-05,2020.7813329115547
A/Bangladesh/1014/2020|EPI_ISL_882870|2020-10-28,2.0,2020-10-28,2020.8436252202785
A/Bangladesh/1200913016_/2020|EPI_ISL_882866|2020-09-15,1.0000004296636962e-06,2020-09-15,2020.7271656862306
A/Bangladesh/1201012002/2020|EPI_ISL_766852|2020-10-03,1.0000004296636962e-06,2020-10-03,2020.7759161890224
A/Bangladesh/1201012002/2020|EPI_ISL_882878|2020-10-03,1.0000004296636962e-06,2020-10-03,2020.7759161890224
A/Bangladesh/1201012021/2020|EPI_ISL_882859|2020-10-27,9.999999959828365e-07,2020-10-27,2020.8409168594112
A/Bangladesh/1478/2020|EPI_ISL_882824|2020-10-21,1.0000004296636962e-06,2020-10-21,2020.8246666918142
A/Bangladesh/18-1005/2019|EPI_ISL_491803|2019-10-06,1.0000004296637892e-06,2019-10-06,2019.7921039590717
A/Bangladesh/1817/2020|EPI_ISL_882829|2020-10-06,0.999660023923721,2020-10-06,2020.784041272422
A/Bangladesh/1928/2020|EPI_ISL_882830|2020-10-05,2.0,2020-10-05,2020.7813329111557
A/Bangladesh/1937/2020|EPI_ISL_882821|2020-10-19,0.9983020461900688,2020-10-19,2020.8192499688826
A/Bangladesh/2002/2020|EPI_ISL_717682|2020-10-01,1.0000004296636962e-06,2020-10-01,2020.7704994664898
A/Bangladesh/2002/2020|EPI_ISL_959652|2020-10-01,1.0000004296636962e-06,2020-10-01,2020.7704994664898
A/Bangladesh/2004/2020|EPI_ISL_717685|2020-10-04,1.0000004296636962e-06,2020-10-04,2020.7786245502884
A/Bangladesh/2004/2020|EPI_ISL_959653|2020-10-04,1.0000004296636962e-06,2020-10-04,2020.7786245502884
A/Bangladesh/2004/2020|EPI_ISL_965042|2020-10-04,1.0000004296636962e-06,2020-10-04,2020.7786245502884
A/Bangladesh/2010/2020|EPI_ISL_882858|2020-10-20,0.998301856456151,2020-10-20,2020.8219583301488
A/Bangladesh/3004/2020|EPI_ISL_717690|2020-10-04,1.0000004296636962e-06,2020-10-04,2020.7786245502884
A/Bangladesh/3004/2020|EPI_ISL_882873|2020-10-04,1.0000004296636962e-06,2020-10-04,2020.7786245502884
A/Bangladesh/3011/2020|EPI_ISL_717680|2020-09-23,1.0000004296636962e-06,2020-09-23,2020.7488325763602
A/Bangladesh/3201003001/2020|EPI_ISL_882854|2020-10-01,1.0000004296636962e-06,2020-10-01,2020.7704994664898
A/Bangladesh/4002/2020|EPI_ISL_717689|2020-10-05,1.0000004296637254e-06,2020-10-05,2020.7813329115547
A/Bangladesh/4002/2020|EPI_ISL_882874|2020-10-05,1.0000004296637254e-06,2020-10-05,2020.7813329115547
A/Bangladesh/4002/2020|EPI_ISL_968666|2020-10-05,0.3220505492415292,2020-10-05,2020.7813329111557
A/Bangladesh/4005/2020|EPI_ISL_959654|2020-10-04,1.0000004296636962e-06,2020-10-04,2020.7786245502884
A/Bangladesh/4006/2020|EPI_ISL_882838|2020-10-18,0.9981541238200551,2020-10-18,2020.8165416076165
A/Bangladesh/9019/2021|EPI_ISL_9388970|2021-09-20,0.9244491792392655,2021-09-20,2021.7272280833793
A/Bangladesh/911009/2020|EPI_ISL_2932737|2020-09-03,1.0000004296636962e-06,2020-09-03,2020.694665351036
A/Bazoureyeh.LBN/7037/2021|EPI_ISL_8576440|2021-11-11,0.9977868227409329,2021-11-11,2021.868062869222
A/Beijing-Miyun/51/2020|EPI_ISL_528884|2020-01-08,2.0,2020-01-08,2020.047367008013
A/Beijing-Miyun/53/2020|EPI_ISL_528886|2020-01-09,0.32497789777559,2020-01-09,2020.0500753692793
A/Beijing-Miyun/54/2020|EPI_ISL_485909|2020-01-02,0.6288286479170709,2020-01-02,2020.031116840416
A/Beirut/5509/2021|EPI_ISL_6915274|2021-09-01,9.999999959827368e-07,2021-09-01,2021.6757692197202
A/Beirut/5517/2021|EPI_ISL_6915273|2021-09-01,2.0,2021-09-01,2021.6757692193214
A/Belgium/G0048/2020|EPI_ISL_477401|2020-01-07,2.0,2020-01-07,2020.044658646747
A/Belgium/G0082/2020|EPI_ISL_477407|2020-01-20,2.0,2020-01-20,2020.0798673432075
A/Belgium/G0111/2020|EPI_ISL_477410|2020-01-25,0.4988544811815435,2020-01-25,2020.0934091495387
A/Belgium/G0214/2020|EPI_ISL_477418|2020-02-05,0.998272065614583,2020-02-05,2020.123201123467
A/Belgium/G0528/2019|EPI_ISL_406325|2019-12-19,0.6669740316379661,2019-12-19,2019.9925226923722
A/Belgium/H0007/2021|EPI_ISL_12240109|2021-08-06,9.999999959827321e-07,2021-08-06,2021.6053518267988
A/Belgium/IS0529/2020|EPI_ISL_2484034|2020-01-26,2.0,2020-01-26,2020.0961175108048
A/Belgium/S0571/2020|EPI_ISL_485723|2020-02-03,0.9025734554641208,2020-02-03,2020.1177844009344
A/Belgium/S0710/2020|EPI_ISL_477471|2020-02-08,1.1077218103598958,2020-02-08,2020.1313262072656
A/Berlin/1/2021|EPI_ISL_9250432|2021-09-16,0.4877447576499274,2021-09-16,2021.7163946383143
A/Berlin/18/2020|EPI_ISL_410980|2020-01-28,0.9981553342190369,2020-01-28,2020.1015342333374
A/Berlin/27/2020|EPI_ISL_413440|2020-01-30,2.0,2020-01-30,2020.1069509558697
A/Boras/2/2022|EPI_ISL_9208233|2022-01-03,9.999999959827654e-07,2022-01-03,2022.0122831070469
A/Bosnia_and_Herzegovina/101/2021|EPI_ISL_12219614|2021-12-28,1.3634213611565562,2021-12-28,2021.995355848734
A/Bourgogne/1249/2020|EPI_ISL_462108|2020-02-17,1.0565305087560042,2020-02-17,2020.1557014586615
A/Brandenburg/9/2020|EPI_ISL_434392|2020-02-23,0.5202793055365447,2020-02-23,2020.1719516262588
A/Bremen/24/2019|EPI_ISL_401782|2019-10-02,2.0,2019-10-02,2019.781270513608
A/Brest/2522/2019|EPI_ISL_400340|2019-11-18,1.0000004296638889e-06,2019-11-18,2019.9085634935188
A/Bretagne/1413/2017|EPI_ISL_283128|2017-10-09,0.5218215891251623,2017-10-09,2017.8217711375057
A/Bretagne/18379/2022|EPI_ISL_11814499|2022-03-07,1.0018677757783752,2022-03-07,2022.1829098664189
A/Brisbane/01/2018|EPI_ISL_313657|2018-01-02,0.8823597401312633,2018-01-02,2018.0526589354502
A/Brisbane/117/2018|EPI_ISL_396195|2018-07-27,2.0,2018-07-27,2018.6105813562892
A/Brisbane/318/2016|EPI_ISL_269294|2016-12-12,2.0,2016-12-12,2017.0085856673265
A/Brisbane/321/2016|EPI_ISL_275804|2016-01-01,0.3518726955829711,2016-01-01,2016.071492669218
A/British_Columbia/019/2020|EPI_ISL_411568|2020-01-14,2.0,2020-01-14,2020.0636171756103
A/British_Columbia/17/2021|EPI_ISL_11041941|2021-12-16,1.1678171880652863,2021-12-16,2021.9628555135394
A/British_Columbia/22/2021|EPI_ISL_11041946|2021-12-22,9.999999959828352e-07,2021-12-22,2021.9791056815357
A/British_Columbia/24/2021|EPI_ISL_11041948|2021-12-25,9.999999959827283e-07,2021-12-25,2021.9872307653343
A/Bulgaria/1051/2020|EPI_ISL_609911|2020-02-21,2.0,2020-02-21,2020.1665349037262
A/California/01/2021|EPI_ISL_4373604|2021-08-09,9.999999959827925e-07,2021-08-09,2021.6134769105975
A/California/01/2021|EPI_ISL_4373641|2021-08-09,9.999999959827925e-07,2021-08-09,2021.6134769105975
A/California/05/2021|EPI_ISL_7256265|2021-10-21,0.5518401873419312,2021-10-21,2021.8111872826316
A/California/07/2020|EPI_ISL_409386|2020-01-06,0.8351226910423712,2020-01-06,2020.0419502854807
