positive_rate,year,temp,humid,ab_humid,"theta=0.1,h=0","theta=0.1,h=1","theta=0.1,h=2","theta=0.1,h=3","theta=0.1,h=4","theta=0.1,h=5","theta=0.1,h=6","theta=0.1,h=7","theta=0.1,h=8","theta=0.1,h=9","theta=0.2,h=0","theta=0.2,h=1","theta=0.2,h=2","theta=0.2,h=3","theta=0.2,h=4","theta=0.2,h=5","theta=0.2,h=6","theta=0.2,h=7","theta=0.2,h=8","theta=0.2,h=9","theta=0.3,h=0","theta=0.3,h=1","theta=0.3,h=2","theta=0.3,h=3","theta=0.3,h=4","theta=0.3,h=5","theta=0.3,h=6","theta=0.3,h=7","theta=0.3,h=8","theta=0.3,h=9","theta=0.4,h=0","theta=0.4,h=1","theta=0.4,h=2","theta=0.4,h=3","theta=0.4,h=4","theta=0.4,h=5","theta=0.4,h=6","theta=0.4,h=7","theta=0.4,h=8","theta=0.4,h=9","theta=0.5,h=0","theta=0.5,h=1","theta=0.5,h=2","theta=0.5,h=3","theta=0.5,h=4","theta=0.5,h=5","theta=0.5,h=6","theta=0.5,h=7","theta=0.5,h=8","theta=0.5,h=9","theta=0.6,h=0","theta=0.6,h=1","theta=0.6,h=2","theta=0.6,h=3","theta=0.6,h=4","theta=0.6,h=5","theta=0.6,h=6","theta=0.6,h=7","theta=0.6,h=8","theta=0.6,h=9","theta=0.7,h=0","theta=0.7,h=1","theta=0.7,h=2","theta=0.7,h=3","theta=0.7,h=4","theta=0.7,h=5","theta=0.7,h=6","theta=0.7,h=7","theta=0.7,h=8","theta=0.7,h=9","theta=0.8,h=0","theta=0.8,h=1","theta=0.8,h=2","theta=0.8,h=3","theta=0.8,h=4","theta=0.8,h=5","theta=0.8,h=6","theta=0.8,h=7","theta=0.8,h=8","theta=0.8,h=9","theta=0.9,h=0","theta=0.9,h=1","theta=0.9,h=2","theta=0.9,h=3","theta=0.9,h=4","theta=0.9,h=5","theta=0.9,h=6","theta=0.9,h=7","theta=0.9,h=8","theta=0.9,h=9","theta=0.1,h=0","theta=0.1,h=1","theta=0.1,h=2","theta=0.1,h=3","theta=0.1,h=4","theta=0.1,h=5","theta=0.1,h=6","theta=0.1,h=7","theta=0.1,h=8","theta=0.1,h=9","theta=0.2,h=0","theta=0.2,h=1","theta=0.2,h=2","theta=0.2,h=3","theta=0.2,h=4","theta=0.2,h=5","theta=0.2,h=6","theta=0.2,h=7","theta=0.2,h=8","theta=0.2,h=9","theta=0.3,h=0","theta=0.3,h=1","theta=0.3,h=2","theta=0.3,h=3","theta=0.3,h=4","theta=0.3,h=5","theta=0.3,h=6","theta=0.3,h=7","theta=0.3,h=8","theta=0.3,h=9","theta=0.4,h=0","theta=0.4,h=1","theta=0.4,h=2","theta=0.4,h=3","theta=0.4,h=4","theta=0.4,h=5","theta=0.4,h=6","theta=0.4,h=7","theta=0.4,h=8","theta=0.4,h=9","theta=0.5,h=0","theta=0.5,h=1","theta=0.5,h=2","theta=0.5,h=3","theta=0.5,h=4","theta=0.5,h=5","theta=0.5,h=6","theta=0.5,h=7","theta=0.5,h=8","theta=0.5,h=9","theta=0.6,h=0","theta=0.6,h=1","theta=0.6,h=2","theta=0.6,h=3","theta=0.6,h=4","theta=0.6,h=5","theta=0.6,h=6","theta=0.6,h=7","theta=0.6,h=8","theta=0.6,h=9","theta=0.7,h=0","theta=0.7,h=1","theta=0.7,h=2","theta=0.7,h=3","theta=0.7,h=4","theta=0.7,h=5","theta=0.7,h=6","theta=0.7,h=7","theta=0.7,h=8","theta=0.7,h=9","theta=0.8,h=0","theta=0.8,h=1","theta=0.8,h=2","theta=0.8,h=3","theta=0.8,h=4","theta=0.8,h=5","theta=0.8,h=6","theta=0.8,h=7","theta=0.8,h=8","theta=0.8,h=9","theta=0.9,h=0","theta=0.9,h=1","theta=0.9,h=2","theta=0.9,h=3","theta=0.9,h=4","theta=0.9,h=5","theta=0.9,h=6","theta=0.9,h=7","theta=0.9,h=8","theta=0.9,h=9"
8.037524908,2005,23.3,79,16.556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.494907661,2006,23.5,80,16.958,2.80952415,2.80952415,2.80952415,2.80952415,2.80952415,2.80952415,2.80952415,2.80952415,2.80952415,2.80952415,1.47619055,1.47619055,1.47619055,1.47619055,1.47619055,1.47619055,1.47619055,1.47619055,1.47619055,1.47619055,1.3333334,1.3333334,1.3333334,1.3333334,1.3333334,1.3333334,1.3333334,1.3333334,1.3333334,1.3333334,1.3333334,1.3333334,1.3333334,1.3333334,1.3333334,1.3333334,1.3333334,1.3333334,1.3333334,1.3333334,1.3333334,1.3333334,1.3333334,1.3333334,1.3333334,1.3333334,1.3333334,1.3333334,1.3333334,1.3333334,0.3333334,0.3333334,0.3333334,0.3333334,0.3333334,0.3333334,0.3333334,0.3333334,0.3333334,0.3333334,0.3333334,0.3333334,0.3333334,0.3333334,0.3333334,0.3333334,0.3333334,0.3333334,0.3333334,0.3333334,0.3333334,0.3333334,0.3333334,0.3333334,0.3333334,0.3333334,0.3333334,0.3333334,0.3333334,0.3333334,0.1666667,0.1666667,0.1666667,0.1666667,0.1666667,0.1666667,0.1666667,0.1666667,0.1666667,0.1666667,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
8.077209401,2007,23.7,77,16.509,4.9999999,6.4285713,6.4285713,6.4285713,6.4285713,6.4285713,6.4285713,6.4285713,6.4285713,6.4285713,6,6,6,6,6,6,6,6,6,6,4.8571428,4.8571428,4.8571428,4.8571428,4.8571428,4.8571428,4.8571428,4.8571428,4.8571428,4.8571428,4.8571428,4.8571428,4.8571428,4.8571428,4.8571428,4.8571428,4.8571428,4.8571428,4.8571428,4.8571428,4.8571428,4.8571428,4.8571428,4.8571428,4.8571428,4.8571428,4.8571428,4.8571428,4.8571428,4.8571428,4.8571428,4.8571428,4.8571428,4.8571428,4.8571428,4.8571428,4.8571428,4.8571428,4.8571428,4.8571428,4.8571428,4.8571428,4.8571428,4.8571428,4.8571428,4.8571428,4.8571428,4.8571428,4.8571428,4.8571428,4.7142857,4.7142857,4.7142857,4.7142857,4.7142857,4.7142857,4.7142857,4.7142857,4.7142857,4.7142857,4.5714286,4.5714286,4.5714286,4.5714286,4.5714286,4.5714286,4.5714286,4.5714286,4.5714286,4.5714286,13,14,14,14,14,14,14,14,14,14,13,14,14,14,14,14,14,14,14,14,13,14,14,14,14,14,14,14,14,14,13,14,14,14,14,14,14,14,14,14,13,14,14,14,14,14,14,14,14,14,10.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,10.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,10.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,10.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5
3.726306056,2008,23.1,77,15.954,56.0434755,59.0434755,60.08695381,60.08695381,60.08695381,60.08695381,60.08695381,60.08695381,60.08695381,60.08695381,57.31883783,59.72463503,59.72463503,59.72463503,59.72463503,59.72463503,59.72463503,59.72463503,59.72463503,59.72463503,57.3913016,59.3913016,59.3913016,59.3913016,59.3913016,59.3913016,59.3913016,59.3913016,59.3913016,59.3913016,57.3913016,59.3913016,59.3913016,59.3913016,59.3913016,59.3913016,59.3913016,59.3913016,59.3913016,59.3913016,57.3913016,59.3913016,59.3913016,59.3913016,59.3913016,59.3913016,59.3913016,59.3913016,59.3913016,59.3913016,57.3913016,59.3913016,59.3913016,59.3913016,59.3913016,59.3913016,59.3913016,59.3913016,59.3913016,59.3913016,57.3913016,59.3913016,59.3913016,59.3913016,59.3913016,59.3913016,59.3913016,59.3913016,59.3913016,59.3913016,2.56521738,4.56521738,4.56521738,4.56521738,4.56521738,4.56521738,4.56521738,4.56521738,4.56521738,4.56521738,0.08695652,2.08695652,2.08695652,2.08695652,2.08695652,2.08695652,2.08695652,2.08695652,2.08695652,2.08695652,1,12,13,13,13,13,13,13,13,13,1,12,13,13,13,13,13,13,13,13,1,12,13,13,13,13,13,13,13,13,1,12,13,13,13,13,13,13,13,13,1,12,13,13,13,13,13,13,13,13,2,12,13,13,13,13,13,13,13,13,2,12,13,13,13,13,13,13,13,13,2,12,13,13,13,13,13,13,13,13,2,12,13,13,13,13,13,13,13,13
4.781594401,2009,23.5,77,16.322,4.932404858,4.932404858,7.907611468,8.907611468,8.907611468,8.907611468,8.907611468,8.907611468,8.907611468,8.907611468,4.472868248,4.472868248,8.448074858,8.448074858,8.448074858,8.448074858,8.448074858,8.448074858,8.448074858,8.448074858,6.472868248,6.472868248,8.448074858,8.448074858,8.448074858,8.448074858,8.448074858,8.448074858,8.448074858,8.448074858,6.472868248,6.472868248,8.448074858,8.448074858,8.448074858,8.448074858,8.448074858,8.448074858,8.448074858,8.448074858,6.472868248,6.472868248,8.448074858,8.448074858,8.448074858,8.448074858,8.448074858,8.448074858,8.448074858,8.448074858,6.472868248,6.472868248,8.448074858,8.448074858,8.448074858,8.448074858,8.448074858,8.448074858,8.448074858,8.448074858,6.46511631,6.46511631,8.44032292,8.44032292,8.44032292,8.44032292,8.44032292,8.44032292,8.44032292,8.44032292,5.72093023,5.72093023,7.69613684,7.69613684,7.69613684,7.69613684,7.69613684,7.69613684,7.69613684,7.69613684,4.0620155,4.0620155,6.03722211,6.03722211,6.03722211,6.03722211,6.03722211,6.03722211,6.03722211,6.03722211,2.90909083,3.90909083,13.86363628,14.86363628,14.86363628,14.86363628,14.86363628,14.86363628,14.86363628,14.86363628,2.66666663,3.66666663,13.62121208,14.62121208,14.62121208,14.62121208,14.62121208,14.62121208,14.62121208,14.62121208,2.62121208,3.62121208,13.57575753,14.57575753,14.57575753,14.57575753,14.57575753,14.57575753,14.57575753,14.57575753,2.62121208,3.62121208,13.57575753,14.57575753,14.57575753,14.57575753,14.57575753,14.57575753,14.57575753,14.57575753,2.62121208,3.62121208,13.57575753,14.57575753,14.57575753,14.57575753,14.57575753,14.57575753,14.57575753,14.57575753,2.62121208,3.62121208,13.57575753,14.57575753,14.57575753,14.57575753,14.57575753,14.57575753,14.57575753,14.57575753,1.98484848,2.98484848,12.93939393,13.93939393,13.93939393,13.93939393,13.93939393,13.93939393,13.93939393,13.93939393,1.98484848,2.98484848,12.93939393,13.93939393,13.93939393,13.93939393,13.93939393,13.93939393,13.93939393,13.93939393,1.98484848,2.98484848,12.93939393,13.93939393,13.93939393,13.93939393,13.93939393,13.93939393,13.93939393,13.93939393
5.657740039,2010,23.2,80,16.671,2.54716988,5.71698118,5.71698118,8.71698118,9.64150948,9.64150948,9.64150948,9.64150948,9.64150948,9.64150948,2.98113208,4.98113208,4.98113208,8.90566038,8.90566038,8.90566038,8.90566038,8.90566038,8.90566038,8.90566038,2.98113208,6.98113208,6.98113208,8.98113208,8.98113208,8.98113208,8.98113208,8.98113208,8.98113208,8.98113208,2.98113208,6.98113208,6.98113208,8.98113208,8.98113208,8.98113208,8.98113208,8.98113208,8.98113208,8.98113208,2.98113208,6.98113208,6.98113208,8.98113208,8.98113208,8.98113208,8.98113208,8.98113208,8.98113208,8.98113208,2.98113208,6.98113208,6.98113208,8.98113208,8.98113208,8.98113208,8.98113208,8.98113208,8.98113208,8.98113208,1.6981132,5.6981132,5.6981132,7.6981132,7.6981132,7.6981132,7.6981132,7.6981132,7.6981132,7.6981132,0.9811321,4.9811321,4.9811321,6.9811321,6.9811321,6.9811321,6.9811321,6.9811321,6.9811321,6.9811321,0.9811321,4.9811321,4.9811321,6.9811321,6.9811321,6.9811321,6.9811321,6.9811321,6.9811321,6.9811321,3.48,5.2,6.2,16,17,17,17,17,17,17,3,4.72,5.72,15.52,16.52,16.52,16.52,16.52,16.52,16.52,2.6,4.32,5.32,15.12,16.12,16.12,16.12,16.12,16.12,16.12,2.6,4.32,5.32,15.12,16.12,16.12,16.12,16.12,16.12,16.12,2.6,4.32,5.32,15.12,16.12,16.12,16.12,16.12,16.12,16.12,2.6,4.32,5.32,15.12,16.12,16.12,16.12,16.12,16.12,16.12,2.6,4.32,5.32,15.12,16.12,16.12,16.12,16.12,16.12,16.12,2.6,3.6,4.6,14.4,15.4,15.4,15.4,15.4,15.4,15.4,2.6,3.6,4.6,13.6,14.6,14.6,14.6,14.6,14.6,14.6
2.132537688,2011,23,76,15.657,5.07692338,5.69230798,8.69230798,8.69230798,11.69230798,12.69230798,12.69230798,12.69230798,12.69230798,12.69230798,4.5384617,6.0000001,8.0000001,8.0000001,12.0000001,12.0000001,12.0000001,12.0000001,12.0000001,12.0000001,4.5384617,5.5384617,9.5384617,9.5384617,11.5384617,11.5384617,11.5384617,11.5384617,11.5384617,11.5384617,4.5384617,5.5384617,9.5384617,9.5384617,11.5384617,11.5384617,11.5384617,11.5384617,11.5384617,11.5384617,4.5384617,5.5384617,9.5384617,9.5384617,11.5384617,11.5384617,11.5384617,11.5384617,11.5384617,11.5384617,4.5384617,5.5384617,9.5384617,9.5384617,11.5384617,11.5384617,11.5384617,11.5384617,11.5384617,11.5384617,4.5384617,5.5384617,9.5384617,9.5384617,11.5384617,11.5384617,11.5384617,11.5384617,11.5384617,11.5384617,4.5384617,5.5384617,9.5384617,9.5384617,11.5384617,11.5384617,11.5384617,11.5384617,11.5384617,11.5384617,5.5384617,5.5384617,9.5384617,9.5384617,11.5384617,11.5384617,11.5384617,11.5384617,11.5384617,11.5384617,3.0833335,6.0833335,7.50000017,8.50000017,17.58333347,18.58333347,18.58333347,18.58333347,18.58333347,18.58333347,2.0833333,5.0833333,6.49999997,7.49999997,16.58333327,17.58333327,17.58333327,17.58333327,17.58333327,17.58333327,2.0833333,5.0833333,6.49999997,7.49999997,16.58333327,17.58333327,17.58333327,17.58333327,17.58333327,17.58333327,2.0833333,5.0833333,6.49999997,7.49999997,16.58333327,17.58333327,17.58333327,17.58333327,17.58333327,17.58333327,2.0833333,5.0833333,6.0833333,7.0833333,15.7499999,16.7499999,16.7499999,16.7499999,16.7499999,16.7499999,2.0833333,5.0833333,6.0833333,7.0833333,15.7499999,16.7499999,16.7499999,16.7499999,16.7499999,16.7499999,2.0833333,5.0833333,6.0833333,7.0833333,15.7499999,16.7499999,16.7499999,16.7499999,16.7499999,16.7499999,2.0833333,5.0833333,6.0833333,7.0833333,15.7499999,16.7499999,16.7499999,16.7499999,16.7499999,16.7499999,5.0833333,5.0833333,6.0833333,7.0833333,13.0833333,14.0833333,14.0833333,14.0833333,14.0833333,14.0833333
10.42128097,2012,23.4,81,17.073,0.9861111,8.8861111,8.8861111,11.8861111,11.8861111,14.8861111,15.8861111,15.8861111,15.8861111,15.8861111,1.65,8.55,9.55,11.55,11.55,15.55,15.55,15.55,15.55,15.55,1.45,8.35,9.35,13.35,13.35,15.35,15.35,15.35,15.35,15.35,3.45,8.35,9.35,13.35,13.35,15.35,15.35,15.35,15.35,15.35,3.1,8,9,13,13,15,15,15,15,15,3.1,8,9,13,13,15,15,15,15,15,4.1,8,9,13,13,15,15,15,15,15,8,8,9,13,13,15,15,15,15,15,8,9,9,13,13,15,15,15,15,15,0.625,3.625,6.625,8.125,9.125,18.125,19.125,19.125,19.125,19.125,0,3,6,7.5,8.5,17.5,18.5,18.5,18.5,18.5,0,3,6,7.5,8.5,17.5,18.5,18.5,18.5,18.5,0,3,6,7.5,8.5,17.5,18.5,18.5,18.5,18.5,0,3,6,7,8,17,18,18,18,18,1,3,6,7,8,17,18,18,18,18,1,3,6,7,8,17,18,18,18,18,3,3,6,7,8,17,18,18,18,18,3,6,6,7,8,14,15,15,15,15
3.678158553,2013,23.3,78,16.347,0.8045977,1.7011495,9.5632185,9.5632185,12.5632185,12.5632185,15.5632185,16.5632185,16.5632185,16.5632185,1.14942536,2.59770126,9.45977026,10.45977026,12.45977026,12.45977026,16.45977026,16.45977026,16.45977026,16.45977026,1.31198696,2.31198696,9.17405596,10.17405596,14.17405596,14.17405596,16.17405596,16.17405596,16.17405596,16.17405596,1.31198696,4.31198696,9.17405596,10.17405596,14.17405596,14.17405596,16.17405596,16.17405596,16.17405596,16.17405596,0.41543516,3.41543516,8.27750416,9.27750416,13.27750416,13.27750416,15.27750416,15.27750416,15.27750416,15.27750416,0.41543516,3.41543516,8.27750416,9.27750416,13.27750416,13.27750416,15.27750416,15.27750416,15.27750416,15.27750416,0.41543516,4.41543516,8.27750416,9.27750416,13.27750416,13.27750416,15.27750416,15.27750416,15.27750416,15.27750416,0.41543516,8.27750416,8.27750416,9.27750416,13.27750416,13.27750416,15.27750416,15.27750416,15.27750416,15.27750416,0.41543516,7.41543516,8.41543516,8.41543516,12.41543516,12.41543516,14.41543516,14.41543516,14.41543516,14.41543516,1.21052636,1.21052636,4.15789478,7.15789478,8.84210531,9.84210531,18.78947373,19.78947373,19.78947373,19.78947373,1.10526316,1.10526316,4.05263158,7.05263158,8.73684211,9.73684211,18.68421053,19.68421053,19.68421053,19.68421053,0.84210526,0.84210526,3.78947368,6.78947368,8.47368421,9.47368421,18.42105263,19.42105263,19.42105263,19.42105263,0.84210526,0.84210526,3.78947368,6.78947368,8.47368421,9.47368421,18.42105263,19.42105263,19.42105263,19.42105263,0.84210526,0.84210526,3.78947368,6.78947368,7.78947368,8.78947368,17.7368421,18.7368421,18.7368421,18.7368421,0.78947368,1.7368421,3.7368421,6.7368421,7.7368421,8.7368421,17.68421052,18.68421052,18.68421052,18.68421052,0.78947368,1.7368421,3.7368421,6.7368421,7.7368421,8.7368421,17.68421052,18.68421052,18.68421052,18.68421052,0.78947368,3.7368421,3.7368421,6.7368421,7.7368421,8.7368421,17.68421052,18.68421052,18.68421052,18.68421052,0.78947368,3.7368421,6.7368421,6.7368421,7.7368421,8.7368421,14.7368421,15.7368421,15.7368421,15.7368421
3.75325356,2014,23.5,78,16.534,3.769231,4.4038464,5.11538485,13.019231,13.019231,15.98076946,15.98076946,18.98076946,19.98076946,19.98076946,4.57692331,5.55769256,6.90384639,13.82692331,14.82692331,16.78846177,16.78846177,20.78846177,20.78846177,20.78846177,3.73076933,5.07692318,6.05769241,12.98076933,13.98076933,17.94230779,17.94230779,19.94230779,19.94230779,19.94230779,4.36538473,4.36538473,7.34615396,12.26923088,13.26923088,17.23076934,17.23076934,19.23076934,19.23076934,19.23076934,4.36538473,4.36538473,7.34615396,12.26923088,13.26923088,17.23076934,17.23076934,19.23076934,19.23076934,19.23076934,4.36538473,4.36538473,7.34615396,12.26923088,13.26923088,17.23076934,17.23076934,19.23076934,19.23076934,19.23076934,4.36538473,4.36538473,8.34615396,12.26923088,13.26923088,17.23076934,17.23076934,19.23076934,19.23076934,19.23076934,4.36538473,4.36538473,12.26923088,12.26923088,13.26923088,17.23076934,17.23076934,19.23076934,19.23076934,19.23076934,4.34615396,4.34615396,11.30769242,12.30769242,12.30769242,16.26923088,16.26923088,18.26923088,18.26923088,18.26923088,1.31428562,2.54285703,2.54285703,5.5142856,8.48571417,10.42857131,11.42857131,20.42857131,21.28571421,21.28571421,1.48571422,2.39999993,2.39999993,5.3714285,8.34285707,10.28571421,11.28571421,20.28571421,21.14285711,21.14285711,1.48571422,2.39999993,2.39999993,5.3714285,8.34285707,10.28571421,11.28571421,20.28571421,21.14285711,21.14285711,1.48571422,2.39999993,2.39999993,5.3714285,8.34285707,10.28571421,11.28571421,20.28571421,21.14285711,21.14285711,1.48571422,2.39999993,2.39999993,5.3714285,8.34285707,9.34285707,10.34285707,19.34285707,20.19999997,20.19999997,1.85714283,1.85714283,2.8285714,4.8285714,7.79999997,8.79999997,9.79999997,18.79999997,19.65714287,19.65714287,1.85714283,1.85714283,2.8285714,4.8285714,7.79999997,8.79999997,9.79999997,18.79999997,19.65714287,19.65714287,1.85714283,1.85714283,4.8285714,4.8285714,7.79999997,8.79999997,9.79999997,18.79999997,19.65714287,19.65714287,1.85714283,1.85714283,4.8285714,7.79999997,7.79999997,8.79999997,9.79999997,15.79999997,15.79999997,15.79999997
