h1_rate,h3_rate,year,temp,humid,ab_humid
0.744149959,8.037524908,2005,23.3,79,16.556
7.421010133,0.494907661,2006,23.5,80,16.958
0.205608139,8.077209401,2007,23.7,77,16.509
3.920480814,3.726306056,2008,23.1,77,15.954
11.34985118,4.781594401,2009,23.5,77,16.322
2.739386022,5.657740039,2010,23.2,80,16.671
6.361494975,2.132537688,2011,23,76,15.657
0.204361228,10.42128097,2012,23.4,81,17.073
2.8350542,3.678158553,2013,23.3,78,16.347
3.254915762,3.722353069,2014,23.5,78,16.534
0.221315161,11.51014021,2015,24.2,79,17.425
3.652509092,3.566506751,2016,23.6,81,17.268
0.976275223,10.11957927,2017,23.9,78,16.914
2.698251242,0.84425492,2018,23.9,77,16.697
6.547610241,2.830919161,2019,24.6,83,18.685
