positive_rate,year,temp,humid,ab_humid,"theta=0.1,h=0","theta=0.1,h=1","theta=0.1,h=2","theta=0.1,h=3","theta=0.1,h=4","theta=0.1,h=5","theta=0.1,h=6","theta=0.1,h=7","theta=0.1,h=8","theta=0.1,h=9","theta=0.2,h=0","theta=0.2,h=1","theta=0.2,h=2","theta=0.2,h=3","theta=0.2,h=4","theta=0.2,h=5","theta=0.2,h=6","theta=0.2,h=7","theta=0.2,h=8","theta=0.2,h=9","theta=0.3,h=0","theta=0.3,h=1","theta=0.3,h=2","theta=0.3,h=3","theta=0.3,h=4","theta=0.3,h=5","theta=0.3,h=6","theta=0.3,h=7","theta=0.3,h=8","theta=0.3,h=9","theta=0.4,h=0","theta=0.4,h=1","theta=0.4,h=2","theta=0.4,h=3","theta=0.4,h=4","theta=0.4,h=5","theta=0.4,h=6","theta=0.4,h=7","theta=0.4,h=8","theta=0.4,h=9","theta=0.5,h=0","theta=0.5,h=1","theta=0.5,h=2","theta=0.5,h=3","theta=0.5,h=4","theta=0.5,h=5","theta=0.5,h=6","theta=0.5,h=7","theta=0.5,h=8","theta=0.5,h=9","theta=0.6,h=0","theta=0.6,h=1","theta=0.6,h=2","theta=0.6,h=3","theta=0.6,h=4","theta=0.6,h=5","theta=0.6,h=6","theta=0.6,h=7","theta=0.6,h=8","theta=0.6,h=9","theta=0.7,h=0","theta=0.7,h=1","theta=0.7,h=2","theta=0.7,h=3","theta=0.7,h=4","theta=0.7,h=5","theta=0.7,h=6","theta=0.7,h=7","theta=0.7,h=8","theta=0.7,h=9","theta=0.8,h=0","theta=0.8,h=1","theta=0.8,h=2","theta=0.8,h=3","theta=0.8,h=4","theta=0.8,h=5","theta=0.8,h=6","theta=0.8,h=7","theta=0.8,h=8","theta=0.8,h=9","theta=0.9,h=0","theta=0.9,h=1","theta=0.9,h=2","theta=0.9,h=3","theta=0.9,h=4","theta=0.9,h=5","theta=0.9,h=6","theta=0.9,h=7","theta=0.9,h=8","theta=0.9,h=9","theta=0.1,h=0","theta=0.1,h=1","theta=0.1,h=2","theta=0.1,h=3","theta=0.1,h=4","theta=0.1,h=5","theta=0.1,h=6","theta=0.1,h=7","theta=0.1,h=8","theta=0.1,h=9","theta=0.2,h=0","theta=0.2,h=1","theta=0.2,h=2","theta=0.2,h=3","theta=0.2,h=4","theta=0.2,h=5","theta=0.2,h=6","theta=0.2,h=7","theta=0.2,h=8","theta=0.2,h=9","theta=0.3,h=0","theta=0.3,h=1","theta=0.3,h=2","theta=0.3,h=3","theta=0.3,h=4","theta=0.3,h=5","theta=0.3,h=6","theta=0.3,h=7","theta=0.3,h=8","theta=0.3,h=9","theta=0.4,h=0","theta=0.4,h=1","theta=0.4,h=2","theta=0.4,h=3","theta=0.4,h=4","theta=0.4,h=5","theta=0.4,h=6","theta=0.4,h=7","theta=0.4,h=8","theta=0.4,h=9","theta=0.5,h=0","theta=0.5,h=1","theta=0.5,h=2","theta=0.5,h=3","theta=0.5,h=4","theta=0.5,h=5","theta=0.5,h=6","theta=0.5,h=7","theta=0.5,h=8","theta=0.5,h=9","theta=0.6,h=0","theta=0.6,h=1","theta=0.6,h=2","theta=0.6,h=3","theta=0.6,h=4","theta=0.6,h=5","theta=0.6,h=6","theta=0.6,h=7","theta=0.6,h=8","theta=0.6,h=9","theta=0.7,h=0","theta=0.7,h=1","theta=0.7,h=2","theta=0.7,h=3","theta=0.7,h=4","theta=0.7,h=5","theta=0.7,h=6","theta=0.7,h=7","theta=0.7,h=8","theta=0.7,h=9","theta=0.8,h=0","theta=0.8,h=1","theta=0.8,h=2","theta=0.8,h=3","theta=0.8,h=4","theta=0.8,h=5","theta=0.8,h=6","theta=0.8,h=7","theta=0.8,h=8","theta=0.8,h=9","theta=0.9,h=0","theta=0.9,h=1","theta=0.9,h=2","theta=0.9,h=3","theta=0.9,h=4","theta=0.9,h=5","theta=0.9,h=6","theta=0.9,h=7","theta=0.9,h=8","theta=0.9,h=9"
8.883248731,2006,28.71626984,69.87220833,19.77659231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.951612903,2007,29.10416667,67.71241667,19.57605757,1.9375,1.9375,1.9375,1.9375,1.9375,1.9375,1.9375,1.9375,1.9375,1.9375,1.0625,1.0625,1.0625,1.0625,1.0625,1.0625,1.0625,1.0625,1.0625,1.0625,1.0625,1.0625,1.0625,1.0625,1.0625,1.0625,1.0625,1.0625,1.0625,1.0625,1.0625,1.0625,1.0625,1.0625,1.0625,1.0625,1.0625,1.0625,1.0625,1.0625,1.0625,1.0625,1.0625,1.0625,1.0625,1.0625,1.0625,1.0625,1.0625,1.0625,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.609852422,2008,28.28148148,67.93141667,18.77422806,1.91533181,2.91533181,2.91533181,2.91533181,2.91533181,2.91533181,2.91533181,2.91533181,2.91533181,2.91533181,1.65446221,2.65446221,2.65446221,2.65446221,2.65446221,2.65446221,2.65446221,2.65446221,2.65446221,2.65446221,1.39130431,2.39130431,2.39130431,2.39130431,2.39130431,2.39130431,2.39130431,2.39130431,2.39130431,2.39130431,1.39130431,2.39130431,2.39130431,2.39130431,2.39130431,2.39130431,2.39130431,2.39130431,2.39130431,2.39130431,0.95652171,1.95652171,1.95652171,1.95652171,1.95652171,1.95652171,1.95652171,1.95652171,1.95652171,1.95652171,0.43478261,1.43478261,1.43478261,1.43478261,1.43478261,1.43478261,1.43478261,1.43478261,1.43478261,1.43478261,0.43478261,1.43478261,1.43478261,1.43478261,1.43478261,1.43478261,1.43478261,1.43478261,1.43478261,1.43478261,0.43478261,1.43478261,1.43478261,1.43478261,1.43478261,1.43478261,1.43478261,1.43478261,1.43478261,1.43478261,0.43478261,1.43478261,1.43478261,1.43478261,1.43478261,1.43478261,1.43478261,1.43478261,1.43478261,1.43478261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.53500661,2009,28.38564815,66.84475,18.57987672,95.48113086,96.8301875,97.0188667,97.0188667,97.0188667,97.0188667,97.0188667,97.0188667,97.0188667,97.0188667,95.1698101,96.16037614,96.16037614,96.16037614,96.16037614,96.16037614,96.16037614,96.16037614,96.16037614,96.16037614,95.1698101,96.16037614,96.16037614,96.16037614,96.16037614,96.16037614,96.16037614,96.16037614,96.16037614,96.16037614,95.84905534,95.84905534,95.84905534,95.84905534,95.84905534,95.84905534,95.84905534,95.84905534,95.84905534,95.84905534,95.42452704,95.42452704,95.42452704,95.42452704,95.42452704,95.42452704,95.42452704,95.42452704,95.42452704,95.42452704,95.42452704,95.42452704,95.42452704,95.42452704,95.42452704,95.42452704,95.42452704,95.42452704,95.42452704,95.42452704,95.41509307,95.41509307,95.41509307,95.41509307,95.41509307,95.41509307,95.41509307,95.41509307,95.41509307,95.41509307,94.62264024,94.62264024,94.62264024,94.62264024,94.62264024,94.62264024,94.62264024,94.62264024,94.62264024,94.62264024,93.79245158,93.79245158,93.79245158,93.79245158,93.79245158,93.79245158,93.79245158,93.79245158,93.79245158,93.79245158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.51803541,2010,28.9087963,67.7035,19.36567778,2.96350369,116.6350365,117.6277373,117.6277373,117.6277373,117.6277373,117.6277373,117.6277373,117.6277373,117.6277373,2.61313868,116.2846715,117.2773723,117.2773723,117.2773723,117.2773723,117.2773723,117.2773723,117.2773723,117.2773723,2.16788321,115.8394161,116.8321168,116.8321168,116.8321168,116.8321168,116.8321168,116.8321168,116.8321168,116.8321168,3.16788321,116.8321168,116.8321168,116.8321168,116.8321168,116.8321168,116.8321168,116.8321168,116.8321168,116.8321168,3.15328467,116.8175182,116.8175182,116.8175182,116.8175182,116.8175182,116.8175182,116.8175182,116.8175182,116.8175182,3.10948905,116.189781,116.189781,116.189781,116.189781,116.189781,116.189781,116.189781,116.189781,116.189781,4.04379562,116.1240876,116.1240876,116.1240876,116.1240876,116.1240876,116.1240876,116.1240876,116.1240876,116.1240876,4.04379562,115.350365,115.350365,115.350365,115.350365,115.350365,115.350365,115.350365,115.350365,115.350365,114.7737227,115.7664234,115.7664234,115.7664234,115.7664234,115.7664234,115.7664234,115.7664234,115.7664234,115.7664234,0.9541984,0.9541984,0.9541984,0.9541984,0.9541984,0.9541984,0.9541984,0.9541984,0.9541984,0.9541984,0.8091602,0.8091602,0.8091602,0.8091602,0.8091602,0.8091602,0.8091602,0.8091602,0.8091602,0.8091602,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122,0.3664122
1.758731731,2011,28.07060185,70.49660119,19.25859642,2.13043456,5.65217376,118.3913043,119.3913043,119.3913043,119.3913043,119.3913043,119.3913043,119.3913043,119.3913043,1.47826076,4.99999996,117.6086957,118.6086957,118.6086957,118.6086957,118.6086957,118.6086957,118.6086957,118.6086957,1.4347825,4.9565217,117.5652175,118.5652175,118.5652175,118.5652175,118.5652175,118.5652175,118.5652175,118.5652175,2.2608695,5.9565217,118.5652175,118.5652175,118.5652175,118.5652175,118.5652175,118.5652175,118.5652175,118.5652175,3.5217391,5.5217391,118.1304349,118.1304349,118.1304349,118.1304349,118.1304349,118.1304349,118.1304349,118.1304349,3.3478261,5.3478261,117.9565219,117.9565219,117.9565219,117.9565219,117.9565219,117.9565219,117.9565219,117.9565219,2.6956522,5.65217394,117.304348,117.304348,117.304348,117.304348,117.304348,117.304348,117.304348,117.304348,2.6956522,5.65217394,115.5217393,115.5217393,115.5217393,115.5217393,115.5217393,115.5217393,115.5217393,115.5217393,5.82608694,111.3478261,112.3478261,112.3478261,112.3478261,112.3478261,112.3478261,112.3478261,112.3478261,112.3478261,0.31578956,1.10526326,1.10526326,1.10526326,1.10526326,1.10526326,1.10526326,1.10526326,1.10526326,1.10526326,0.05263158,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.05263158,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528,0.84210528
5.859464408,2012,29.63584656,69.11939881,20.57011704,1.1,2.6625,5.975,118.125,119.125,119.125,119.125,119.125,119.125,119.125,2.25,2.25,5.5625,117.7125,118.7125,118.7125,118.7125,118.7125,118.7125,118.7125,2,2,5.3125,117.4625,118.4625,118.4625,118.4625,118.4625,118.4625,118.4625,2,2,6,118.15,118.15,118.15,118.15,118.15,118.15,118.15,2,4,6,117.68125,117.68125,117.68125,117.68125,117.68125,117.68125,117.68125,0.9375,2.9375,4.9375,116.61875,116.61875,116.61875,116.61875,116.61875,116.61875,116.61875,0.9375,2.9375,5.9375,115.99375,115.99375,115.99375,115.99375,115.99375,115.99375,115.99375,0.9375,2.9375,5.9375,114.24375,114.24375,114.24375,114.24375,114.24375,114.24375,114.24375,2.9375,6.9375,110.43125,111.43125,111.43125,111.43125,111.43125,111.43125,111.43125,111.43125,1.85714307,2.03571447,2.32142877,2.32142877,2.32142877,2.32142877,2.32142877,2.32142877,2.32142877,2.32142877,1.42857147,1.42857147,1.71428577,1.71428577,1.71428577,1.71428577,1.71428577,1.71428577,1.71428577,1.71428577,1.42857147,1.42857147,1.42857147,1.42857147,1.42857147,1.42857147,1.42857147,1.42857147,1.42857147,1.42857147,1.42857147,1.42857147,1.42857147,1.42857147,1.42857147,1.42857147,1.42857147,1.42857147,1.42857147,1.42857147,1.42857147,1.42857147,1.42857147,1.42857147,1.42857147,1.42857147,1.42857147,1.42857147,1.42857147,1.42857147,0.39285717,0.39285717,0.39285717,0.39285717,0.39285717,0.39285717,0.39285717,0.39285717,0.39285717,0.39285717,0.39285717,0.39285717,0.39285717,0.39285717,0.39285717,0.39285717,0.39285717,0.39285717,0.39285717,0.39285717,0.67857147,0.67857147,0.67857147,0.67857147,0.67857147,0.67857147,0.67857147,0.67857147,0.67857147,0.67857147,0.67857147,0.67857147,0.67857147,0.67857147,0.67857147,0.67857147,0.67857147,0.67857147,0.67857147,0.67857147
1.168014376,2013,29.35555556,67.81016667,19.87495111,1.6818181,2.4545454,3.36363631,6.31818176,117.8181816,118.8181816,118.8181816,118.8181816,118.8181816,118.8181816,2.1363636,3.04545451,3.04545451,5.99999996,117.3636362,118.3636362,118.3636362,118.3636362,118.3636362,118.3636362,1.8636363,2.77272721,2.77272721,5.72727266,116.8636362,117.8636362,117.8636362,117.8636362,117.8636362,117.8636362,1.8636363,2.77272721,2.77272721,6.72727266,117.8636362,117.8636362,117.8636362,117.8636362,117.8636362,117.8636362,1.8636363,2.77272721,4.77272721,6.72727266,116.9545453,116.9545453,116.9545453,116.9545453,116.9545453,116.9545453,1.8636363,2.77272721,4.77272721,6.72727266,116.9545453,116.9545453,116.9545453,116.9545453,116.9545453,116.9545453,1.8636363,2.77272721,4.77272721,7.72727266,116.9545453,116.9545453,116.9545453,116.9545453,116.9545453,116.9545453,2.77272721,2.77272721,4.77272721,7.72727266,114.3181817,114.3181817,114.3181817,114.3181817,114.3181817,114.3181817,2.77272721,4.77272721,8.72727266,111.3181817,112.3181817,112.3181817,112.3181817,112.3181817,112.3181817,112.3181817,3.2142857,3.642857,3.642857,4.4999999,4.4999999,4.4999999,4.4999999,4.4999999,4.4999999,4.4999999,2.9285715,2.9285715,2.9285715,3.7857144,3.7857144,3.7857144,3.7857144,3.7857144,3.7857144,3.7857144,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.0714286,3.9285715,3.9285715,3.9285715,3.9285715,3.9285715,3.9285715,3.9285715,3.9285715,3.9285715,3.9285715,3.9285715,3.9285715,3.9285715,3.9285715,3.9285715,3.9285715,3.9285715,3.9285715,3.9285715,3.9285715
9.563353871,2014,28.80277778,70.30458333,19.99341395,0.37313436,2.34328361,3.31343286,4.31343286,7.29850749,118.8805971,119.8805971,119.8805971,119.8805971,119.8805971,0.31343287,3.25373137,4.25373137,4.25373137,7.238806,118.8208956,119.8208956,119.8208956,119.8208956,119.8208956,0.01492537,2.95522387,3.95522387,3.95522387,6.9402985,118.5223881,119.5223881,119.5223881,119.5223881,119.5223881,0,2.9402985,3.9402985,3.9402985,7.92537313,119.5074627,119.5074627,119.5074627,119.5074627,119.5074627,0,2.9402985,3.9402985,5.92537313,7.92537313,118.5074627,118.5074627,118.5074627,118.5074627,118.5074627,1.97014925,2.9402985,3.9402985,5.92537313,7.92537313,118.5074627,118.5074627,118.5074627,118.5074627,118.5074627,1.97014925,2.9402985,3.9402985,5.92537313,8.92537313,118.5074627,118.5074627,118.5074627,118.5074627,118.5074627,2.9402985,3.9402985,3.9402985,5.92537313,8.92537313,115.5074627,115.5074627,115.5074627,115.5074627,115.5074627,2.9402985,3.9402985,5.92537313,9.92537313,112.5074627,113.5074627,113.5074627,113.5074627,113.5074627,113.5074627,1.96721322,7.31147549,7.80327879,7.80327879,8.78688535,8.78688535,8.78688535,8.78688535,8.78688535,8.78688535,1.96721322,7.31147549,7.31147549,7.31147549,8.29508205,8.29508205,8.29508205,8.29508205,8.29508205,8.29508205,3.37704922,7.32786889,7.32786889,7.32786889,7.32786889,7.32786889,7.32786889,7.32786889,7.32786889,7.32786889,4.34426233,7.32786889,7.32786889,7.32786889,7.32786889,7.32786889,7.32786889,7.32786889,7.32786889,7.32786889,4.40983603,6.39344259,6.39344259,6.39344259,6.39344259,6.39344259,6.39344259,6.39344259,6.39344259,6.39344259,4.40983603,6.39344259,6.39344259,6.39344259,6.39344259,6.39344259,6.39344259,6.39344259,6.39344259,6.39344259,4.40983603,6.39344259,6.39344259,6.39344259,6.39344259,6.39344259,6.39344259,6.39344259,6.39344259,6.39344259,5.39344259,7.37704915,7.37704915,7.37704915,7.37704915,7.37704915,7.37704915,7.37704915,7.37704915,7.37704915,7.37704915,7.37704915,7.37704915,7.37704915,7.37704915,7.37704915,7.37704915,7.37704915,7.37704915,7.37704915
2.403846154,2015,29.20694444,69.76491667,20.28288555,3.125,3.125,4.875,5.875,6.875,9.75,119.625,120.625,120.625,120.625,2.75,2.75,5.5,6.5,6.5,9.375,119.25,120.25,120.25,120.25,2.5,2.5,5.25,6.25,6.25,9.125,119,120,120,120,1.75,1.75,4.5,5.5,5.5,9.375,118.5,118.5,118.5,118.5,1.75,1.75,4.5,5.5,7.375,9.375,117.5,117.5,117.5,117.5,1.75,3.5,4.5,5.5,7.375,9.375,117.5,117.5,117.5,117.5,1.75,3.5,4.5,5.5,7.375,10.375,116.875,116.875,116.875,116.875,1.75,3.75,4.75,4.75,6.625,9.625,112.375,112.375,112.375,112.375,1.75,3.75,4.75,5.75,9.75,107.75,108.75,108.75,108.75,108.75,1.175,3.025,8.775,9.575,9.575,10.575,10.575,10.575,10.575,10.575,1.175,2.65,8.4,8.4,8.4,9.4,9.4,9.4,9.4,9.4,2.25,4.9,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,3.125,5.825,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,3.925,6.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,3.925,6.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,3.925,6.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,3.925,7.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,3.925,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8
